name,price,image,channels,digital_audio,interface,chipset,snr,sample_rate,rating
HT Omega eClaro,,https://cdna.pcpartpicker.com/static/forever/images/product/7a24007a56338f471183085868459022.256p.jpg,7.1,24-bit,PCIe x1,C-Media CMI8788,,192 kHz,5
Creative Labs Sound Blaster X-Fi,,https://cdna.pcpartpicker.com/static/forever/images/product/6338680b5e161a81a478d125f17076f7.256p.jpg,7.1,24-bit,PCI,,109 dB,192 kHz,0
Creative Labs Sound Blaster Audigy SE,,,7.1,24-bit,PCI,Audigy SE,,96 kHz,4
Asus Xonar DG,,https://cdna.pcpartpicker.com/static/forever/images/product/049578956aac1a19ab8e7ce994f9d8fc.256p.jpg,5.1,24-bit,PCI,C-Media CMI8786,105 dB,96 kHz,4
Creative Labs Sound Blaster Z OEM,,,5.1,24-bit,PCIe x1,,116 dB,192 kHz,4.5
Creative Labs 70SB157000000,,https://cdna.pcpartpicker.com/static/forever/images/product/ad92118b4c80e93bddee4297f507213f.256p.jpg,5.1,,PCIe x1,,106 dB,,4.5
SIIG IC-510111-S2,,,5.1,24-bit,PCIe x1,VIA VT1723,90 dB,96 kHz,0
Creative Labs Recon3D Fatal1ty Champion,,,5.1,24-bit,PCIe x1,Sound Core3D,102 dB,96 kHz,4
Asus Xonar DS,,,7.1,24-bit,PCI,ASUS AV200,107 dB,192 kHz,5
Asus Xonar Essence ST,,,7.1,24-bit,PCI,ASUS AV100,124 dB,192 kHz,5
Rosewill RC-703,,,7.1,,PCIe x1,,,44.1 kHz,0
Creative Labs 70SB135A00002,,,5.1,24-bit,PCIe x1,Sound Core3D,102 dB,96 kHz,1
SIIG IC-710012-S2,,https://cdna.pcpartpicker.com/static/forever/images/product/31d6918aaa94b6c42f3a7dcc05e497ae.256p.jpg,7.1,24-bit,PCI,,92 dB,96 kHz,0
Syba SD-PEX63034,,,7.1,24-bit,PCIe x1,,,48 kHz,0
PowerColor DEVIL HDX 7.1,,https://cdna.pcpartpicker.com/static/forever/images/product/76e888b33f109d3f06747fed62c3ff21.256p.jpg,7.1,,PCIe x1,,124 dB,192 kHz,0
HT Omega CLARO II,,,7.1,24-bit,PCI,C-Media CMI8788,120 dB,192 kHz,0
StarTech PCISOUND5CH,,,5.1,24-bit,PCI,C-Media CMI8738,,48 kHz,5
Diamond XtremeSound XS71,,,7.1,16-bit,PCI,,,96 kHz,0
Rosewill RC-702,,,7.1,16-bit,PCI,C-Media CMI8768,,96 kHz,0
M-Audio Audiophile 192,,,4.0,24-bit,PCI,,,192 kHz,0
Turtle Beach TBS-3429,,,5.1,24-bit,PCI,,,48 kHz,0
Creative Labs Sound Blaster Audigy Rx OEM,,https://cdna.pcpartpicker.com/static/forever/images/product/a76d36481a8f4942ebe9c4b78e3907ac.256p.jpg,7.1,24-bit,PCIe x1,Creative E-MU,106 dB,192 kHz,0
Diamond XtremeSound XS51,,,5.1,16-bit,PCI,,,48 kHz,0
PPA International 1431v,,,5.1,16-bit,PCI,,,,0
Encore ENM232-6VIA,,https://cdna.pcpartpicker.com/static/forever/images/product/21704dbd994309b24c3fd8b1799bb27d.med.256p.jpg,5.1,24-bit,PCI,VIA VT1723,,96 kHz,0
HT Omega STRIKER,,,7.1,,PCI,C-Media CMI8770,,,0
Vantec UGT-S100,,https://cdna.pcpartpicker.com/static/forever/images/product/9b247a5ae0262e8f385e4fcf0b8e2574.256p.jpg,7.1,,PCI,,,48 kHz,5
Rosewill RC-701,,,5.1,,PCI,C-Media CMI8738,,,3
Asus Xonar D1,,,7.1,24-bit,PCI,ASUS AV100,116 dB,192 kHz,4
Asus Xonar Essence,,,7.1,24-bit,PCI,ASUS AV100,124 dB,192 kHz,4
HT Omega Claro Halo XT,,,7.1,24-bit,PCI,C-Media CMI8788,,192 kHz,0
Encore ENM232-8VIA,,https://cdna.pcpartpicker.com/static/forever/images/product/d4f6814b3c6cffd1cc5924c0493bf0a8.256p.jpg,7.1,24-bit,PCI,VIA VT1723,,96 kHz,0
HT Omega Claro Halo,,,5.1,24-bit,PCI,C-Media CMI8788,,192 kHz,5
StarTech PCISOUND4LP,,,4.0,16-bit,PCI,C-Media CMI8738,,48 kHz,0
SIIG LP-000022-S2,,,5.1,24-bit,PCI,VIA VT1723,90 dB,96 kHz,0
M-Audio US41500C,,,2.0,24-bit,PCI,,104 dB,96 kHz,0
SIIG IC-510012-S2,,https://cdna.pcpartpicker.com/static/forever/images/product/78b5c15aa2d952ca58be56de3625bbfa.256p.jpg,5.1,16-bit,PCI,,68 dB,,4.5
