name,price,image,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,rating
Intel Core i7-9700F,299,,8,3 GHz,4.7 GHz,Coffee Lake Refresh,65 W,None,5
Intel Core i5-8500,179,,6,3 GHz,4.1 GHz,Coffee Lake,65 W,Intel UHD Graphics 630,4.5
AMD Ryzen 7 1700,,,8,3 GHz,3.7 GHz,Zen,65 W,None,4.5
Intel Core i5-7400,120,,4,3 GHz,3.5 GHz,Kaby Lake,65 W,Intel HD Graphics 630,4
Intel Core i5-12500,374.25,,6,3 GHz,4.6 GHz,Alder Lake,65 W,Intel UHD Graphics 770,4.5
Intel Core i5-9400,138.37,,6,2.9 GHz,4.1 GHz,Coffee Lake Refresh,65 W,Intel UHD Graphics 630,4.5
Intel Core i3-9100F,120.99,,4,3.6 GHz,4.2 GHz,Coffee Lake Refresh,65 W,None,4.5
Intel Core i3-4130,,,2,3.4 GHz,,Haswell,54 W,Intel HD Graphics 4400,4.5
AMD Threadripper 1920X,214.09,,12,3.5 GHz,4 GHz,Zen,180 W,None,4.5
Intel Core i9-13900KS,410.24,https://cdna.pcpartpicker.com/static/forever/images/product/4129af6f0163dfd9dad75e57aae5a99d.1600.jpg,24,3 GHz,6 GHz,Raptor Lake,150 W,Intel UHD Graphics 770,4.5
Intel Core i9-9900KF,265,,8,3.6 GHz,5 GHz,Coffee Lake Refresh,95 W,None,4.5
Intel Core i5-7600K,107,,4,3.8 GHz,4.2 GHz,Kaby Lake,91 W,Intel HD Graphics 630,4.5
Intel Core 2 Duo E8400,52.42,,2,3 GHz,,Wolfdale,65 W,None,4.5
Intel Core i5-4590,76.73,,4,3.3 GHz,3.7 GHz,Haswell Refresh,84 W,Intel HD Graphics 4600,4.5
AMD Ryzen 5 2400G,,,4,3.6 GHz,3.9 GHz,Zen,65 W,Radeon Vega 11,4.5
AMD Ryzen 5 1600X,244.75,,6,3.6 GHz,4 GHz,Zen,95 W,None,4.5
Intel Celeron G1610,,,2,2.6 GHz,,Ivy Bridge,55 W,Intel HD Graphics,4.5
Intel Core i5-10500,176.89,,6,3.1 GHz,4.5 GHz,Comet Lake,65 W,Intel UHD Graphics 630,0
Intel Core i7-10700KF,240,,8,3.8 GHz,5.1 GHz,Comet Lake,125 W,None,4.5
Intel Core i7-3770K,195.91,,4,3.5 GHz,,Ivy Bridge,77 W,Intel HD Graphics 4000,4.5
AMD Ryzen 5 9500F,184,https://cdna.pcpartpicker.com/static/forever/images/product/1f1301dedbebe86fd8f58493d87f51e2.1600.jpg,6,3.8 GHz,5 GHz,Zen 5,65 W,None,0
AMD Ryzen 5 3600XT,195,,6,3.8 GHz,4.5 GHz,Zen 2,95 W,None,4.5
Intel Core i5-13400,229.22,https://cdna.pcpartpicker.com/static/forever/images/product/1fa41c2b4b5cf8ab078c42259685c8ed.1600.jpg,10,2.5 GHz,4.6 GHz,Raptor Lake,65 W,Intel UHD Graphics 730,4.5
Intel Core i7-11700,369,,8,2.5 GHz,4.9 GHz,Rocket Lake,65 W,Intel UHD Graphics 750,4.5
AMD Ryzen 5 7400F,140.99,https://cdna.pcpartpicker.com/static/forever/images/product/7160b7c08f720d19f9ae682c2f6f7563.1600.jpg,6,3.7 GHz,4.7 GHz,Zen 4,65 W,None,4
Intel Core i3-7100,106.71,,2,3.9 GHz,,Kaby Lake,51 W,Intel HD Graphics 630,0
AMD FX-8350,329.5,,8,4 GHz,,Piledriver,125 W,None,4.5
AMD Ryzen 5 3500,,,6,3.6 GHz,4.1 GHz,Zen 2,65 W,None,5
Intel Core i3-8100,125,,4,3.6 GHz,,Coffee Lake,65 W,Intel UHD Graphics 630,4
Intel Core i3-10100,106.82,,4,3.6 GHz,4.3 GHz,Comet Lake,65 W,Intel UHD Graphics 630,4.5
Intel Core i5-4570,,,4,3.2 GHz,,Haswell,84 W,Intel HD Graphics 4600,4.5
Intel Core i9-12900KS,448.94,,16,3.4 GHz,5.5 GHz,Alder Lake,150 W,Intel UHD Graphics 770,4.5
AMD Ryzen 7 1700X,,,8,3.4 GHz,3.8 GHz,Zen,95 W,None,4.5
Intel Core i5-3470,,,4,3.2 GHz,,Ivy Bridge,77 W,Intel HD Graphics 2500,4.5
Intel Core i5-9500,144.94,,6,3 GHz,4.4 GHz,Coffee Lake Refresh,65 W,Intel UHD Graphics 630,5
Intel Core i7-11700KF,265,,8,3.6 GHz,5 GHz,Rocket Lake,125 W,None,4.5
Intel Core i9-11900KF,305,,8,3.5 GHz,5.3 GHz,Rocket Lake,125 W,None,4
Intel Core i9-10980XE,695,,18,3 GHz,4.8 GHz,Cascade Lake,165 W,None,0
AMD FX-6300,49.99,,6,3.5 GHz,,Piledriver,95 W,None,4.5
Intel Core i9-10900KF,439,,10,3.7 GHz,5.3 GHz,Comet Lake,125 W,None,4.5
Intel Core i3-13100F,98.99,https://cdna.pcpartpicker.com/static/forever/images/product/735d84f17256242adcfad88d56d590bf.256p.jpg,4,3.4 GHz,4.5 GHz,Raptor Lake,58 W,None,4
Intel Core i5-2400,97.04,,4,3.1 GHz,,Sandy Bridge,95 W,Intel HD Graphics 2000,4.5
Intel Core i5-8500T,,,6,2.1 GHz,3.5 GHz,Coffee Lake,35 W,Intel UHD Graphics 630,5
Intel Core i9-10850KA Avengers Limited Edition,,,10,3.6 GHz,5.2 GHz,Comet Lake,125 W,Intel UHD Graphics 630,0
Intel Core i7-4770K,124.66,,4,3.5 GHz,3.9 GHz,Haswell,84 W,Intel HD Graphics 4600,4.5
Intel Core i5-6400,,,4,2.7 GHz,3.3 GHz,Skylake,65 W,Intel HD Graphics 530,4.5
Intel Core i3-10105F,69.95,,4,3.7 GHz,4.4 GHz,Comet Lake,65 W,None,4.5
Intel Core Ultra 5 235,236.32,https://cdna.pcpartpicker.com/static/forever/images/product/e252c9d0aba0219dcae0b0bcd3894808.256p.jpg,14,3.4 GHz,5 GHz,Arrow Lake,65 W,Intel Xe,5
AMD Ryzen 7 3800XT,407.41,,8,3.9 GHz,4.7 GHz,Zen 2,105 W,None,4.5
Intel Core i9-14900F,497.99,https://cdna.pcpartpicker.com/static/forever/images/product/9ad5851cc322799cc6c3352f6a899247.1600.jpg,24,2 GHz,5.8 GHz,Raptor Lake Refresh,65 W,None,0
Intel Core i7-2600,110,,4,3.4 GHz,,Sandy Bridge,95 W,Intel HD Graphics 2000,4.5
Intel Core i5-9600KF,178,,6,3.7 GHz,4.6 GHz,Coffee Lake Refresh,95 W,None,4.5
AMD Ryzen 9 3900XT,449.99,,12,3.8 GHz,4.7 GHz,Zen 2,105 W,None,4.5
Intel Core i5-4690K,108.26,,4,3.5 GHz,3.9 GHz,Haswell Refresh,88 W,Intel HD Graphics 4600,4.5
AMD Ryzen 3 1200 (14nm),121.81,,4,3.1 GHz,3.4 GHz,Zen,65 W,None,4.5
Intel Core i7-6850K,134,,6,3.6 GHz,3.8 GHz,Broadwell,140 W,None,4.5
Intel Pentium G4400,,,2,3.3 GHz,,Skylake,54 W,Intel HD Graphics 510,4
Intel Core i7-13700,387.43,https://cdna.pcpartpicker.com/static/forever/images/product/e02f59843736d101374f75d18c244a30.1600.jpg,16,2.1 GHz,5.2 GHz,Raptor Lake,65 W,Intel UHD Graphics 770,4.5
Intel Core i5-12600,269.18,,6,3.3 GHz,4.8 GHz,Alder Lake,65 W,Intel UHD Graphics 770,4.5
Intel Core i9-9980XE,1944.98,,18,3 GHz,4.4 GHz,Skylake,165 W,None,0
AMD Ryzen 5 1600 (12nm),162.51,,6,3.2 GHz,3.6 GHz,Zen+,65 W,None,4.5
AMD Ryzen 7 1800X,,,8,3.6 GHz,4 GHz,Zen,95 W,None,4.5
Intel Core i5-11600KF,257.99,,6,3.9 GHz,4.9 GHz,Rocket Lake,125 W,None,4.5
Intel Core i5-4670K,162.53,,4,3.4 GHz,,Haswell,84 W,Intel HD Graphics 4600,4.5
AMD Ryzen 3 3300X,171.86,,4,3.8 GHz,4.3 GHz,Zen 2,65 W,None,4.5
Intel Core i5-10600KF,299,,6,4.1 GHz,4.8 GHz,Comet Lake,125 W,None,5
AMD Ryzen 7 9700F,,,8,3.8 GHz,5.5 GHz,Zen 5,65 W,None,0
Intel Core i3-7100T,60.4,,2,3.4 GHz,,Kaby Lake,35 W,Intel HD Graphics 630,5
AMD Threadripper 1950X,1065.17,,16,3.4 GHz,4 GHz,Zen,180 W,None,4.5
AMD Ryzen 5 1500X,,,4,3.5 GHz,3.7 GHz,Zen,65 W,None,4.5
Intel Core i3-8100T,55.9,,4,3.1 GHz,,Coffee Lake,35 W,Intel UHD Graphics 630,0
AMD Ryzen 5 1400,,,4,3.2 GHz,3.4 GHz,Zen,65 W,None,4.5
Intel Core i5-3570K,,,4,3.4 GHz,,Ivy Bridge,77 W,Intel HD Graphics 4000,4.5
Intel Core i9-9900,476.99,,8,3.1 GHz,5 GHz,Coffee Lake Refresh,65 W,Intel UHD Graphics 630,4.5
AMD Threadripper 2950X,,,16,3.5 GHz,4.4 GHz,Zen+,180 W,None,5
Intel Core i5-11500,,,6,2.7 GHz,4.6 GHz,Rocket Lake,65 W,Intel UHD Graphics 750,4.5
AMD EPYC 4545P,,https://cdna.pcpartpicker.com/static/forever/images/product/93d40a5558436eb5e63800c8df5956a7.1600.jpg,16,3 GHz,5.4 GHz,Zen 5,65 W,Radeon,0
Intel Core i9-14900,532.92,https://cdna.pcpartpicker.com/static/forever/images/product/6bef271d59cd2a9b4f13fe95c18e2892.1600.jpg,24,2 GHz,5.8 GHz,Raptor Lake Refresh,65 W,Intel UHD Graphics 770,0
Intel Celeron 420,145.47,,1,1.6 GHz,,Core,35 W,None,0
Intel Celeron G5905,,,2,3.5 GHz,,Comet Lake,58 W,Intel UHD Graphics 610,0
Intel Core i7-9700KF,323.07,,8,3.6 GHz,4.9 GHz,Coffee Lake Refresh,95 W,None,5
Intel Pentium G640,,,2,2.8 GHz,,Sandy Bridge,65 W,Intel HD Graphics,4
Intel Core i9-13900,576.3,https://cdna.pcpartpicker.com/static/forever/images/product/6677778b05f29fbfd12dd49c16f2069f.1600.jpg,24,2 GHz,5.6 GHz,Raptor Lake,65 W,Intel UHD Graphics 770,4.5
Intel Core i7-5820K,39.95,,6,3.3 GHz,3.6 GHz,Haswell,140 W,None,4
AMD FX-6350,24.9,,6,3.9 GHz,,Piledriver,125 W,None,4
Intel Celeron G3900,69,,2,2.8 GHz,,Skylake,51 W,Intel HD Graphics 510,3.5
Intel Core i7-4960X Extreme Edition,,,6,3.6 GHz,4 GHz,Ivy Bridge,130 W,None,5
Intel Core i3-6100,78.2,,2,3.7 GHz,,Skylake,51 W,Intel HD Graphics 530,4.5
Intel Core i3-13100,137.99,https://cdna.pcpartpicker.com/static/forever/images/product/a11139b5e266b9760da436a86b407035.1600.jpg,4,3.4 GHz,4.5 GHz,Raptor Lake,60 W,Intel UHD Graphics 730,5
Intel Core i3-10105,109.99,,4,3.7 GHz,4.4 GHz,Comet Lake,65 W,Intel UHD Graphics 630,4.5
AMD FX-8150,218.32,,8,3.6 GHz,,Bulldozer,125 W,None,4.5
Intel Core i5-13500T,,,14,1.6 GHz,4.6 GHz,Raptor Lake,35 W,Intel UHD Graphics 770,5
Intel Pentium Gold G7400,265.99,,2,3.7 GHz,,Alder Lake,46 W,Intel UHD Graphics 710,0
AMD Athlon II X2 240,,,2,2.8 GHz,,K10,65 W,None,0
Intel Core i7-2600K,,,4,3.4 GHz,,Sandy Bridge,95 W,Intel HD Graphics 3000,4.5
AMD Threadripper 2970WX,1300.89,,24,3 GHz,4.2 GHz,Zen+,250 W,None,0
AMD EPYC 4465P,418.75,https://cdna.pcpartpicker.com/static/forever/images/product/892aed0b32342b4ac4b69c5f1d773dcb.1600.jpg,12,3.4 GHz,5.4 GHz,Zen 5,65 W,Radeon,0
Intel Core i3-8300,132.31,,4,3.7 GHz,,Coffee Lake,62 W,Intel UHD Graphics 630,0
Intel Core i5-6600,97,,4,3.3 GHz,3.9 GHz,Skylake,65 W,Intel HD Graphics 530,0
Intel Xeon E5-2667 V3,2665.5,,8,3.2 GHz,3.6 GHz,Haswell,135 W,None,5
Intel Core i9-9900KS,,,8,4 GHz,5 GHz,Coffee Lake Refresh,127 W,Intel UHD Graphics 630,4.5
Intel Xeon E5-2683 V4,128.91,,16,2.1 GHz,3 GHz,Broadwell,120 W,None,0
Intel Core i9-10900X,279.97,,10,3.7 GHz,4.7 GHz,Cascade Lake,165 W,None,5
Intel Xeon E5-2620,71.93,,6,2 GHz,,Sandy Bridge,95 W,None,0
Intel Core i3-9100,,,4,3.6 GHz,4.2 GHz,Coffee Lake Refresh,65 W,Intel UHD Graphics 630,4.5
Intel Core i9-7980XE,,,18,2.6 GHz,4.4 GHz,Skylake,165 W,None,0
Intel Pentium Gold G6600,,,2,4.2 GHz,,Comet Lake,58 W,Intel UHD Graphics 630,0
Intel Celeron G6900,64.99,,2,3.4 GHz,,Alder Lake,46 W,Intel UHD Graphics 710,4
AMD Ryzen 9 PRO 9945,,,12,3.4 GHz,5.4 GHz,Zen 5,65 W,Radeon,0
Intel Core i7-4930K,175.55,,6,3.4 GHz,3.9 GHz,Ivy Bridge,130 W,None,4.5
Intel Core i9-7900X,,,10,3.3 GHz,4.5 GHz,Skylake,140 W,None,4.5
AMD FX-9590,363.88,,8,4.7 GHz,5 GHz,Piledriver,220 W,None,4.5
Intel Core i7-8086K,,,6,4 GHz,5 GHz,Coffee Lake,95 W,Intel UHD Graphics 630,4.5
Intel Core i5-4670,94.66,,4,3.4 GHz,,Haswell,84 W,Intel HD Graphics 4600,4.5
Intel Xeon E5-1650 V4,,,6,3.6 GHz,4 GHz,Broadwell,140 W,None,0
Intel Core i5-8400T,,,6,1.7 GHz,3.3 GHz,Coffee Lake,35 W,Intel UHD Graphics 630,0
Intel Xeon E5-2697 V2,,,12,2.7 GHz,3.5 GHz,Ivy Bridge,130 W,None,0
Intel Core i9-9900K (Standard Folding Box),330,,8,3.6 GHz,5 GHz,Coffee Lake Refresh,95 W,Intel UHD Graphics 630,4.5
Intel Core i5-2500K,114,,4,3.3 GHz,,Sandy Bridge,95 W,Intel HD Graphics 3000,4.5
Intel Core i5-7600,119,,4,3.5 GHz,4.1 GHz,Kaby Lake,65 W,Intel HD Graphics 630,4.5
AMD Ryzen 5 5600T,,https://cdna.pcpartpicker.com/static/forever/images/product/a5984c355b088bf1632eca98efd25f8f.1600.jpg,6,3.5 GHz,4.5 GHz,Zen 3,65 W,None,0
Intel Core i7-920,114.61,,4,2.66 GHz,,Nehalem,130 W,None,4.5
AMD Ryzen 5 7400,139,,6,3.3 GHz,4.3 GHz,Zen 4,65 W,Radeon,0
Intel Core i9-10920X,349.97,,12,3.5 GHz,4.8 GHz,Cascade Lake,165 W,None,5
Intel Core i3-2100,,,2,3.1 GHz,,Sandy Bridge,65 W,Intel HD Graphics 2000,4
Intel Celeron G5900,,,2,3.4 GHz,,Comet Lake,58 W,Intel UHD Graphics 610,5
Intel Core i5-8600,276.26,,6,3.1 GHz,4.3 GHz,Coffee Lake,65 W,Intel UHD Graphics 630,0
AMD Threadripper 2990WX,,,32,3 GHz,4.2 GHz,Zen+,250 W,None,4.5
AMD Ryzen 3 1200 (12nm),,,4,3.1 GHz,3.4 GHz,Zen+,65 W,None,4.5
AMD Ryzen 9 3900,,,12,3.1 GHz,,Zen 2,65 W,None,0
AMD Ryzen 9 PRO 7945,397.86,https://cdna.pcpartpicker.com/static/forever/images/product/0060e87b1c0093626f67e76793e68c41.1600.jpg,12,3.7 GHz,5.4 GHz,Zen 4,65 W,Radeon,0
AMD Phenom II X4 820,,,4,2.8 GHz,,K10,95 W,None,0
AMD A6-7480,115.38,,2,3.5 GHz,3.8 GHz,Puma+,65 W,Radeon R5 (on die),0
AMD Threadripper 1900X,313.64,,8,3.8 GHz,4 GHz,Zen,180 W,None,4.5
Intel Core i3-530,84.39,,2,2.93 GHz,,Westmere,73 W,Intel HD Graphics,3.5
Intel Core i3-540,179.98,,2,3.06 GHz,,Westmere,73 W,Intel HD Graphics,5
Intel Core i5-10600,156.21,,6,3.3 GHz,4.8 GHz,Comet Lake,65 W,Intel UHD Graphics 630,4.5
Intel Core i7-7820X,523.76,,8,3.6 GHz,4.5 GHz,Skylake,140 W,None,4.5
Intel Core i9-12900,429.99,,16,2.4 GHz,5.1 GHz,Alder Lake,65 W,Intel UHD Graphics 770,0
Intel Core i7-2700K,,,4,3.5 GHz,,Sandy Bridge,95 W,Intel HD Graphics 3000,4.5
Intel Core i7-6800K,248.27,,6,3.4 GHz,3.6 GHz,Broadwell,140 W,None,4.5
Intel Core i9-10900,352.37,,10,2.8 GHz,5.2 GHz,Comet Lake,65 W,Intel UHD Graphics 630,4.5
Intel Core i7-5960X,559,,8,3 GHz,3.5 GHz,Haswell,140 W,None,4.5
Intel Core i5-14500T,,,14,1.7 GHz,4.8 GHz,Raptor Lake Refresh,35 W,Intel UHD Graphics 770,0
Intel Core i9-13900T,,,24,1.1 GHz,5.3 GHz,Raptor Lake,35 W,Intel UHD Graphics 770,5
AMD Ryzen 3 1300X,,,4,3.5 GHz,3.7 GHz,Zen,65 W,None,4.5
Intel Core i3-3220,98,,2,3.3 GHz,,Ivy Bridge,55 W,Intel HD Graphics 2500,4.5
Intel Core i5-4440,,,4,3.1 GHz,3.3 GHz,Haswell,84 W,Intel HD Graphics 4600,4.5
Intel Core i9-9900X,642.89,,10,3.5 GHz,4.4 GHz,Skylake,165 W,None,0
Intel Core i5-7400T,169.95,,4,2.4 GHz,3 GHz,Kaby Lake,35 W,Intel HD Graphics 630,0
Intel Core i9-9940X,,,14,3.3 GHz,4.4 GHz,Skylake,165 W,None,0
Intel Xeon E5-4620,,,8,2.2 GHz,2.6 GHz,Sandy Bridge,95 W,None,0
Intel Core i9-10900F,389,,10,2.8 GHz,5.2 GHz,Comet Lake,65 W,None,4.5
Intel Core i9-12900F,415.98,,16,2.4 GHz,5.1 GHz,Alder Lake,65 W,None,0
Intel Core i5-3570,92,,4,3.4 GHz,,Ivy Bridge,77 W,Intel HD Graphics 2500,4.5
AMD A8-6600K,129.97,,4,3.9 GHz,,Piledriver,100 W,Radeon HD 8570D,4.5
Intel Pentium Gold G6400,69.62,,2,4 GHz,,Comet Lake,58 W,Intel UHD Graphics 610,5
Intel Core 2 Quad Q9300,73.06,,4,2.5 GHz,,Yorkfield,95 W,None,4
Intel Core i7-5930K,,,6,3.5 GHz,3.7 GHz,Haswell,140 W,None,4.5
Intel Xeon E5-2687W,,,8,3.1 GHz,3.8 GHz,Sandy Bridge,150 W,None,0
Intel Core i3-12100T,,,4,2.2 GHz,4.1 GHz,Alder Lake,35 W,Intel UHD Graphics 730,0
AMD FX-8320,,,8,3.5 GHz,,Piledriver,125 W,None,4.5
AMD Athlon II 160u,,,1,1.8 GHz,,K10,20 W,None,0
Intel 300,119.64,https://cdna.pcpartpicker.com/static/forever/images/product/47591ba76caa6bc7d3101448ae74d04f.1600.jpg,2,3.9 GHz,,Raptor Lake Refresh,46 W,Intel UHD Graphics 710,0
Intel Core i9-11900F,319.99,,8,2.5 GHz,5.2 GHz,Rocket Lake,65 W,None,0
Intel Xeon E3-1245 V6,190.22,,4,3.7 GHz,4.1 GHz,Kaby Lake,73 W,Intel HD Graphics P630,5
AMD Phenom II X6 1100T Black,,,6,3.3 GHz,,K10,125 W,None,4
Intel Core i3-10320,,,4,3.8 GHz,4.6 GHz,Comet Lake,65 W,Intel UHD Graphics 630,0
Intel Xeon E5-2680,,,8,2.7 GHz,3.5 GHz,Sandy Bridge,130 W,None,4.5
AMD FX-8300,,,8,3.3 GHz,,Piledriver,95 W,None,4
Intel Xeon E5-2690 V4,1098.97,,14,2.6 GHz,3.5 GHz,Broadwell,135 W,None,5
Intel Xeon E5-2697 V4,,,18,2.3 GHz,3.6 GHz,Broadwell,145 W,None,5
Intel Core Ultra 5 245,,https://cdna.pcpartpicker.com/static/forever/images/product/a05314908d0b37259e7a2b1a5e3a4b56.1600.jpg,14,3.5 GHz,5.1 GHz,Arrow Lake,65 W,Intel Xe,0
Intel Core i3-9300,,,4,3.7 GHz,4.3 GHz,Coffee Lake Refresh,62 W,Intel UHD Graphics 630,0
Intel Core i7-3930K,468.39,,6,3.2 GHz,,Sandy Bridge,130 W,None,4.5
AMD Phenom II X6 1055T,,,6,2.8 GHz,,K10,125 W,None,4
Intel Core i9-13900F,289.19,https://cdna.pcpartpicker.com/static/forever/images/product/b8fab5fbdca5b7f19d806800e9d07b16.1600.jpg,24,2 GHz,5.6 GHz,Raptor Lake,65 W,None,0
Intel Xeon E3-1231 V3,,,4,3.4 GHz,3.8 GHz,Haswell Refresh,80 W,None,4.5
Intel Core i5-3330,59.99,,4,3 GHz,,Ivy Bridge,77 W,Intel HD Graphics 2500,4.5
Intel Core i7-13700T,,https://cdna.pcpartpicker.com/static/forever/images/product/1e486767a2ba0bdf2727648eee3aed63.1600.jpg,16,1.4 GHz,4.9 GHz,Raptor Lake,35 W,None,4.5
Intel Xeon E5-2670 V3,382.69,,12,2.3 GHz,3.1 GHz,Haswell,120 W,None,5
Intel Core i5-2500,,,4,3.3 GHz,,Sandy Bridge,95 W,Intel HD Graphics 2000,4.5
Intel Core i3-4170,72,,2,3.7 GHz,,Haswell Refresh,54 W,Intel HD Graphics 4400,4.5
Intel Core i9-11900,428,,8,2.5 GHz,5.2 GHz,Rocket Lake,65 W,Intel UHD Graphics 750,5
AMD FX-4350,100.86,,4,4.2 GHz,,Piledriver,125 W,None,4.5
AMD Phenom II X4 940 Black,,,4,3 GHz,,K10,125 W,None,1
Intel Core i5-655K,,,2,3.2 GHz,,Westmere,73 W,Intel HD Graphics,0
Intel Core i3-2120,,,2,3.3 GHz,,Sandy Bridge,65 W,Intel HD Graphics 2000,4
Intel Core i7-860,230.04,,4,2.8 GHz,,Nehalem,95 W,None,4
Intel Core i5-3450,245.3,,4,3.1 GHz,,Ivy Bridge,77 W,Intel HD Graphics 2500,4.5
Intel Pentium G4560,82,,2,3.5 GHz,,Kaby Lake,54 W,Intel HD Graphics 610,0
Intel Core i5-9500T,,,6,2.2 GHz,3.7 GHz,Coffee Lake Refresh,35 W,Intel UHD Graphics 630,0
Intel Xeon E5-2630 V4,,,10,2.2 GHz,3.1 GHz,Broadwell,85 W,None,0
Intel Core i7-990X Extreme Edition,899.98,,6,3.467 GHz,,Westmere,130 W,None,4
Intel Xeon E3-1230 V2,,,4,3.3 GHz,,Ivy Bridge,69 W,None,5
Intel Core i7-8700T,,,6,2.4 GHz,4 GHz,Coffee Lake,35 W,Intel UHD Graphics 630,0
Intel Core i9-7920X,,,12,2.9 GHz,4.4 GHz,Skylake,140 W,None,0
Intel Core 2 Quad Q9650,,,4,3 GHz,,Yorkfield,95 W,None,5
AMD 5350,,,4,2.05 GHz,,Jaguar,25 W,Radeon HD 8400,4.5
AMD FX-8370,,,8,4 GHz,4.3 GHz,Piledriver,125 W,None,4.5
Intel Core i7-6900K,232.07,,8,3.2 GHz,3.7 GHz,Broadwell,140 W,None,4.5
AMD A10-9700,,,4,3.5 GHz,3.8 GHz,Excavator,65 W,Radeon R7 (on-die),0
Intel Core i7-4770S,164.99,,4,3.1 GHz,,Haswell,65 W,Intel HD Graphics 4600,4.5
Intel Core i7-10700K Avengers Collector's Edition,,,8,3.8 GHz,5.1 GHz,Comet Lake,125 W,Intel UHD Graphics 630,0
Intel Core i7-7700T,251.12,,4,2.9 GHz,3.8 GHz,Kaby Lake,35 W,Intel HD Graphics 630,0
Intel Core 2 Extreme QX9770,,,4,3.2 GHz,,Yorkfield,136 W,None,5
Intel Core i7-4790S,,,4,3.2 GHz,4 GHz,Haswell Refresh,65 W,Intel HD Graphics 4000,5
AMD Athlon X4 860K,,,4,3.7 GHz,4 GHz,Steamroller,95 W,None,4.5
AMD Ryzen 7 PRO 7745,310.44,https://cdna.pcpartpicker.com/static/forever/images/product/0060e87b1c0093626f67e76793e68c41.1600.jpg,8,3.8 GHz,5.3 GHz,Zen 4,65 W,Radeon,0
Intel Core i3-4160,59.95,,2,3.6 GHz,,Haswell Refresh,54 W,Intel HD Graphics 4400,3
Intel Xeon E5-2699 V3,,,18,2.3 GHz,3.6 GHz,Haswell,145 W,None,0
Intel Xeon E5-2650 V4,350,,12,2.2 GHz,2.9 GHz,Broadwell,105 W,None,0
Intel Core i5-9600,214,,6,3.1 GHz,4.6 GHz,Coffee Lake Refresh,65 W,Intel UHD Graphics 630,0
Intel Core i5-11600,,,6,2.8 GHz,4.8 GHz,Rocket Lake,65 W,Intel UHD Graphics 750,5
AMD A10-7700K,197.31,,4,3.4 GHz,3.8 GHz,Steamroller,95 W,Radeon R7 (on-die),4.5
AMD Athlon 200GE,125.38,,2,3.2 GHz,,Zen,35 W,Radeon Vega 3,4.5
Intel Xeon E5-2630 V3,,,8,2.4 GHz,3.2 GHz,Haswell,85 W,None,5
Intel Core i9-10940X,955.62,,14,3.3 GHz,4.8 GHz,Cascade Lake,165 W,None,0
Intel Core i7-5775C,,,4,3.3 GHz,3.7 GHz,Broadwell,65 W,Iris Pro Graphics 6200,5
Intel Xeon E3-1270 V3,,,4,3.5 GHz,3.9 GHz,Haswell,80 W,None,0
Intel Core i7-3970X Extreme Edition,,,6,3.5 GHz,,Sandy Bridge,150 W,None,5
Intel Core i7-6700T,,,4,2.8 GHz,3.6 GHz,Skylake,35 W,Intel HD Graphics 530,0
Intel Xeon E5-2687W V4,,,12,3 GHz,3.5 GHz,Broadwell,160 W,None,0
Intel Xeon E5-1630 V4,89.95,,4,3.7 GHz,4 GHz,Broadwell,140 W,None,0
Intel Core i9-9960X,1318.2,,16,3.1 GHz,4.4 GHz,Skylake,165 W,None,0
Intel Core i7-3770S,,,4,3.1 GHz,,Ivy Bridge,65 W,Intel HD Graphics 4000,4.5
Intel Core i7-3820,,,4,3.6 GHz,,Sandy Bridge,130 W,None,4.5
Intel Core i5-4590S,,,4,3 GHz,3.7 GHz,Haswell Refresh,65 W,Intel HD Graphics 4000,4.5
AMD EPYC 4565P,,,16,4.3 GHz,5.7 GHz,Zen 5,170 W,Radeon,0
Intel Core i7-7740X,358,,4,4.3 GHz,4.5 GHz,Kaby Lake,112 W,None,0
Intel Xeon E3-1285 V6,,,4,4.1 GHz,4.5 GHz,Kaby Lake,79 W,Intel HD Graphics 630,0
Intel Core i5-13600,,,14,2.7 GHz,5 GHz,Raptor Lake,65 W,Intel UHD Graphics 770,0
AMD Ryzen 5 5600F,,,6,3 GHz,4 GHz,Zen 3,65 W,None,0
Intel Core 2 Quad Q9550,235.71,,4,2.83 GHz,,Yorkfield,95 W,None,4.5
AMD EPYC 4464P,497.89,,12,3.7 GHz,5.4 GHz,Zen 4,65 W,Radeon,0
Intel Pentium G3258,,,2,3.2 GHz,,Haswell Refresh,53 W,Intel HD Graphics,4.5
AMD FX-8320E,,,8,3.2 GHz,4 GHz,Piledriver,95 W,None,4.5
AMD EPYC 4564P,704.87,,16,4.5 GHz,5.7 GHz,Zen 4,170 W,Radeon,0
Intel Core i7-9700T,,,8,2 GHz,4.3 GHz,Coffee Lake Refresh,35 W,Intel HD Graphics 630,0
Intel Celeron 440,,,1,2 GHz,,Core,35 W,None,0
Intel Core i7-980X Extreme Edition,699.98,,6,3.33 GHz,,Westmere,130 W,None,5
Intel Core 2 Extreme QX9775,,,4,3.2 GHz,,Yorkfield,150 W,None,0
AMD A4-6300B,,,2,3.7 GHz,3.9 GHz,Piledriver,65 W,Radeon HD 8370D,0
Intel Celeron G4900,75.36,,2,3.1 GHz,,Coffee Lake,65 W,Intel UHD Graphics 610,0
Intel Pentium E6500,55.57,,2,2.93 GHz,,Wolfdale,65 W,None,0
AMD A10-7800,,,4,3.5 GHz,3.9 GHz,Steamroller,65 W,Radeon R7 (on-die),0
