name,price,image,airflow,color,noise_level,pwm,rpm,size,rating
Delta Electronics PFB0912DHE-F00,118.36,https://cdna.pcpartpicker.com/static/forever/images/product/3917f8eba3845ce7604a90b6784c0116.med.256p.jpg,175.03 CFM,Black,66.5 dB,No,8000 RPM,92 mm,0
Fractal Design Aspect 12 PWM,,https://cdna.pcpartpicker.com/static/forever/images/product/b8d7aa7fec809a3ed0b1aca3ba95d8f2.256p.jpg,13 - 56 CFM,Black,10 - 33.2 dB,Yes,500 - 2000 RPM,120 mm,4
ARCTIC P14 Pro PST CO,13.93,,110 CFM,Black,,Yes,400 - 2500 RPM,140 mm,0
be quiet! Pure Wings 3 PWM High-Speed,9.95,https://cdna.pcpartpicker.com/static/forever/images/product/ce2edad78abaabbc54e475ffbf1f5adf.256p.jpg,59.6 CFM,White,30.9 dB,Yes,2100 RPM,120 mm,4.5
MSI MPG F120 ARGB-2B 2-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/643430c79c242ccfa3f63e5394fc8c5c.256p.jpg,50.79 CFM,Black,25.7 dB,Yes,600 - 1200 RPM,120 mm,5
Lian Li UNI SL120,,https://cdna.pcpartpicker.com/static/forever/images/product/b6c65a6570dbc5395a484b2f9227be62.256p.jpg,58.54 CFM,White,17 - 31 dB,Yes,800 - 1900 RPM,120 mm,4.5
Thermalright TL-K12R,,,69 CFM,Black,27 dB,Yes,2150 RPM,120 mm,4.5
Fractal Design Aspect 12 RGB PWM,,https://cdna.pcpartpicker.com/static/forever/images/product/d93b4fe24e352b2943a2def6fd517784.256p.jpg,13 - 56 CFM,Black,10 - 33.2 dB,Yes,500 - 2000 RPM,120 mm,4.5
HYTE THICC FP12 3-Pack,50.99,https://cdna.pcpartpicker.com/static/forever/images/product/29fc44980c268c97b9486e12ade2bb9c.256p.jpg,105.8 CFM,Black / White,10 - 47.3 dB,Yes,,120 mm,5
Corsair iCUE SP RGB ELITE,29.98,https://cdna.pcpartpicker.com/static/forever/images/product/93fd334add31c133e0b1b92c8fbe5dc7.256p.jpg,47.73 CFM,White,28 dB,Yes,400 - 1500 RPM,120 mm,4
Thermaltake TOUGHFAN 12 Pro 2-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/0bcfaf75bdf8b38d7863ddb9b21ae2a3.256p.jpg,49.13 - 70.8 CFM,Black,18.3 - 22.6 dB,Yes,500 - 2000 RPM,120 mm,0
Yeston SAKURA 6-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/fd7a5c19686d90fa1f5afdefd9f24e19.256p.jpg,79 CFM,Blue / White,35.4 dB,Yes,800 - 1800 RPM,120 mm,5
NZXT F120U,28.79,,60 CFM,Black,32.2 dB,Yes,2250 RPM,120 mm,0
NZXT F140 RGB DUO 2-Pack,24.65,https://cdna.pcpartpicker.com/static/forever/images/product/d9b9ca6aa8c9f61aaba6c9c3cd47853b.256p.jpg,84.75 CFM,Black,36 dB,Yes,500 - 1800 RPM,140 mm,4.5
Scythe Wonder Tornado Slim,29.99,https://cdna.pcpartpicker.com/static/forever/images/product/529a707a7d230ef9800caca8a9425d0a.256p.jpg,6.8 - 34.31 CFM,Black,3.12 - 26.36 dB,Yes,400 - 2000 RPM,120 mm,0
Corsair LL140,34.99,https://cdna.pcpartpicker.com/static/forever/images/product/af0e3ae9695b1702e6e1b5d4f6200db6.256p.jpg,51.5 CFM,Black,25 dB,Yes,600 - 1300 RPM,140 mm,4.5
Geometric Future Squama 2503 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/1ef3a7b8e247d31ef3cc7931222aa325.256p.jpg,69.11 CFM,Black,29 dB,Yes,2000 RPM,120 mm,0
ID-COOLING ZF,,,,Pink / White,16.3 - 33.5 dB,Yes,900 - 2000 RPM,120 mm,4.5
ARCTIC P14 5-Pack,24.59,https://cdna.pcpartpicker.com/static/forever/images/product/1518f227ddb74890cde90b91a4bfc999.256p.jpg,72.8 CFM,Black,22.5 dB,No,1700 RPM,140 mm,4.5
ARCTIC S12038-4K,12.49,https://cdna.pcpartpicker.com/static/forever/images/product/3eb4f342d320a6c8a3ab34bafb58190c.256p.jpg,106 CFM,Black,,Yes,600 - 4000 RPM,120 mm,0
Noctua R8 redux-1200,14.29,,21.07 CFM,Black / Gray,9.1 dB,No,1200 RPM,80 mm,5
Fractal Design Dynamic X2 GP-14,18.48,https://cdna.pcpartpicker.com/static/forever/images/product/f38b18c93c27f55b94fe5b78ae92bd70.256p.jpg,68.4 CFM,Black,18.9 dB,No,1000 RPM,140 mm,4
NZXT F140 RGB (2026),16.89,,91.83 CFM,White,34.03 dB,Yes,2000 RPM,140 mm,0
Thermaltake TOUGHFAN 14 Pro 2-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/0bcfaf75bdf8b38d7863ddb9b21ae2a3.256p.jpg,87.6 - 119.6 CFM,Black,24.5 - 31.6 dB,Yes,500 - 2000 RPM,140 mm,5
Thermaltake SWAFAN EX14 ARGB 3-Pack,68.43,https://cdna.pcpartpicker.com/static/forever/images/product/bfc2b17a572fefec923c8a2e170ffde8.256p.jpg,79.3 - 81.6 CFM,Blue / White,34.5 - 38.8 dB,Yes,500 - 2000 RPM,140 mm,0
ID-COOLING TF-9215 ARGB,,,44.3 CFM,Black / White,14 - 33.4 dB,Yes,800 - 2500 RPM,92 mm,5
Corsair iCUE AF140 RGB ELITE 2-Pack,34.99,https://cdna.pcpartpicker.com/static/forever/images/product/4d2b8647e26d933fa02c69c53c60b24c.256p.jpg,19.5 - 89 CFM,Black,5 - 33.8 dB,Yes,500 - 1700 RPM,140 mm,4
Gigabyte AORUS EZ CHAIN FAN 120 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/2342ec698dbbff59ba237588edc6733e.256p.jpg,60 CFM,Black,8.2 - 29 dB,Yes,600 - 2000 RPM,120 mm,0
Corsair iCUE QL140 2-Pack,76.08,https://cdna.pcpartpicker.com/static/forever/images/product/f93ad1a45dcf4cb87c63acc0b6b136b8.256p.jpg,50.2 CFM,Black,26 dB,Yes,1250 RPM,140 mm,4
Phanteks M25-120 PWM D-RGB 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/713e7e444f970b3bb567e732927743ed.256p.jpg,84.26 CFM,Black,35.7 dB,Yes,500 - 2000 RPM,120 mm,0
Thermalright TL-M14,16.48,,88.75 CFM,Black,23.7 dB,Yes,1500 RPM,140 mm,0
GAMDIAS AEOLUS P2 3-Pack,67.19,https://cdna.pcpartpicker.com/static/forever/images/product/1688d493ad0834a1098634c36a088052.256p.jpg,74.97 CFM,Black,,Yes,1000 - 2400 RPM,120 mm,5
Corsair iCUE LINK RX140 MAX Starter Kit 2-Pack,22.47,https://cdna.pcpartpicker.com/static/forever/images/product/8c2a49f4ba192849cd924888ad2db0b5.256p.jpg,27.5 - 103.5 CFM,Black,10 - 31 dB,Yes,300 - 1600 RPM,140 mm,0
Iceberg Thermal IceGALE Xtra 2-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/486e35a67d8790ae6aefd8bfae7a9e62.256p.jpg,169 CFM,Black,0 - 47 dB,Yes,500 - 2500 RPM,140 mm,0
NZXT F120 RGB (2026),16.79,,70.67 CFM,White,33.05 dB,Yes,2400 RPM,120 mm,0
Cooler Master MOBIUS 120,19.44,https://cdna.pcpartpicker.com/static/forever/images/product/36253e103f2dcf3e01746a5d4af6246f.256p.jpg,63.1 CFM,Black,22.6 dB,Yes,,120 mm,0
Cooler Master SickleFlow 120 ARGB,,https://cdna.pcpartpicker.com/static/forever/images/product/ef192b655c72dcc9065ee7c18e6b41f7.256p.jpg,62 CFM,White,8 - 27 dB,Yes,650 - 1800 RPM,120 mm,4.5
be quiet! Silent Wings 3,,https://cdna.pcpartpicker.com/static/forever/images/product/f70ffc19a1155626d9bb2d76398316d1.256p.jpg,50.5 CFM,Black,16.4 dB,Yes,1450 RPM,120 mm,4.5
Lian Li UNI FAN AL120 V2 3-Pack,136.97,https://cdna.pcpartpicker.com/static/forever/images/product/bff8bab79a522311c979142eb0835f73.256p.jpg,77.3 CFM,White,28.7 dB,Yes,250 - 2000 RPM,120 mm,4.5
Deepcool FL12,,https://cdna.pcpartpicker.com/static/forever/images/product/303ac549aaca985c823eee673f28eb91.256p.jpg,55 CFM,Black,32 dB,Yes,500 - 2150 RPM,120 mm,0
ID-COOLING AT-120-K,8.11,,0 - 83 CFM,Black,0 - 36.5 dB,Yes,,120 mm,0
Asus TUF GAMING TF120 ARGB White 3in1 3-Pack,44.94,https://cdna.pcpartpicker.com/static/forever/images/product/494fd10ea421041f0e573cb6a4408412.256p.jpg,76 CFM,White,29 dB,Yes,250 - 1900 RPM,120 mm,0
Lian Li UNI FAN AL120 3-Pack,112.51,https://cdna.pcpartpicker.com/static/forever/images/product/ad55adbbb01f614402e160c1a6f403bf.256p.jpg,64.5 CFM,Black,17 - 28.3 dB,Yes,800 - 1900 RPM,120 mm,4.5
Corsair iCUE SP120 RGB ELITE,,https://cdna.pcpartpicker.com/static/forever/images/product/3721abd9b07452461d7dcae78306355e.256p.jpg,,Black / White,,Yes,400 - 1500 RPM,120 mm,4
Corsair RS140 MAX,12.97,https://cdna.pcpartpicker.com/static/forever/images/product/7abdb7245c617b2f4d90bdfcbf91ef32.256p.jpg,27.5 - 104 CFM,Black,31 dB,Yes,1600 RPM,140 mm,0
Thermaltake CT140 ARGB Sync 2-Pack,36.1,,77.37 CFM,Black,30.5 dB,Yes,500 - 1500 RPM,140 mm,0
Cooler Master MasterFan MF Halo 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/cd80e2f0235517b8024bdefec71df21f.256p.jpg,47.2 CFM,Black,6 - 30 dB,Yes,650 - 1800 RPM,120 mm,4
Scythe Gentle Typhoon,,,57.68 CFM,Gray,28 dB,No,1850 RPM,120 mm,5
Deepcool FK120 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/0c2c8003f461f8ef5b6409f86d104f4e.256p.jpg,68.99 CFM,Black,28 dB,Yes,500 - 1850 RPM,120 mm,4.5
Noctua P12-1300,,https://cdna.pcpartpicker.com/static/forever/images/product/35c282c41258e6cea10bda219526042f.256p.jpg,37.33 - 54.36 CFM,Brown,12.6 - 19.8 dB,No,900 - 1300 RPM,120 mm,4.5
Scythe Wonder Tornado,29.99,https://cdna.pcpartpicker.com/static/forever/images/product/e0153696347fd1450fe4eb9709760025.256p.jpg,7.68 - 60.29 CFM,Black,3 - 26.88 dB,Yes,350 - 2000 RPM,120 mm,0
ADATA XPG VENTO,,https://cdna.pcpartpicker.com/static/forever/images/product/53a8c451d4f0bbe238255657916358f9.256p.jpg,45.3 CFM,Black / White,23 dB,No,1200 RPM,120 mm,4
Cooler Master MOBIUS 120P ARGB,28.55,https://cdna.pcpartpicker.com/static/forever/images/product/9303d66e79a38a3d6a352bfe451def35.256p.jpg,75.2 CFM,Black,30 dB,Yes,,120 mm,4.5
Scythe Kaze Flex140 Square,27.93,,16.8 - 100.8 CFM,Gray / Black,4.19 - 26.45 dB,Yes,300 - 1800 RPM,140 mm,5
DARKROCK F140,19.45,,61.5 CFM,Black,29 dB,Yes,800 - 1800 RPM,140 mm,0
Noctua A14 ULN,24.95,https://cdna.pcpartpicker.com/static/forever/images/product/5b003810f65ea5610c19f44b84fb5c15.256p.jpg,,Brown,9.1 - 11.9 dB,No,650 - 800 RPM,140 mm,4.5
Cooler Master SickleFlow ARGB,30.2,https://cdna.pcpartpicker.com/static/forever/images/product/de1a0218636e0a3ac284d6db27e14ba6.256p.jpg,0 - 102.8 CFM,Black / Translucent White,0 - 15.7 dB,Yes,,200 mm,0
Jonsbo SL-120B,,https://cdna.pcpartpicker.com/static/forever/images/product/32e54113ef9390618cba77ff84a95209.256p.jpg,28.12 - 59.48 CFM,Black,22 - 32 dB,Yes,600 - 1500 RPM,120 mm,0
Thermaltake Pure,,https://cdna.pcpartpicker.com/static/forever/images/product/c42f217702cf812cb5a8b732305c8f52.256p.jpg,129.63 CFM,Black,28.2 dB,No,,200 mm,5
Lian Li UNI FAN AL140 V2,,https://cdna.pcpartpicker.com/static/forever/images/product/d95210dfaf8ca4a5c98df412e331f67c.256p.jpg,81.3 CFM,White,26.8 dB,Yes,250 - 1600 RPM,140 mm,0
Thermalright TL-C12015,,,59 CFM,Black,26.1 dB,Yes,1800 RPM,120 mm,5
APNX FP1,4.49,https://cdna.pcpartpicker.com/static/forever/images/product/329ac498a7a121e71af75a4291689921.256p.jpg,74.6 CFM,White,15.3 - 33.2 dB,Yes,500 - 1600 RPM,120 mm,4
ID-COOLING AS-120,,https://cdna.pcpartpicker.com/static/forever/images/product/feef12d641794c00c3f4f6196aa8d2f7.256p.jpg,58 CFM,Black,27.2 dB,Yes,300 - 2000 RPM,120 mm,0
Gigabyte AORUS EZ CHAIN FAN 120,,,60 CFM,White,8.2 - 29 dB,Yes,600 - 2000 RPM,120 mm,0
Corsair RS140 MAX 2-Pack,44,https://cdna.pcpartpicker.com/static/forever/images/product/36d9f07bcfd8744441fe02843037e628.256p.jpg,27.5 - 104 CFM,Black,31 dB,Yes,1600 RPM,140 mm,0
Iceberg Thermal IceGALE 2-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/5a6d6d9e249bce3f73557df083cb6d0a.256p.jpg,96 CFM,Black,0 - 36 dB,Yes,500 - 1600 RPM,140 mm,0
Lian Li Uni Fan AL,27.79,https://cdna.pcpartpicker.com/static/forever/images/product/0b1a0bcf04cfc0adbde69df01a697447.256p.jpg,64.5 CFM,Black,17 - 28.3 dB,Yes,800 - 1900 RPM,120 mm,5
Phanteks M25-140 PWM D-RGB,25.32,https://cdna.pcpartpicker.com/static/forever/images/product/a7289ad2229c5f43ccdc83c00ef87854.256p.jpg,104.62 CFM,Black,36.57 dB,Yes,500 - 1800 RPM,140 mm,4.5
NZXT AER RGB 2,,https://cdna.pcpartpicker.com/static/forever/images/product/b19d6a6fea838158bcca998fcae5e6b0.256p.jpg,17.48 - 52.44 CFM,Black,22 - 33 dB,Yes,500 - 1500 RPM,120 mm,4.5
Fractal Design Aspect 14 RGB PWM 3-Pack,32.97,,20 - 78 CFM,Black,10 - 35.5 dB,Yes,500 - 1700 RPM,140 mm,0
ARCTIC P12 PST CO,,https://cdna.pcpartpicker.com/static/forever/images/product/26033541043d539ea2de7cdeb31208e5.256p.jpg,56.3 CFM,Black,,Yes,200 - 1800 RPM,120 mm,4.5
Noctua A15 PWM,24.95,,,Brown,13.8 - 19.2 dB,Yes,900 - 1200 RPM,140 mm,4.5
Noctua A14 FLX,24.95,https://cdna.pcpartpicker.com/static/forever/images/product/ed1b5090490439fec984e1ab8a37a963.med.256p.jpg,52.2 - 68 CFM,Brown,13.8 - 19.2 dB,No,900 - 1200 RPM,140 mm,4.5
Thermalright TL-P12,,,52.86 CFM,Black,22.1 dB,Yes,1500 RPM,120 mm,5
Deepcool FL12R 3-Pack,60.94,https://cdna.pcpartpicker.com/static/forever/images/product/79320adea2887e06ff8b5eec89509d67.256p.jpg,55 CFM,Black,32 dB,Yes,500 - 2150 RPM,120 mm,0
Noctua F12 industrialPPC-2000,26.95,,71.69 CFM,Brown / Black,29.7 dB,No,2000 RPM,120 mm,4.5
MSI Torx,31.74,https://cdna.pcpartpicker.com/static/forever/images/product/4dc94a848ff34f7ddf8b97b2fe8cbece.256p.jpg,19.79 - 71.27 CFM,Black / Red,17.2 - 33.6 dB,Yes,500 - 1800 RPM,120 mm,5
Super Flower MEGACOOL 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/39bafb9e0903975285570b9aca20d82e.256p.jpg,90.04 - 151.87 CFM,Black / Purple,35.73 - 48.39 dB,Yes,2000 - 3300 RPM,120 mm,4.5
iBuypower GEN 9 Deluxe 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/a01d08b302f8dcfbd4572019ca5ff629.256p.jpg,,Black,,Yes,500 - 1800 RPM,120 mm,0
Noctua A12x15 FLX,21.95,,27.37 - 55.44 CFM,Brown,10.2 - 23.9 dB,No,950 - 1850 RPM,120 mm,4.5
TRYX ROTA PRO,20.47,https://cdna.pcpartpicker.com/static/forever/images/product/b0b64f88ad5641f8cb2e92af0d05c61c.256p.jpg,81.32 CFM,White,30.97 dB,Yes,500 - 2250 RPM,120 mm,0
Corsair AF120 Quiet,,https://cdna.pcpartpicker.com/static/forever/images/product/32626712aa4d22053c4bb730a87dac92.256p.jpg,39.88 CFM,Black,21 dB,No,1100 RPM,120 mm,4.5
Lian Li ST120 3-Pack,54.08,https://cdna.pcpartpicker.com/static/forever/images/product/043941e9f9940f78c2f2e5a2f4db58ca.256p.jpg,69.17 CFM,White,32 dB,Yes,800 - 1900 RPM,120 mm,3.5
Corsair iCUE SP RGB ELITE 3-Pack,79.98,https://cdna.pcpartpicker.com/static/forever/images/product/68a33ee0386c4a4b6ed57c9bf50f350a.256p.jpg,47.73 CFM,White,28 dB,Yes,400 - 1500 RPM,120 mm,4.5
Thermalright TL-B12,,,69 CFM,Black,28.1 dB,Yes,2150 RPM,120 mm,4.5
Silverstone FHS80X,31.99,https://cdna.pcpartpicker.com/static/forever/images/product/bca8fedefe3a01a9ee0e87e6c702178b.256p.jpg,83.66 CFM,Black,61.4 dB,Yes,2000 - 10000 RPM,80 mm,0
ID-COOLING XF-12025-ARGB-TRIO 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/aa16aa32b9b9581f766a76380a4f5d09.256p.jpg,62 CFM,Black / White,18 - 26.4 dB,Yes,700 - 1500 RPM,120 mm,4.5
NZXT F140U,29.9,,92.2 CFM,White,36.9 dB,Yes,2400 RPM,140 mm,0
Super Flower MEGACOOL,,https://cdna.pcpartpicker.com/static/forever/images/product/715281e44e2d406ac798a309745e0698.256p.jpg,110.33 - 175.03 CFM,Black / Purple,39.24 - 50.59 dB,Yes,1800 - 2700 RPM,140 mm,5
Montech HP 3-Pack,30.46,https://cdna.pcpartpicker.com/static/forever/images/product/84577d81f9d999ee96cb40ef04ea6f14.256p.jpg,95.61 CFM,Black,29.2 dB,Yes,600 - 1600 RPM,140 mm,0
Geometric Future Squama 2503R 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/407f9c0b3eb99b7e68c3edfb72890a0c.256p.jpg,71.8 CFM,Black,34 dB,Yes,800 - 2100 RPM,140 mm,5
Yeston SAKURA 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/c0150bbdba42e0efebc044cc47eda8a0.256p.jpg,79 CFM,Blue / White,35.4 dB,Yes,800 - 1800 RPM,120 mm,0
MSI MEG SILENT GALE P12,,,0 - 56.2 CFM,Black,0 - 22.7 dB,Yes,,120 mm,0
upHere T7SYC7 3-Pack,,,,Black,16.1 - 27.7 dB,Yes,600 - 1700 RPM,120 mm,4
Thermalright TL-H120-15B-S,,,56.36 CFM,Black,28.4 dB,Yes,1900 RPM,120 mm,0
Geometric Future Squama 3805,,https://cdna.pcpartpicker.com/static/forever/images/product/71991e8f8c221317b9e2bf4cacaf8098.256p.jpg,115 CFM,Black,40 dB,Yes,700 - 2500 RPM,120 mm,0
ARCTIC P9 Silent,9.46,https://cdna.pcpartpicker.com/static/forever/images/product/b647711eb3c9d398385d82c2a634949a.256p.jpg,23.96 CFM,Black,,Yes,1900 RPM,92 mm,0
DARKROCK R140,19.76,,61.5 CFM,Black,29 dB,Yes,800 - 1800 RPM,140 mm,0
Corsair AF120 ELITE,11.99,https://cdna.pcpartpicker.com/static/forever/images/product/1fdc6df5b8cebcf24439775e3a10491c.256p.jpg,10.9 - 59.1 CFM,White / Gray,31.5 dB,Yes,400 - 1850 RPM,120 mm,0
ENDORFY Stratus,14.3,https://cdna.pcpartpicker.com/static/forever/images/product/df1c8a39bd052efdb2a977328f43c81c.256p.jpg,,Black,,Yes,200 - 1400 RPM,120 mm,0
ARCTIC P14 PST CO,13.99,https://cdna.pcpartpicker.com/static/forever/images/product/478f18d1806aae845917223ca6e55548.256p.jpg,72.8 CFM,Black,22.5 dB,Yes,200 - 1700 RPM,140 mm,5
MSI MPG F120 ARGB-2W 2-Pack,46.41,https://cdna.pcpartpicker.com/static/forever/images/product/01393dc473b496559afc661c4d67ab44.256p.jpg,50.79 CFM,White,25.7 dB,Yes,600 - 1200 RPM,120 mm,0
ARCTIC P12 PWM PST A-RGB 0dB,16.98,https://cdna.pcpartpicker.com/static/forever/images/product/b74347b41dcea2773baf0e73628d29ff.256p.jpg,48.8 CFM,White / Gray,,Yes,,120 mm,4.5
Corsair AF120 (2018) 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/a73149881193fcdb1dcabe7140f0c353.256p.jpg,52 CFM,Black / White,26 dB,No,1400 RPM,120 mm,4.5
Thermaltake Riing,195.04,https://cdna.pcpartpicker.com/static/forever/images/product/03fff3c96d42c32f03c01b54e8214fc7.256p.jpg,51.15 CFM,Black / Blue,22.1 - 28.1 dB,No,1000 - 1400 RPM,140 mm,5
ARCTIC F12 PST 5-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/874e467d5faf48ecab6f5be42e19df4e.256p.jpg,53 CFM,Black,22.5 dB,Yes,230 - 1350 RPM,120 mm,4.5
Kingwin CF-08LB,,,30 CFM,Black,25 dB,No,1700 RPM,80 mm,5
Cooler Master MasterFan MF140 Halo²,23.45,https://cdna.pcpartpicker.com/static/forever/images/product/08e34dd8a12a1b79bfda5bcf25499861.256p.jpg,59.51 CFM,Black,27 dB,Yes,,140 mm,4
upHere T7SYC7 6-Pack,,,,Black,16.1 - 27.7 dB,Yes,600 - 1700 RPM,120 mm,4
Razer Kunai Chroma 3-Pack,73.52,,34.48 - 81 CFM,Black,15 - 30 dB,Yes,500 - 1600 RPM,140 mm,0
Antec NOVA 120,14.99,,44 - 95.32 CFM,Black,21.5 - 38.7 dB,Yes,300 - 3200 RPM,120 mm,0
Montech Metal Pro,14.47,,76.2 CFM,Black,29.1 dB,Yes,600 - 2200 RPM,120 mm,4
APNX FP2,26.47,https://cdna.pcpartpicker.com/static/forever/images/product/930ec1586ac762a5980280a67c6ddaab.256p.jpg,83.87 CFM,Black,15.3 - 34.8 dB,Yes,500 - 1800 RPM,120 mm,5
Montech HP,18.98,https://cdna.pcpartpicker.com/static/forever/images/product/372cf8c36960aeb775630a62bdb488d2.256p.jpg,95.61 CFM,Black,29.2 dB,Yes,600 - 1600 RPM,140 mm,0
ARCTIC P14 PWM PST A-RGB 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/49c9b77f83a824fcd19b1865c3032a26.256p.jpg,0 - 68 CFM,Black,,Yes,,140 mm,4.5
Deepcool FC120,,https://cdna.pcpartpicker.com/static/forever/images/product/09f6d631f96b668c6c86efbe7fc669e8.256p.jpg,,Black,,Yes,500 - 1800 RPM,120 mm,4
Thermalright TL-B6B,,,16.17 CFM,Black,20.17 dB,Yes,3200 RPM,60 mm,5
ADATA Vento,8.66,https://cdna.pcpartpicker.com/static/forever/images/product/2b1294fbc86284a131ec2f321f9dcba7.256p.jpg,45.3 CFM,Black,23 dB,No,1200 RPM,120 mm,0
Cooler Master CF120 ARGB,,,47.65 CFM,Black,20 dB,Yes,1200 RPM,120 mm,0
Lian Li UNI FAN SL V2 120 5-Pack,,,64.5 CFM,White,29.2 dB,Yes,250 - 2000 RPM,120 mm,0
Fractal Design Aspect 12 RGB,,https://cdna.pcpartpicker.com/static/forever/images/product/d93b4fe24e352b2943a2def6fd517784.256p.jpg,32 CFM,Black,18.3 dB,No,1200 RPM,120 mm,4
Silverstone Air Penetrator 184i PRO,,https://cdna.pcpartpicker.com/static/forever/images/product/c9bf636433a1eea520e105ac3cf25504.256p.jpg,1 - 143.21 CFM,Black,1 - 34.5 dB,Yes,1 - 1200 RPM,180 mm,0
Corsair LL140 2-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/afa0612430ce88fbeb08e1de600e1ac8.256p.jpg,51.5 CFM,Black,25 dB,Yes,600 - 1300 RPM,140 mm,4.5
Scythe Grand Tornado,34.99,https://cdna.pcpartpicker.com/static/forever/images/product/b1fb5fe924a3ea5d2cf9e5a12eaa1e0d.256p.jpg,12.23 - 97.82 CFM,Black,9.3 - 36.63 dB,Yes,400 - 3000 RPM,120 mm,5
Geometric Future Squama 2503R,19.89,https://cdna.pcpartpicker.com/static/forever/images/product/2eefb931fa32ae51cb1e3728881e14cc.256p.jpg,71.8 CFM,Black,34 dB,Yes,800 - 2100 RPM,140 mm,5
Antec Fusion 120 ARGB White 5-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/7ec97dc979900b2f2a50487afd3d5955.256p.jpg,57.93 CFM,White,17.02 - 31.24 dB,Yes,600 - 2000 RPM,120 mm,5
Corsair AF120 Quiet 2-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/cac61cef920d87c4677b975bdc8aab27.256p.jpg,52.19 CFM,Black / Blue,25.2 dB,No,1500 RPM,120 mm,4.5
Silverstone Air Slimmer 140 ARGB,39.93,,1 - 82 CFM,Black,1 - 33 dB,Yes,1 - 1700 RPM,140 mm,0
ID-COOLING TF-12025-ARGB-TRIO-SNOW 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/ed87b832764309241319e46fff37c04f.256p.jpg,68.2 CFM,White,13.8 - 30.5 dB,Yes,500 - 1500 RPM,120 mm,0
Noctua P12 PWM,,https://cdna.pcpartpicker.com/static/forever/images/product/7e776de393397bc8d6a7fb629d8623f1.256p.jpg,,Brown,12.6 - 19.8 dB,Yes,900 - 1300 RPM,120 mm,4.5
ARCTIC P12 PWM PST A-RGB 0dB 3-Pack,40.47,https://cdna.pcpartpicker.com/static/forever/images/product/b9f24444b1673d2ddeb1a846fdc9381a.256p.jpg,48.8 CFM,White / Gray,,Yes,,120 mm,4.5
Noctua NF-A14x25 G2 LS-PWM,29.99,https://cdna.pcpartpicker.com/static/forever/images/product/c41d8e68856644bf38055c64d1cd7bed.256p.jpg,39.7 - 48 CFM,Brown,8.6 - 11.4 dB,Yes,600 - 800 RPM,140 mm,0
Alphacool 24847,,,153.9 CFM,Black,50 - 51 dB,Yes,3200 RPM,140 mm,0
Montech RX,23.11,https://cdna.pcpartpicker.com/static/forever/images/product/89f0f0f8afb52db610736c7a4db2ab11.256p.jpg,90.5 CFM,White,27.9 dB,Yes,600 - 1600 RPM,140 mm,0
KOLINK UMBRA X,4.99,https://cdna.pcpartpicker.com/static/forever/images/product/f30248dd72da88b67730378b396e778e.256p.jpg,61 CFM,Black,24 dB,Yes,600 - 1600 RPM,120 mm,0
Thermalright TL-H12-X28,,,80.45 CFM,White,29.4 dB,Yes,2150 RPM,120 mm,5
Thermalright TL-P12W-S,15.99,,52.86 CFM,White,22.1 dB,Yes,1500 RPM,120 mm,0
Fractal Design Prisma AL,10.99,https://cdna.pcpartpicker.com/static/forever/images/product/e0d0f880ff9f729494e4085a88ba391c.256p.jpg,20.68 - 85.71 CFM,White / Black,14.8 - 32.7 dB,Yes,500 - 2000 RPM,120 mm,4
Thermaltake CT120 Reverse ARGB Sync 2-Pack,31.18,,65.82 CFM,White,31.2 dB,Yes,500 - 2000 RPM,120 mm,0
Vetroo ARGB120,,,48.1 CFM,Pink,,Yes,1300 RPM,120 mm,0
Noctua A15 HS-PWM chromax.black.swap,,,82.52 CFM,Multicolor,24.6 dB,Yes,300 - 1500 RPM,140 mm,4.5
Fractal Design Aspect 12,30.09,https://cdna.pcpartpicker.com/static/forever/images/product/17ce34f3a97ba1da42eaf9f48e919607.256p.jpg,32 CFM,Black,18.3 dB,No,1200 RPM,120 mm,5
Apevia APEVIA CO312L-WH Cosmos 120mm White LED Ultra Silent Case Fan w/ 16 LEDs &amp; Anti-Vibration Rubber Pads (3 Pack) 3-Pack,,,57.67 - 56.67 CFM,,24.7 dB,No,1350 RPM,120 mm,0
