name,price,image,airflow,color,noise_level,pwm,rpm,size,rating
ARCTIC P14 Pro PST,9.49,https://cdna.pcpartpicker.com/static/forever/images/product/c630ab6dd2c3dd04131932691a4a3d5c.256p.jpg,110 CFM,White,,Yes,400 - 2499 RPM,140 mm,4
ARCTIC P12 Pro A-RGB,10.99,https://cdna.pcpartpicker.com/static/forever/images/product/7b2932f98a20d2624278ea61ecf35d51.256p.jpg,77 CFM,Black,,Yes,600 - 3000 RPM,120 mm,4.5
ARCTIC P12 Pro A-RGB 3-Pack,24.99,https://cdna.pcpartpicker.com/static/forever/images/product/ac31035551179cb15e93181b7f83b2e5.256p.jpg,77 CFM,Black,,Yes,600 - 3000 RPM,120 mm,5
Thermalright TL-M12Q-S X3 3-Pack,21.16,https://cdna.pcpartpicker.com/static/forever/images/product/27210d1a2829c241c4f8ca8ef5e4dfd1.256p.jpg,68.9 CFM,Black,28.2 dB,Yes,2000 RPM,120 mm,5
Noctua P12 redux-1700 PWM,12.95,,70.75 CFM,Gray,25.1 dB,Yes,450 - 1700 RPM,120 mm,4.5
Noctua NF-A14x25 G2 PWM chromax.black,40.47,https://cdna.pcpartpicker.com/static/forever/images/product/cdde8d152883b33ab43da9f3c3defb41.256p.jpg,0 - 91.58 CFM,Black,0 - 24.8 dB,Yes,,140 mm,5
Corsair iCUE LINK RX120 3-Pack,55.9,https://cdna.pcpartpicker.com/static/forever/images/product/9e83ce400f4af8c001fb031c252fde6f.256p.jpg,10.5 - 74.2 CFM,Black / White,10 - 36 dB,No,2100 RPM,120 mm,4
Thermalright TL-C12C-S,,https://cdna.pcpartpicker.com/static/forever/images/product/af6e68e6a9c0f9803e9c8cf7b0eb82a3.256p.jpg,66.17 CFM,Black,25.6 dB,Yes,1550 RPM,120 mm,4
Thermalright TL-C12CW-S X3 3-Pack,,,66.17 CFM,White,25.6 dB,Yes,1550 RPM,120 mm,4.5
Corsair iCUE LINK LX120 RGB Starter Kit 3-Pack,99.95,https://cdna.pcpartpicker.com/static/forever/images/product/4289ddce095f6004a6e3cbb06083823b.256p.jpg,9.75 - 69.9 CFM,Black,10 - 36 dB,Yes,400 - 2400 RPM,120 mm,4.5
Thermalright TL-C12C X5 5-Pack,,,66.17 CFM,Black,25.6 dB,Yes,1550 RPM,120 mm,4.5
Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack,68.98,https://cdna.pcpartpicker.com/static/forever/images/product/022030846fd2908c85e111d037e80508.256p.jpg,16.44 - 63.1 CFM,Black,,Yes,480 - 2400 RPM,120 mm,4
ARCTIC P12 Slim PWM PST 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/af14c991bf13b2d8e78b00bb6a53327d.256p.jpg,42.1 CFM,Black,22.5 dB,Yes,300 - 2100 RPM,120 mm,4.5
ARCTIC P14 Pro PST 5-Pack,27.49,,110 CFM,Black,,Yes,400 - 2500 RPM,140 mm,4.5
Noctua A14 industrialPPC-3000 PWM,28.99,,158.5 CFM,Brown / Black,41.3 dB,Yes,800 - 3000 RPM,140 mm,4.5
Noctua A12x15 PWM chromax.black.swap,23.95,https://cdna.pcpartpicker.com/static/forever/images/product/728bbf66c191e0bb6efc51465589ca00.256p.jpg,55.44 CFM,Black / Multicolor,23.9 dB,Yes,450 - 1850 RPM,120 mm,4.5
Noctua F12 industrialPPC-3000 PWM,26.95,,109.89 CFM,Brown / Black,43.5 dB,Yes,750 - 3000 RPM,120 mm,4.5
Noctua NF-A14x25 G2 PWM,32.99,https://cdna.pcpartpicker.com/static/forever/images/product/b08ce15bc863d94f449517da25a7df48.256p.jpg,74.8 - 91.6 CFM,Brown,19.7 - 24.8 dB,Yes,1250 - 1500 RPM,140 mm,4.5
Corsair RS120-R 3-Pack,28.34,https://cdna.pcpartpicker.com/static/forever/images/product/82573a109a4cbdb97e3a4ff228b22d04.256p.jpg,13.33 - 65.82 CFM,Black,10 - 34.6 dB,Yes,420 - 2100 RPM,120 mm,4
Thermalright TL-C12C-S X5 5-Pack,22.5,,66.17 CFM,Black,25.6 dB,Yes,1550 RPM,120 mm,4
