name,price,image,capacity,interface,type,form_factor,cache,price_gb,rating
AGI AI298,109.95,https://cdna.pcpartpicker.com/static/forever/images/product/9a9613f06806ceab959e6a72bab6e5c2.256p.jpg,1 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,£0.110,0
Crucial P1,,https://cdna.pcpartpicker.com/static/forever/images/product/c375bc816cb1189605ece2421baadb94.256p.jpg,1 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,,4.5
Biwin Black Opal X570 Pro,,https://cdna.pcpartpicker.com/static/forever/images/product/0f8b535350f78b2976116e02ecb4201b.256p.jpg,1 TB,M.2 PCIe 5.0 X4,SSD,M.2-2280,1024 MB,,0
Corsair MP700 PRO XT,1414.99,,2 TB,M.2 PCIe 5.0 X4,SSD,M.2-2280,,£0.707,0
Silicon Power US75,129.99,,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.130,5
Gigabyte AORUS Gen5 14000,229.99,https://cdna.pcpartpicker.com/static/forever/images/product/60acf357b2e2fc35d9568816ca9c72d7.256p.jpg,1 TB,M.2 PCIe 5.0 X4,SSD,M.2-2280,2048 MB,£0.230,0
Kingston Fury Renegade with Heat Sink,240.41,https://cdna.pcpartpicker.com/static/forever/images/product/fffe1ba051b880e726abe0550d5fe502.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.120,0
Sabrent Rocket 4,,,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,,0
Patriot P220,25.99,https://cdna.pcpartpicker.com/static/forever/images/product/6ee0969eac126e58a3dc57a4a6a926a0.256p.jpg,128 GB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.203,0
Western Digital Green,49.69,https://cdna.pcpartpicker.com/static/forever/images/product/859404a3a795b374960d252a5883bc22.256p.jpg,240 GB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.207,3.5
ADATA XPG SX8200 Pro,132.47,https://cdna.pcpartpicker.com/static/forever/images/product/b57859de3be232130e21cae9181f2138.256p.jpg,512 GB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,£0.267,4.5
SanDisk Optimus GX 7100,106.99,https://cdna.pcpartpicker.com/static/forever/images/product/c8d7b4d71c00f1e0c7d27e7d2d6b55ef.256p.jpg,500 GB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.214,0
Inland Professional,,,120 GB,SATA 6.0 Gb/s,SSD,"2.5""",,,4.5
SanDisk Extreme,141.19,,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.141,5
ADATA Ultimate SU650,85.24,https://cdna.pcpartpicker.com/static/forever/images/product/91498d84290724d3d4e364dba8b31d77.256p.jpg,512 GB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.166,0
Lexar NM710,193.88,https://cdna.pcpartpicker.com/static/forever/images/product/8c8fa679a8a4d517926eb7d1f7495982.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.194,4.5
