name,price,image,capacity,interface,type,form_factor,cache,price_gb,rating
Crucial P510,157.94,https://cdna.pcpartpicker.com/static/forever/images/product/d54a12ece6338a1a71ecaa145f58f616.256p.jpg,1 TB,M.2 PCIe 5.0 X4,SSD,M.2-2280,,£0.158,4.5
Patriot P400 Lite,259.3,https://cdna.pcpartpicker.com/static/forever/images/product/0aaf750acd7697a2e0fac812b6ba7770.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.130,5
Samsung 870 Evo,409.31,https://cdna.pcpartpicker.com/static/forever/images/product/2c576ecaedba7428ac231ac4f1e12a4d.256p.jpg,2 TB,SATA 6.0 Gb/s,SSD,"2.5""",2048 MB,£0.205,4.5
TEAMGROUP T-Force Vulcan Z,131.93,https://cdna.pcpartpicker.com/static/forever/images/product/cdef80d378b1ec2bf07dff0b42837897.256p.jpg,1 TB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.132,4.5
Lexar NM790,275.52,https://cdna.pcpartpicker.com/static/forever/images/product/496a72c7b0963d48aff4970b5407c89f.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.138,5
Samsung 980 Pro,324.99,https://cdna.pcpartpicker.com/static/forever/images/product/3b2a91588d1a28bfa1b0184fb7f1c0a1.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,2048 MB,£0.162,4.5
ADATA Legend 710,119,https://cdna.pcpartpicker.com/static/forever/images/product/fcfc16d3df880de0f065760333e239cb.256p.jpg,1 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,£0.119,0
Kingston FURY Renegade G5,1599.99,https://cdna.pcpartpicker.com/static/forever/images/product/c8443eac545855ab2ef3b11814140054.256p.jpg,8 TB,M.2 PCIe 5.0 X4,SSD,M.2-2280,,£0.200,0
Mushkin Source HC,17479.72,,16 TB,SATA 6.0 Gb/s,SSD,"2.5""",,£1.092,0
Lenovo S4520,1917.19,,480 GB,SATA 6.0 Gb/s,SSD,"3.5""",,£5.072,0
Western Digital WD_BLACK SN8100,805.99,https://cdna.pcpartpicker.com/static/forever/images/product/1a712c4fc7eec20d6af59f2992e40962.256p.jpg,4 TB,M.2 PCIe 5.0 X4,SSD,M.2-2280,4096 MB,£0.201,5
Crucial P3 Plus,259.82,https://cdna.pcpartpicker.com/static/forever/images/product/2830bf3ba317c794ccde742efe4304be.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.260,4.5
Samsung 9100 PRO w/Heatsink,1649.99,https://cdna.pcpartpicker.com/static/forever/images/product/7d2bcbd37be362c0cc30ab8f8cffe824.256p.jpg,8 TB,M.2 PCIe 5.0 X4,SSD,M.2-2280,8192 MB,£0.206,0
Sabrent Rocket 4 Plus,,https://cdna.pcpartpicker.com/static/forever/images/product/a1f3e983bdceebc282929dee27df1db3.256p.jpg,8 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,,4
Kingston NV2,34.45,https://cdna.pcpartpicker.com/static/forever/images/product/1ab970d9da01e708936041815f8f0505.256p.jpg,250 GB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,,4
Western Digital Black SN770,388.82,https://cdna.pcpartpicker.com/static/forever/images/product/5ab53f4ea70381a66686c52d0b6e05a6.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.194,4.5
OWC Mercury Enterprise Pro 6G,,https://cdna.pcpartpicker.com/static/forever/images/product/78e0b4ee0ab65ea56f17972283df0c0f.256p.jpg,16 TB,SATA 6.0 Gb/s,SSD,"2.5""",,,0
TEAMGROUP T-FORCE G50,92.69,https://cdna.pcpartpicker.com/static/forever/images/product/9ec0dd43fbfd154476d61fd6c555a02e.256p.jpg,512 GB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.181,0
Western Digital Blue SN580,261.01,https://cdna.pcpartpicker.com/static/forever/images/product/f3d3390c0b08de6bbdfecbac012c639b.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.261,4.5
Silicon Power A55,94.97,https://cdna.pcpartpicker.com/static/forever/images/product/e4bdef695eda38603bff1a903c8bcaf4.256p.jpg,1 TB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.095,4.5
Crucial T500,269.99,https://cdna.pcpartpicker.com/static/forever/images/product/3fd5aee2fd8854d15ef3c81dcd9599f5.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.135,4.5
Kingston KC3000,182.93,https://cdna.pcpartpicker.com/static/forever/images/product/e66fc9e6326af9ce97e3bd50268f61a2.256p.jpg,1.024 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.179,4.5
TEAMGROUP MP44L,165.53,https://cdna.pcpartpicker.com/static/forever/images/product/b7e87809a48525a1340938718110fecc.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.166,4.5
Intel D3-S4520,2152.84,https://cdna.pcpartpicker.com/static/forever/images/product/f048f162c116c66e36ddefd9792cc6df.256p.jpg,7.68 TB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.280,0
Crucial BX500,177.35,https://cdna.pcpartpicker.com/static/forever/images/product/fff84afccbfab3054a5a88963c4bb271.256p.jpg,1 TB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.177,4.5
Crucial E100,129,https://cdna.pcpartpicker.com/static/forever/images/product/72bbad5e69fa95e74103a3613c6dc1e9.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.129,2.5
Crucial T710,449,https://cdna.pcpartpicker.com/static/forever/images/product/abd724ed757ac7efff283d51c2b66cde.256p.jpg,4 TB,M.2 PCIe 5.0 X4,SSD,M.2-2280,,£0.112,4.5
Samsung 980 Pro w/Heatsink,,https://cdna.pcpartpicker.com/static/forever/images/product/117a93ff22c8f38b2bfb8ff00b0b4d78.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,1024 MB,,4.5
Lexar NM760,,,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,,0
Patriot Burst Elite,23.49,https://cdna.pcpartpicker.com/static/forever/images/product/a54889ce4a2388399cf0cf168f61efaf.256p.jpg,120 GB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.196,3
Western Digital WD Green SN3000,139.99,https://cdna.pcpartpicker.com/static/forever/images/product/f7ef0967f1ceb8bb467e4a8b1344a401.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.140,5
KIOXIA EXCERIA PLUS G4,229.99,https://cdna.pcpartpicker.com/static/forever/images/product/9ab94b2c3ffb08f6c7db460684b15332.256p.jpg,2 TB,M.2 PCIe 5.0 X4,SSD,M.2-2280,,£0.115,5
Patriot P320,76.98,https://cdna.pcpartpicker.com/static/forever/images/product/728bb9e7acc313cc8ba4348f85c20314.256p.jpg,512 GB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,£0.150,0
MSI SPATIUM M482,,https://cdna.pcpartpicker.com/static/forever/images/product/a1e6e587283595392f120360f3d870d1.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,,5
Acer Predator GM7000,,https://cdna.pcpartpicker.com/static/forever/images/product/12f86981f480322cc08d5561239cba2d.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,2048 MB,,4.5
Kingston A400,68.94,https://cdna.pcpartpicker.com/static/forever/images/product/97e2bd828644767c8a80b71f8cb14743.256p.jpg,240 GB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.287,4.5
Klevv CRAS C910,165.48,,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.165,4.5
Biwin Black Opal NV7400,135.99,,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.136,0
ADATA LEGEND 860,245.95,https://cdna.pcpartpicker.com/static/forever/images/product/caa0126e94269529feefd20dacb980b9.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.123,5
Western Digital WD Blue SN5000,369.99,https://cdna.pcpartpicker.com/static/forever/images/product/936d2253ae2c922ad5ce39f27ab4f0a7.256p.jpg,4 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.092,0
TEAMGROUP MP33,251.65,https://cdna.pcpartpicker.com/static/forever/images/product/b76335209ac689ef3ed00fdde8358acb.256p.jpg,2 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,£0.126,4.5
Intel D3-S4510,,,7.68 TB,SATA 6.0 Gb/s,SSD,"2.5""",,,0
Silicon Power P34A6X,108.97,https://cdna.pcpartpicker.com/static/forever/images/product/315d9aac73067daa82063c2d34b356fa.256p.jpg,1 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,£0.109,0
Intel DC P3608,5705.09,,4 TB,PCIe x8,SSD,PCIe,,£1.426,0
Gigabyte AORUS Gen4 7300,356.63,https://cdna.pcpartpicker.com/static/forever/images/product/e32295dc41b57635cb76db07234a1288.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,2048 MB,£0.178,5
Samsung 970 Evo,,https://cdna.pcpartpicker.com/static/forever/images/product/09a31f32abb3daaf5ed9b849bd60e675.256p.jpg,1 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,1024 MB,,4.5
Samsung 860 Evo,,https://cdna.pcpartpicker.com/static/forever/images/product/50adb27c43f4a13c15135378f031d5c0.256p.jpg,1 TB,SATA 6.0 Gb/s,SSD,"2.5""",1024 MB,,4.5
Patriot P210,61.99,https://cdna.pcpartpicker.com/static/forever/images/product/0b4fa928bb9fe00b99169ee9b616d059.256p.jpg,512 GB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.121,4
Patriot P310,92.21,https://cdna.pcpartpicker.com/static/forever/images/product/7fa472338dbb333d6922ff1894043235.256p.jpg,480 GB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,£0.192,4
Samsung 990 Pro w/Heatsink,653.39,https://cdna.pcpartpicker.com/static/forever/images/product/1f3a70baa047ae18e1af31b89a344d2b.256p.jpg,4 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,4096 MB,£0.163,4.5
Intel 660p,143.62,https://cdna.pcpartpicker.com/static/forever/images/product/72ac6b04347d22c2592029d4a49bc5ed.256p.jpg,1.02 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,£0.141,4.5
Samsung 990 EVO,209.99,https://cdna.pcpartpicker.com/static/forever/images/product/a00cf1a6938d19a3965c362d1c715c56.256p.jpg,1 TB,M.2 PCIe 5.0 X2,SSD,M.2-2280,,£0.210,5
Lexar NQ790,259.99,,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.130,4.5
TEAMGROUP NV5000,144.88,https://cdna.pcpartpicker.com/static/forever/images/product/00338c7f8687fba8e5d6f8407b442e1e.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.145,4
PNY CS900,109.98,https://cdna.pcpartpicker.com/static/forever/images/product/1a0e1f64fd9de50cc37c9373d7bb48d6.256p.jpg,1 TB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.110,4.5
SanDisk WD Blue SN5100,224.99,https://cdna.pcpartpicker.com/static/forever/images/product/11194096b68fcfb177e25cc7d2c1e882.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.112,5
Western Digital WD_Black SN850X w/Heatsink,1042,https://cdna.pcpartpicker.com/static/forever/images/product/22a8e9bbc0f792f83fc2c9f8d155de54.256p.jpg,8 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,2048 MB,£0.130,0
Acer Predator GM7,215.99,https://cdna.pcpartpicker.com/static/forever/images/product/632489037ca2526dc4f9d84f00c99423.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.108,5
Samsung 850 Evo,,https://cdna.pcpartpicker.com/static/forever/images/product/930e4d402f4ccd5f168e702e4b73b762.256p.jpg,250 GB,SATA 6.0 Gb/s,SSD,"2.5""",,,4.5
Patriot P410,175.07,https://cdna.pcpartpicker.com/static/forever/images/product/d17b7bda5821d0f34be4235f17fa568c.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.175,5
KingSpec XG7000,188.59,https://cdna.pcpartpicker.com/static/forever/images/product/bef5810e238402865881b06506a584db.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.189,5
PNY CS1030,123.19,https://cdna.pcpartpicker.com/static/forever/images/product/4dc9f5fe909a995df743f3eee4584542.256p.jpg,1 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,£0.123,5
Crucial T705,206.99,https://cdna.pcpartpicker.com/static/forever/images/product/26411ed56b8f23776f841818083ed115.256p.jpg,2 TB,M.2 PCIe 5.0 X4,SSD,M.2-2280,,£0.103,4.5
MSI SPATIUM M480 PRO,669.18,https://cdna.pcpartpicker.com/static/forever/images/product/07a3c2ab9c4d6fc23c1694c68f445cb4.256p.jpg,4 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,2048 MB,£0.167,5
Lexar NM620,139.99,https://cdna.pcpartpicker.com/static/forever/images/product/8618752d44f122e9b16d057538903ec4.256p.jpg,1 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,£0.140,4
MSI SPATIUM M450,84.56,https://cdna.pcpartpicker.com/static/forever/images/product/e8f5a6db129f6810742530380a15bc25.256p.jpg,500 GB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,,5
SK Hynix Platinum P41,,,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,,4.5
KingSpec NX-2280,,https://cdna.pcpartpicker.com/static/forever/images/product/b25fc667fa4db232a93524ded15fa484.256p.jpg,1 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,,4.5
KIOXIA EXCERIA,129.95,https://cdna.pcpartpicker.com/static/forever/images/product/3884da54cd24f146ee48d25a95ed5517.256p.jpg,960 GB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.135,0
Western Digital Blue SN550,,https://cdna.pcpartpicker.com/static/forever/images/product/73be90b182cdb68fe899775fb8fa56ed.256p.jpg,1 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,,4.5
KingSpec P3,,,1 TB,SATA 6.0 Gb/s,SSD,"2.5""",,,3.5
Crucial P510 W/Heatsink,157.99,https://cdna.pcpartpicker.com/static/forever/images/product/c3a53ff66566c769f05252c0508c1663.256p.jpg,1 TB,M.2 PCIe 5.0 X4,SSD,M.2-2280,,£0.158,0
MSI SPATIUM M461,211.92,https://cdna.pcpartpicker.com/static/forever/images/product/ea4bedfb41d590aa801cbbcd535ab039.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.106,5
Samsung 870 QVO,1435.58,https://cdna.pcpartpicker.com/static/forever/images/product/29b838814626cac9b060a2d2c0a293cd.256p.jpg,8 TB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.179,4
FanXiang S500 Pro,69.98,,512 GB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,£0.137,0
Netac NV3000,,https://cdna.pcpartpicker.com/static/forever/images/product/7e2035d375c63ee926fecb362a7ef5ce.256p.jpg,1 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,,3.5
SanDisk Optimus GX PRO 8100 (w/Heatsink),1969.99,,8 TB,M.2 PCIe 5.0 X4,SSD,M.2-2280,,£0.246,0
Crucial P3,142.08,https://cdna.pcpartpicker.com/static/forever/images/product/5b0cd518feacc76794f17f75745b2907.256p.jpg,500 GB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,£0.284,4.5
Corsair MP600 PRO XT,193.62,https://cdna.pcpartpicker.com/static/forever/images/product/30feb0d406c2b123141dfd76bd25992e.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.194,5
Lexar EQ790,139.99,,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.140,5
Intel 670p,230,https://cdna.pcpartpicker.com/static/forever/images/product/dcf368b5092373d4759de1ee874b9e79.256p.jpg,1 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,£0.230,4.5
Inland TN320,,,1 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,,0
Crucial P310 w/ Acronis Data Recovery,209,,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.104,0
Crucial MX500,324.95,https://cdna.pcpartpicker.com/static/forever/images/product/24739d2c05e810fd8c8d6883e6ed10fe.256p.jpg,2 TB,SATA 6.0 Gb/s,SSD,"2.5""",2048 MB,£0.162,4.5
Inland QN450,,,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,,0
Intel D3-S4620,,https://cdna.pcpartpicker.com/static/forever/images/product/b8ba4f921271c635b5881d7dda337021.256p.jpg,3.84 TB,SATA 6.0 Gb/s,SSD,"2.5""",,,0
Western Digital Green SN350,214.16,https://cdna.pcpartpicker.com/static/forever/images/product/8958ec7c7803a678c5f2870d7b0245c5.256p.jpg,2 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,£0.107,3
XPG SX6000 Lite,,https://cdna.pcpartpicker.com/static/forever/images/product/5d7ac5150a3baa861fd8961b71c54c8b.256p.jpg,256 GB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,,3
Gigabyte AORUS Gen4,,https://cdna.pcpartpicker.com/static/forever/images/product/d59265eb1c1a742d7b7510e8259924db.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,2048 MB,,4.5
Timetec 35TTFP6PCIE,81.36,,512 GB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,£0.159,3.5
FanXiang S880,219.7,,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.110,5
Samsung PM893,3329.77,https://cdna.pcpartpicker.com/static/forever/images/product/921c4e493c902e4086752efe2a88ce0b.256p.jpg,7.68 TB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.434,0
Sabrent Rocket 5,325.63,https://cdna.pcpartpicker.com/static/forever/images/product/a221560d44f38ca9cf29eb842a2f5f19.256p.jpg,2 TB,M.2 PCIe 5.0 X4,SSD,M.2-2280,,£0.163,0
Western Digital Blue,381.34,https://cdna.pcpartpicker.com/static/forever/images/product/a3b09866e3716566572bf9a13792cc85.256p.jpg,1 TB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.381,4.5
Crucial T700 W/Heatsink,621.79,https://cdna.pcpartpicker.com/static/forever/images/product/aeb312f0e26355b4840393bd66b512cb.256p.jpg,4 TB,M.2 PCIe 5.0 X4,SSD,M.2-2280,,£0.155,4
KIOXIA EXCERIA PLUS G3,160.99,https://cdna.pcpartpicker.com/static/forever/images/product/10ba06eb52379d5e7dbfa7ab326acc74.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.161,5
Western Digital Blue SN570,132.35,https://cdna.pcpartpicker.com/static/forever/images/product/820f4e4ac27af85645afeaabc7b82f04.256p.jpg,500 GB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,,4.5
Verbatim Vi3000,154.95,https://cdna.pcpartpicker.com/static/forever/images/product/7577918a4354b4d63661af4607fe1aea.256p.jpg,1 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,£0.155,0
Gigabyte AORUS Gen4 7000E,179.99,https://cdna.pcpartpicker.com/static/forever/images/product/0e4da98cb163fb6b955a9a89dc847fd7.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.180,5
ADATA XPG GAMMIX S70 Blade,177.94,https://cdna.pcpartpicker.com/static/forever/images/product/5a1578f5dbff7c6c5b2a6a29663d3293.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.178,4.5
Crucial P310 w/Heatsink,173.23,https://cdna.pcpartpicker.com/static/forever/images/product/f262730ba9facc0575af3658f509cdda.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.173,4
Kingston Fury Renegade,395.46,https://cdna.pcpartpicker.com/static/forever/images/product/f53b8d7adbe5755ba2e272aa945f3517.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.198,4.5
Biwin NV7200,,,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,,0
SanDisk Optimus GX PRO 8100,1924.99,,8 TB,M.2 PCIe 5.0 X4,SSD,M.2-2280,,£0.241,0
FanXiang S660,125.5,,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.126,5
Gigabyte 4000E,,https://cdna.pcpartpicker.com/static/forever/images/product/b0cb726d3c39735794a7ad4b3b6b0d5e.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,,0
