web_scraper_order,web_scraper_start_url,pagination,name,interface,rating,price,color,name3,price2,interface2,color2,name2,name4
"1784222753-25","https://uk.pcpartpicker.com/products/wired-network-card/","","QNAP QXG5G1T111C","InterfacePCIe x1","(0)","Add","ColorBlue / Silver","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/5aa8234e236fe6b197863ab2354623d2.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/5aa8234e236fe6b197863ab2354623d2.256p.jpg"
"1784222753-26","https://uk.pcpartpicker.com/products/wired-network-card/","","StarTech ST1000SPEX4","InterfacePCIe x4","(0)","Add","Color","(0)","Add","Interface","Color","https://m.media-amazon.com/images/I/51HBkXAzXWL.jpg","https://m.media-amazon.com/images/I/51HBkXAzXWL.jpg"
"1784222753-27","https://uk.pcpartpicker.com/products/wired-network-card/","","Asus USB-C2500","InterfaceUSB Type-A 3.2 Gen 1","(0)","£51.17Add","ColorGray","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/2fff99a35b8408e5f3a1f6a31a0b4821.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/2fff99a35b8408e5f3a1f6a31a0b4821.256p.jpg"
"1784222753-28","https://uk.pcpartpicker.com/products/wired-network-card/","","QNAP QXG2G2TI225","InterfacePCIe x2","(0)","Add","ColorGreen / Copper","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/ca7154084df22cd6b6a5032c8a705145.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/ca7154084df22cd6b6a5032c8a705145.256p.jpg"
"1784222753-29","https://uk.pcpartpicker.com/products/wired-network-card/","","Syba SI-PEX24042","InterfacePCIe x1","(0)","Add","ColorGreen / Black","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/57d0622448d6f56b221bb81bb053423b.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/57d0622448d6f56b221bb81bb053423b.256p.jpg"
"1784222753-30","https://uk.pcpartpicker.com/products/wired-network-card/","","Monoprice 112909","InterfaceUSB Type-C 3.2 Gen 2","(0)","Add","ColorWhite","(0)","Add","Interface","Color","https://m.media-amazon.com/images/I/31SbDsg486L.jpg","https://m.media-amazon.com/images/I/31SbDsg486L.jpg"
"1784222753-31","https://uk.pcpartpicker.com/products/wired-network-card/","","StarTech ST10000SPEXI","InterfacePCIe x4","(0)","Add","ColorBlack / Silver","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/9732d6a171365f57af85dbdbfe81985f.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/9732d6a171365f57af85dbdbfe81985f.256p.jpg"
"1784222753-32","https://uk.pcpartpicker.com/products/wired-network-card/","","StarTech USB32000SPT","InterfaceUSB Type-A 3.2 Gen 1","(0)","£57.24Add","Color","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/6c38be9ef10f5d1d5ad3f02d04aa388c.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/6c38be9ef10f5d1d5ad3f02d04aa388c.256p.jpg"
"1784222753-33","https://uk.pcpartpicker.com/products/wired-network-card/","","SIIG LB-GE0311-S1","InterfacePCIe x8","(0)","Add","ColorBlack / Green","(0)","Add","Interface","Color","https://m.media-amazon.com/images/I/41L-kYrFdpL.jpg","https://m.media-amazon.com/images/I/41L-kYrFdpL.jpg"
"1784222753-34","https://uk.pcpartpicker.com/products/wired-network-card/","","Intel E1G44HT","InterfacePCIe x4","(0)","Add","Color","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/27e70103d7a3d9ab2bd601743a918e5f.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/27e70103d7a3d9ab2bd601743a918e5f.256p.jpg"
"1784222753-35","https://uk.pcpartpicker.com/products/wired-network-card/","","StarTech ST2GPEX","InterfacePCIe x1","(0)","£29.72Add","ColorBlack","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/c948d04adacdc19f74577d2117f473d6.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/c948d04adacdc19f74577d2117f473d6.256p.jpg"
"1784222753-36","https://uk.pcpartpicker.com/products/wired-network-card/","","TP-Link UE300","InterfaceUSB Type-A 3.2 Gen 1","(0)","£16.98Add","Color","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/97bdc5ef75505ff1b527d0b698e7e830.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/97bdc5ef75505ff1b527d0b698e7e830.256p.jpg"
"1784222753-37","https://uk.pcpartpicker.com/products/wired-network-card/","","QNAP QXG-10G1T","InterfacePCIe x4","(0)","£161.03Add","Color","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/d9ea9fd4f857e54e757f2274dc8fd109.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/d9ea9fd4f857e54e757f2274dc8fd109.256p.jpg"
"1784222753-38","https://uk.pcpartpicker.com/products/wired-network-card/","","Syba SY-PEX24045","InterfacePCIe x4","(0)","£60.88Add","ColorGreen / Black","(0)","Add","Interface","Color","https://images-eu.ssl-images-amazon.com/images/I/51Qg3azqbIL.jpg","https://images-eu.ssl-images-amazon.com/images/I/51Qg3azqbIL.jpg"
"1784222753-39","https://uk.pcpartpicker.com/products/wired-network-card/","","Intel E1G44HTBLK","InterfacePCIe x4","(0)","£63.53Add","Color","(0)","Add","Interface","Color","https://m.media-amazon.com/images/I/41mYieVJxwL.jpg","https://m.media-amazon.com/images/I/41mYieVJxwL.jpg"
"1784222753-40","https://uk.pcpartpicker.com/products/wired-network-card/","","Intel EXPI9404PTLBLK-1PK","InterfacePCIe x4","(1)","£105.46Add","Color","(1)","Add","Interface","Color","https://m.media-amazon.com/images/I/31zOGgkzYeL.jpg","https://m.media-amazon.com/images/I/31zOGgkzYeL.jpg"
"1784222753-41","https://uk.pcpartpicker.com/products/wired-network-card/","","Belkin F5D5000","InterfacePCI","(0)","Add","Color","(0)","Add","Interface","Color","https://m.media-amazon.com/images/I/31-5OO5ZhgL.jpg","https://m.media-amazon.com/images/I/31-5OO5ZhgL.jpg"
"1784222753-42","https://uk.pcpartpicker.com/products/wired-network-card/","","Asus ROG AREION","InterfacePCIe x4","(0)","Add","ColorBlack","(0)","Add","Interface","Color","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784222753-43","https://uk.pcpartpicker.com/products/wired-network-card/","","Syba SY-HUB24047","InterfaceUSB Type-A 3.2 Gen 1","(0)","£78.43Add","ColorBlack","(0)","Add","Interface","Color","https://images-na.ssl-images-amazon.com/images/I/41vSeA5n3rL.jpg","https://images-na.ssl-images-amazon.com/images/I/41vSeA5n3rL.jpg"
"1784222753-44","https://uk.pcpartpicker.com/products/wired-network-card/","","Intel E10G42BT","InterfacePCIe x8","(0)","Add","Color","(0)","Add","Interface","Color","https://m.media-amazon.com/images/I/317qA4lACHL.jpg","https://m.media-amazon.com/images/I/317qA4lACHL.jpg"
"1784222753-45","https://uk.pcpartpicker.com/products/wired-network-card/","","Tripp Lite U436-06N-2P5","InterfaceUSB Type-C 3.2 Gen 1","(0)","£47.80Add","ColorBlack","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/d093981ce2733a22377a2f34b8c73658.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/d093981ce2733a22377a2f34b8c73658.256p.jpg"
"1784222753-46","https://uk.pcpartpicker.com/products/wired-network-card/","","SIIG LB-GE0211-S1","InterfacePCIe x4","(0)","Add","ColorGreen / Black","(0)","Add","Interface","Color","https://m.media-amazon.com/images/I/41TaYuX22AL.jpg","https://m.media-amazon.com/images/I/41TaYuX22AL.jpg"
"1784222753-47","https://uk.pcpartpicker.com/products/wired-network-card/","","StarTech ST10GSPEXNDP","InterfacePCIe x8","(0)","Add","ColorBlack / Silver","(0)","Add","Interface","Color","https://m.media-amazon.com/images/I/21yIWYBR0pL.jpg","https://m.media-amazon.com/images/I/21yIWYBR0pL.jpg"
"1784222753-48","https://uk.pcpartpicker.com/products/wired-network-card/","","TP-Link UE300C","InterfaceUSB Type-C","(0)","£14.48Add","ColorBlack","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/bb13c2c1fc8081f9fcbd27a460ec3496.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/bb13c2c1fc8081f9fcbd27a460ec3496.256p.jpg"
"1784222753-49","https://uk.pcpartpicker.com/products/wired-network-card/","","Syba SD-PEX24055","InterfacePCIe x4","(0)","£102.18Add","ColorGreen / Black","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/f5d64e18dffd9b1a6bb1ea19591ebefa.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/f5d64e18dffd9b1a6bb1ea19591ebefa.256p.jpg"
"1784222753-50","https://uk.pcpartpicker.com/products/wired-network-card/","","StarTech ST1000SPEX2","InterfacePCIe x1","(0)","£21.06Add","Color","(0)","Add","Interface","Color","https://m.media-amazon.com/images/I/41L9PimZf1L.jpg","https://m.media-amazon.com/images/I/41L9PimZf1L.jpg"
"1784222753-51","https://uk.pcpartpicker.com/products/wired-network-card/","","TRENDnet TUC-ET2G","InterfaceUSB Type-C 3.2 Gen 1","(0)","£26.48Add","ColorBlack","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/25eded408cce1a584568891e641172bd.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/25eded408cce1a584568891e641172bd.256p.jpg"
"1784222753-52","https://uk.pcpartpicker.com/products/wired-network-card/","","Intel EXPI9301CT","InterfacePCIe x1","(2)","£29.08Add","Color","(2)","Add","Interface","Color","https://m.media-amazon.com/images/I/51dovzTVhmL.jpg","https://m.media-amazon.com/images/I/51dovzTVhmL.jpg"
"1784222753-53","https://uk.pcpartpicker.com/products/wired-network-card/","","StarTech ST3300U3S","InterfaceUSB Type-A 3.2 Gen 1","(0)","£53.26Add","Color","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/0b4d8bf77ac946efc0ae1e3fac6f0928.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/0b4d8bf77ac946efc0ae1e3fac6f0928.256p.jpg"
