web_scraper_order,web_scraper_start_url,data,price,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,image,image2,image3,image4
"1784224195-19","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","8BitDo Pro 2 Black Gamepad, Hall Effect Joysticks, Adjustable Sensitivity, Custom Profiles, Mode Switch, USB-C/BT 4.0","£39.98","LN147692","(1)","8BitDo Pro 2 Bluetooth Black Hall Edition Gamepad","Add To Basket","8BitDo Pro 2 Black Gamepad","Compare","Quick view","In stock","","Hall Effect Joysticks","Adjustable Sensitivity","Custom Profiles","Mode Switch","USB-C/BT 4.0","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","98","Key Specifications","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","Customer Review","","£","https://www.scan.co.uk/images/products/to/3606292.jpg","https://www.scan.co.uk/images/products/xlarge/3606292-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3606292-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/8bitdo.gif"
"1784224195-20","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","8BitDo Pro 2 G-Classic Gamepad, Hall Effect Joysticks, Adjustable Sensitivity, Custom Profiles, Mode Switch,USB-C/BT 4.0","£39.98","LN147694","","8BitDo Pro 2 Bluetooth G-Classic Hall Edition Gamepad","Pre Order","8BitDo Pro 2 G-Classic Gamepad","Compare","Quick view","Pre order","","Hall Effect Joysticks","Adjustable Sensitivity","Custom Profiles","Mode Switch","USB-C/BT 4.0","","","","","98","Key Specifications","","","","","","","","","","","No customer review","£","https://www.scan.co.uk/images/products/to/3606294.jpg","https://www.scan.co.uk/images/products/xlarge/3606294-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3606294-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/8bitdo.gif"
"1784224195-21","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","8BitDo Pro 2 Gray Gamepad, Hall Effect Joysticks, Adjustable Sensitivity, Custom Profiles, Mode Switch, USB-C/BT 4.0","£39.98","LN147693","","8BitDo Pro 2 Bluetooth Gray Hall Edition Gamepad","Add To Basket","8BitDo Pro 2 Gray Gamepad","Compare","Quick view","In stock","","Hall Effect Joysticks","Adjustable Sensitivity","Custom Profiles","Mode Switch","USB-C/BT 4.0","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","98","Key Specifications","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","No customer review","£","https://www.scan.co.uk/images/products/to/3606293.jpg","https://www.scan.co.uk/images/products/xlarge/3606293-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3606293-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/8bitdo.gif"
"1784224195-22","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","8BitDo Pro2 Controller, White, Xbox/PC, Wired, Hall Effect Joysticks and Triggers, Paddle Buttons, 3.5mm Audio Jack","£39.98","LN154467","","8BitDo Pro 2 White Wired Controller Xbox Hall Effect Edition for Xbox/PC","Add To Basket","8BitDo Pro2 Controller","Compare","Quick view","In stock","","White","Xbox/PC","Wired","Hall Effect Joysticks and Triggers","Paddle Buttons","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","98","Key Specifications","","3.5mm Audio Jack","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","No customer review","£","https://www.scan.co.uk/images/products/to/3662513.jpg","https://www.scan.co.uk/images/products/xlarge/3662513-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3662513-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/8bitdo.gif"
"1784224195-23","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","8BitDo Ultimate Wired Controller, Hall Effect Joysticks, Custom Profiles, 2.5m USB Cable, White, Xbox/Windows PC","£39.98","LN147725","(2)","8BitDo Ultimate Wired Controller for PC/Xbox - White","Pre Order","8BitDo Ultimate Wired Controller","Compare","Quick view","Pre order","","Hall Effect Joysticks","Custom Profiles","2.5m USB Cable","White","Xbox/Windows PC","","","","","98","Key Specifications","","","","","","","","","","Customer Review","","£","https://www.scan.co.uk/images/products/to/3608679.jpg","https://www.scan.co.uk/images/products/xlarge/3608679-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3608679-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/8bitdo.gif"
"1784224195-24","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","HORI Wireless HORIPAD Controller, Midnight Black, Analog/Digital Triggers, Capacitive Thumbsticks, Gyro, Bluetooth/Wired","£49.99","LN154322","","HORI Wireless HORIPAD Midnight Black Steam Controller","Pre Order","HORI Wireless HORIPAD Controller","Compare","Quick view","Pre order","","Midnight Black","Analog/Digital Triggers","Capacitive Thumbsticks","Gyro","Bluetooth/Wired","","","","","99","Key Specifications","","","","","","","","","","","No customer review","£","https://www.scan.co.uk/images/products/to/3660819.jpg","https://www.scan.co.uk/images/products/xlarge/3660819-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3660819-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/hori.gif"
"1784224195-25","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","8BitDo Ultimate 2 Wireless Controller, Wireless, Black, Hall Effect, Custom Profiles, Charging Dock, PC / Switch","£54.98","LN128928","(4)","8BitDo Ultimate 2 Wireless Black Bluetooth Controller with Charging Dock for Nintendo Switch","Pre Order","8BitDo Ultimate 2 Wireless Controller","Compare","Quick view","Pre order","","Wireless","Black","Hall Effect","Custom Profiles","Charging Dock","","","","","98","Key Specifications","","PC / Switch","","","","","","","","Customer Review","","£","https://www.scan.co.uk/images/products/to/3454942.jpg","https://www.scan.co.uk/images/products/xlarge/3454942-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3454942-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/8bitdo.gif"
"1784224195-26","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","8BitDo Ultimate 2 Wireless Controller, Wireless, White, Hall Effect, Custom Profiles, Charging Dock, PC / Switch","£54.98","LN128927","(2)","8BitDo Ultimate 2 Wireless White Bluetooth Controller with Charging Dock for Nintendo Switch","Pre Order","8BitDo Ultimate 2 Wireless Controller","Compare","Quick view","Pre order","","Wireless","White","Hall Effect","Custom Profiles","Charging Dock","","","","","98","Key Specifications","","PC / Switch","","","","","","","","Customer Review","","£","https://www.scan.co.uk/images/products/to/3454938.jpg","https://www.scan.co.uk/images/products/xlarge/3454938-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3454938-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/8bitdo.gif"
"1784224195-27","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","8BitDo Arcade Stick, USB-C Wired/Wireless, Dynamic Button Layout, Macro Buttons, 1000Mah rechargeable batte, PC/Switch","£73.99","LN111801","(9)","8Bitdo Arcade Stick for Nintendo Switch & Windows","Pre Order","8BitDo Arcade Stick","Compare","Quick view","Pre order","","USB-C Wired/Wireless","Dynamic Button Layout","Macro Buttons","1000Mah rechargeable batte","PC/Switch","","","","","99","Key Specifications","","","","","","","","","","Customer Review","","£","https://www.scan.co.uk/images/products/to/3237218.jpg","https://www.scan.co.uk/images/products/xlarge/3237218-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3237218-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/8bitdo.gif"
"1784224195-28","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","Thrustmaster HEART Controller, Anti Drift Hall Effect Technology, 64% Faster Mechanical Buttons, For PC and XBOX","£79.99","LN153576","","Thrustmaster HEART Controller for PC and Xbox","Add To Basket","Thrustmaster HEART Controller","Compare","Quick view","In stock","","Anti Drift Hall Effect Technology","64% Faster Mechanical Buttons","For PC and XBOX","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","99","Key Specifications","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","No customer review","£","https://www.scan.co.uk/images/products/to/3649953.jpg","https://www.scan.co.uk/images/products/xlarge/3649953-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3649953-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/thrustmaster.gif"
"1784224195-29","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","Open Box Razer Wolverine V3 Tournament Ed Controller, Mecha Buttons, Razer HyperTrigger, Precision Thumbsticks, Xbox, PC","£89.99","LN153425","","Open Box Razer Wolverine V3 Tournament Edition XBOX/PC Black Wired Esports Controller","Add To Basket","Open Box Razer Wolverine V3 Tournament Ed Controller","Compare","Quick view","In stock","48hr","Mecha Buttons","Razer HyperTrigger","Precision Thumbsticks","Xbox","PC","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","Refurbished","99","Key Specifications","48hr","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","","No customer review","£","https://www.scan.co.uk/images/products/to/3649039.jpg","https://www.scan.co.uk/images/products/xlarge/3649039-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3649039-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/razer-logo.gif"
"1784224195-30","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","Razer Wolverine V3 Tournament Ed Controller, White, Mecha-Tactile Buttons, Razer HyperTrigger, Hall Effect, XBOX/PC","£92.99","LN156325","(1)","Razer Wolverine V3 Tournament Edition XBOX/PC White Wired Esports Controller","Add To Basket","Razer Wolverine V3 Tournament Ed Controller","Compare","Quick view","In stock","48hr","White","Mecha-Tactile Buttons","Razer HyperTrigger","Hall Effect","XBOX/PC","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","","99","Key Specifications","48hr","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","Customer Review","","£","https://www.scan.co.uk/images/products/to/3676608.jpg","https://www.scan.co.uk/images/products/xlarge/3676608-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3676608-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/razer-logo.gif"
"1784224195-31","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","Razer Wolverine V3 Tournament Ed 8K Controller, Mecha-Tactile Buttons, Razer Pro HyperTrigger, TMR Thumbsticks, PC","£99.98","LN167372","","Razer Wolverine V3 Tournament Edition 8K PC Black Wired Esports Controller","Pre Order","Razer Wolverine V3 Tournament Ed 8K Controller","Compare","Quick view","Pre order","48hr","Mecha-Tactile Buttons","Razer Pro HyperTrigger","TMR Thumbsticks","PC","","","","Replacement","","98","Key Specifications","48hr","","","","PayPal Credit options available","PAYPAL","","","Replacement","","No customer review","£","https://www.scan.co.uk/images/products/to/3775603.jpg","https://www.scan.co.uk/images/products/xlarge/3775603-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3775603-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/razer-logo.gif"
"1784224195-32","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","Refurbished Thrustmaster ESWAP X2, Esports, Pro Gaming, Xbox Series X, Macro Functions, Hot Swap Modules","£109.99","LN157842","","Refurbished Thrustmaster ESWAP X2 Pro Controller for Xbox Series X","Add To Basket","Refurbished Thrustmaster ESWAP X2","Compare","Quick view","In stock","","Esports","Pro Gaming","Xbox Series X","Macro Functions","Hot Swap Modules","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","Refurbished","99","Key Specifications","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","PayPal Credit options available","PAYPAL","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","No customer review","£","https://www.scan.co.uk/images/products/to/3690842.jpg","https://www.scan.co.uk/images/products/xlarge/3690842-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3690842-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/thrustmaster.gif"
"1784224195-33","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","SCUF ENVISION (2025) Wired Gaming Controller, Black, 11 Remappable Buttons, Adjustable Triggers, PC","£119.99","LN166099","","SCUF ENVISION (2025) Wired Gaming Controller for PC - Black","Pre Order","SCUF ENVISION (2025) Wired Gaming Controller","Compare","Quick view","Pre order","","Black","11 Remappable Buttons","Adjustable Triggers","PC","","","","","","99","Key Specifications","","","","","PayPal Credit options available","PAYPAL","","","","","No customer review","£","https://www.scan.co.uk/images/products/to/3760810.jpg","https://www.scan.co.uk/images/products/xlarge/3760810-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3760810-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/Scuf.gif"
"1784224195-34","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","Microsoft Xbox Elite Wireless Controller Series 2 PC/XBOX","£149.99","LN103470","(7)","Elite Wireless Controller Series 2 Joypad","Pre Order","Microsoft Xbox Elite Wireless Controller Series 2 PC/XBOX","Compare","Quick view","Pre order","","","","","","","","","","","99","Key Specifications","","","","","PayPal Credit options available","PAYPAL","","","","Customer Review","","£","https://www.scan.co.uk/images/products/to/3121555.jpg","https://www.scan.co.uk/images/products/xlarge/3121555-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3121555-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/Microsoft-Logo.gif"
"1784224195-35","https://www.scan.co.uk/shop/computer-hardware/game-controllers/all","Open Box Razer Wolverine V2 Pro Wireless Gamepad, Mecha-Tactile Buttons, HyperTrigger, Microswitch D-Pad, PlayStation","£149.99","LN154229","","Razer Wolverine V2 PS5/PC Black Wireless Open Box Controller","Add To Basket","Open Box Razer Wolverine V2 Pro Wireless Gamepad","Compare","Quick view","In stock","48hr","Mecha-Tactile Buttons","HyperTrigger","Microswitch D-Pad","PlayStation","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","Refurbished","99","Key Specifications","48hr","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","PayPal Credit options available","PAYPAL","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","","No customer review","£","https://www.scan.co.uk/images/products/to/3659728.jpg","https://www.scan.co.uk/images/products/xlarge/3659728-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3659728-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/razer-logo.gif"
