web_scraper_order,web_scraper_start_url,data,data2,price,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,image,image2,image3,image4
"1784224375-1","https://www.scan.co.uk/shop/computer-hardware/flight-simulation/all","Thermaltake GF500 Snow Flight Simulator Cockpit, White, RGB, Aluminium / Steel Frame, Fiberglass Seat, Adjustable Mounts","LN154879","£699.98","Add To Basket","Get it Tomorrow, 17 Jul","In stock","Tomorrow, 17 Jul","Thermaltake GF500 Snow Premium White Flight Simulator Cockpit","Thermaltake GF500 Snow Flight Simulator Cockpit","Compare","Quick view","White","Aluminium / Steel Frame","RGB","From £17.48 per month for 48 months*","£17.48","98","Fiberglass Seat","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","No customer review","Key Specifications","PayPal Credit options available","SCAN FINANCE","PAYPAL","£","https://www.scan.co.uk/images/products/to/3666987.jpg","https://www.scan.co.uk/images/products/xlarge/3666987-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3666987-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/thermaltake.gif"
"1784224375-2","https://www.scan.co.uk/shop/computer-hardware/flight-simulation/all","Next Level Racing Flight Simulator Cockpit, Adjustable, Compatible with Many Electronics, Lumbar Support","LN130009","£599.99","Add To Basket","Get it Tomorrow, 17 Jul","In stock","Tomorrow, 17 Jul","Next Level Racing Flight Simulator Cockpit","Next Level Racing Flight Simulator Cockpit","Compare","Quick view","Adjustable","Lumbar Support","Compatible with Many Electronics","From £14.99 per month for 48 months*","£14.99","99","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","No customer review","Key Specifications","PayPal Credit options available","SCAN FINANCE","PAYPAL","£","https://www.scan.co.uk/images/products/to/3464459.jpg","https://www.scan.co.uk/images/products/xlarge/3464459-xl-a.jpg","","https://www.scan.co.uk/images/manufacturers/nextlevelracing.gif"
"1784224375-3","https://www.scan.co.uk/shop/computer-hardware/flight-simulation/all","Next Level Racing Flight Simulator Boeing Commercial Cockpit, Adjustable, Lumbar Support, Official Boeing Licensed","LN130008","£699.98","Add To Basket","Get it Tomorrow, 17 Jul","In stock","Tomorrow, 17 Jul","Next Level Racing Flight Simulator Boeing Commercial Edition Cockpit","Next Level Racing Flight Simulator Boeing Commercial Cockpit","Compare","Quick view","Adjustable","Official Boeing Licensed","Lumbar Support","From £17.48 per month for 48 months*","£17.48","98","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","No customer review","Key Specifications","PayPal Credit options available","SCAN FINANCE","PAYPAL","£","https://www.scan.co.uk/images/products/to/3464453.jpg","https://www.scan.co.uk/images/products/xlarge/3464453-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3464453-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/nextlevelracing.gif"
"1784224375-4","https://www.scan.co.uk/shop/computer-hardware/flight-simulation/all","Next Level Racing Flight Simulator Boeing Military Cockpit, Adjustable, Lumbar Support, Official Boeing Licensed","LN130007","£699.98","Add To Basket","Get it Tomorrow, 17 Jul","In stock","Tomorrow, 17 Jul","Next Level Racing Flight Simulator Boeing Military Edition Cockpit","Next Level Racing Flight Simulator Boeing Military Cockpit","Compare","Quick view","Adjustable","Official Boeing Licensed","Lumbar Support","From £17.48 per month for 48 months*","£17.48","98","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","Key Specifications","PayPal Credit options available","SCAN FINANCE","PAYPAL","£","https://www.scan.co.uk/images/products/to/3464449.jpg","https://www.scan.co.uk/images/products/xlarge/3464449-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3464449-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/nextlevelracing.gif"
"1784224375-5","https://www.scan.co.uk/shop/computer-hardware/flight-simulation/all","Thermaltake GF500 Flight Simulator Cockpit, Black, RGB, Aluminium / Steel Frame, Fiberglass Seat, Adjustable Mounts","LN154878","£699.98","Add To Basket","Get it Tomorrow, 17 Jul","In stock","Tomorrow, 17 Jul","Thermaltake GF500 Premium Black Flight Simulator Cockpit","Thermaltake GF500 Flight Simulator Cockpit","Compare","Quick view","Black","Aluminium / Steel Frame","RGB","From £17.48 per month for 48 months*","£17.48","98","Fiberglass Seat","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","No customer review","Key Specifications","PayPal Credit options available","SCAN FINANCE","PAYPAL","£","https://www.scan.co.uk/images/products/to/3666985.jpg","https://www.scan.co.uk/images/products/xlarge/3666985-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3666985-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/thermaltake.gif"
"1784224375-6","https://www.scan.co.uk/shop/computer-hardware/flight-simulation/all","Next Level Racing Flight Simulator Cockpit MSFS Edition, Frame + Seat, Lumbar Support, Adjustable, Modular","LN160742","£799.99","Pre Order","BUNDLE","Pre order","","Next Level Racing Flight Simulator Microsoft Flight Sim. Edition Cockpit Frame + Seat","Next Level Racing Flight Simulator Cockpit MSFS Edition","Compare","Quick view","Frame + Seat","Adjustable","Lumbar Support","From £19.98 per month for 48 months*","£19.98","99","Modular","","","","","No customer review","Key Specifications","PayPal Credit options available","SCAN FINANCE","PAYPAL","£","https://www.scan.co.uk/images/products/to/3714259.jpg","https://www.scan.co.uk/images/products/xlarge/3714259-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3714259-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/nextlevelracing.gif"
