name,price,image,fan_rpm,noise_level,color,radiator_size,size,rating
Cooler Master Hyper 212 Spectrum V3,19.9,https://cdna.pcpartpicker.com/static/forever/images/product/99c2387300d7c25362407dbfeef14536.256p.jpg,650 - 1750 RPM,27.2 dB,Black / Silver,,,4
Thermalright Frozen Infinity 360 ARGB,64.5,2000,2000 RPM,28.2 dB,White,360 mm,360 mm,4.5
Thermalright AXP90-X47,Add,2700,2700 RPM,22.4 dB,Black,,,3.5
Cooler Master Hyper 212 RGB Black Edition,64.45,https://cdna.pcpartpicker.com/static/forever/images/product/b40d38a6383f462adfcec85b193216b1.256p.jpg,650 - 2000 RPM,8 - 30 dB,,,,4
NZXT Kraken Elite 360 (2024),229.95,https://cdna.pcpartpicker.com/static/forever/images/product/fd99aab7f118f143c3e5fb3ffbe7634c.256p.jpg,500 - 2000 RPM,30 dB,Black,360 mm,360 mm,4
Noctua NH-D15 G2 chromax.black,139.9,https://cdna.pcpartpicker.com/static/forever/images/product/3cbf3ee92fcdc68aa1049b28ccbdb850.256p.jpg,,0 - 24.8 dB,Black,,,5
Thermalright AXP90-X36,Add,https://cdna.pcpartpicker.com/static/forever/images/product/8c209209d698a976f762262184c26d74.256p.jpg,2700 RPM,22.4 dB,Black,,,4.5
Thermalright Assassin X 120 R Digital ARGB,31.19,2000,2000 RPM,29.8 dB,Black,,,4.5
TRYX PANORAMA SE ARGB,239.99,https://cdna.pcpartpicker.com/static/forever/images/product/4396205566edcb98b328393b5a6e8c12.256p.jpg,500 - 1850 RPM,Black,Black,360 mm,360 mm,4.5
NZXT Kraken 240,162.46,https://cdna.pcpartpicker.com/static/forever/images/product/157afeba59d05304fe181106745e6177.256p.jpg,500 - 1800 RPM,17.9 - 30.6 dB,Black,240 mm,240 mm,4
Noctua NL-LC1-36,216.95,https://cdna.pcpartpicker.com/static/forever/images/product/5bda35a9c917fbab40fc845e8e9ec476.256p.jpg,,22.5 dB,Brown / Beige,360 mm,360 mm,0
Corsair NAUTILUS 240 RS ARGB,69.9,https://cdna.pcpartpicker.com/static/forever/images/product/99d2124a37493f5a3bfe1b442e32e4de.256p.jpg,2100 RPM,34 dB,Black,240 mm,240 mm,4
Noctua NH-L9x65 chromax.black,61,https://cdna.pcpartpicker.com/static/forever/images/product/6082032e0eb29f8eed91a12a4f976321.256p.jpg,600 - 2500 RPM,14.8 - 23.6 dB,Black,,,5
Cooler Master MasterLiquid 360L Core ARGB,67.95,https://cdna.pcpartpicker.com/static/forever/images/product/17af431eeae6b8cc280717a7f3bf3da3.256p.jpg,350 - 1750 RPM,27.2 dB,Black,360 mm,360 mm,4.5
Lian Li Hydroshift LCD 360S,214.75,https://cdna.pcpartpicker.com/static/forever/images/product/47f6e66e2ffc069e7958649020d76c4c.256p.jpg,200 - 2500 RPM,29.8 dB,White,360 mm,360 mm,4.5
