name,price,image,fan_rpm,noise_level,color,radiator_size,size,rating
Deepcool AG300,21.94,https://cdna.pcpartpicker.com/static/forever/images/product/f081af159c0c28a944da061775f784a5.256p.jpg,500 - 3050 RPM,30.5 dB,Black / Silver,,,5
GAMDIAS BOREAS P1-720,44.99,800,2000,800 - 2000 RPM,10 - 31 dB,Black,,,0
Corsair iCUE LINK TITAN 280 RX RGB,149.99,https://cdna.pcpartpicker.com/static/forever/images/product/f78d943de0e88a9fc311cce4522413e9.256p.jpg,300 - 1700 RPM,Black,Black,280 mm,280 mm,0
Gigabyte EAGLE,69.98,https://cdna.pcpartpicker.com/static/forever/images/product/b81eb434a9e7934e019b45da342d1325.256p.jpg,600 - 2000 RPM,37.6 dB,Black,360 mm,360 mm,0
Gigabyte AORUS WATERFORCE II 360,196.24,https://cdna.pcpartpicker.com/static/forever/images/product/b3b3d0f7a35a299b4d3cfbe73d02a256.256p.jpg,800 - 2300 RPM,12.8 - 36.9 dB,Black,360 mm,360 mm,5
Corsair iCUE H150i RGB PRO XT,135.98,https://cdna.pcpartpicker.com/static/forever/images/product/f1108a195027ab71953f5b9b1687db2a.256p.jpg,2400 RPM,37 dB,Black / White,360 mm,360 mm,4
be quiet! Pure Rock 2 Black,49.9,https://cdna.pcpartpicker.com/static/forever/images/product/9267f7394684175fbe4178facf75dbbf.256p.jpg,1500 RPM,19.1 - 26.8 dB,Black,,,4.5
APNX AP1-V,16.95,600,1800,600 - 1800 RPM,16.1 - 32.8 dB,White,,,0
Scythe Mugen 6,63.8,https://cdna.pcpartpicker.com/static/forever/images/product/903007f7faf8d269ca7703ec64a4fafe.256p.jpg,300 - 2000 RPM,3 - 26.88 dB,Black,,,5
Razer Hanbo Chroma,88.02,https://cdna.pcpartpicker.com/static/forever/images/product/551197ef146855b3fdc9403642420917.256p.jpg,,Black,Black,240 mm,240 mm,4.5
Noctua NH-U14S,79.95,https://cdna.pcpartpicker.com/static/forever/images/product/356776b12b7cb2e8c1368bbba0858a81.med.256p.jpg,300 - 1500 RPM,19.2 - 24.6 dB,,,,4.5
Deepcool AK400 ZERO DARK PLUS,,https://cdna.pcpartpicker.com/static/forever/images/product/6756c08038ee5090c324ba715a8e790c.256p.jpg,500 - 1650 RPM,28 dB,Black,,,4.5
be quiet! Dark Rock 6,59.9,https://cdna.pcpartpicker.com/static/forever/images/product/8a75e94cf3a734ed380adefcd8bcf98e.256p.jpg,2000 RPM,11.9 - 31.1 dB,Black,,,0
KOLINK Umbra EX180 Black Edition,16.99,https://cdna.pcpartpicker.com/static/forever/images/product/7146b23dae711539b5e91f0f2961589b.256p.jpg,800 - 1800 RPM,28.6 dB,Black,,,0
Cooler Master Hyper 212 EVO V2,69.98,https://cdna.pcpartpicker.com/static/forever/images/product/6a4bd7668f5b99c34773f0eab64b9666.256p.jpg,650 - 1800 RPM,8 - 27 dB,Black / Silver,,,4
TRYX STAGE,139.99,https://cdna.pcpartpicker.com/static/forever/images/product/1337afbcd40f13d1f3b2e7f9031eeccb.256p.jpg,500 - 1850 RPM,28.87 dB,Black,360 mm,360 mm,0
be quiet! Pure Rock 2,52,https://cdna.pcpartpicker.com/static/forever/images/product/2cb0b9b4b4bfc72434fc1d2a31477c51.256p.jpg,1500 RPM,19.1 - 26.8 dB,Silver / Black,,,4.5
EK AIO 120 D-RGB,,https://cdna.pcpartpicker.com/static/forever/images/product/d861ca0e0dec024b63cd63c61adc498f.256p.jpg,450 - 2600 RPM,36.4 dB,Black,120 mm,120 mm,4
Lian Li Galahad II LCD,229.99,https://cdna.pcpartpicker.com/static/forever/images/product/e03b1960a13646e4500e06981143cfb5.256p.jpg,300 - 2450 RPM,30 dB,White,360 mm,360 mm,5
ID-COOLING IS-47-XT,29.99,800,2800,800 - 2800 RPM,32.5 dB,Black,,,5
Thermalright Hyper Vision UB ARGB,99.95,https://cdna.pcpartpicker.com/static/forever/images/product/7dcd6844e90fc9a633f7cb0a0eba46d0.256p.jpg,2150 RPM,27 dB,Black,360 mm,360 mm,4.5
Cooler Master Wraith Ripper,270,,0,38,0 - 38 dB,Black,,,4.5
Thermalright Ultra 120 Extreme EVO REV.5,40.14,,2400 RPM,33.3 dB,Black,,,0
NZXT Kraken X73,289.99,500,2000,500 - 2000 RPM,21 - 36 dB,Black,360 mm,360 mm,4.5
Gigabyte AORUS WATERFORCE II 240,72.98,https://cdna.pcpartpicker.com/static/forever/images/product/a1f242f4c38493011a406901966e1b2b.256p.jpg,800 - 2300 RPM,12.8 - 36.9 dB,Black,240 mm,240 mm,0
Corsair iCUE H100i RGB ELITE,109.99,https://cdna.pcpartpicker.com/static/forever/images/product/076dcbc1ba5e06eafb25c91e17dbef75.256p.jpg,400 - 1850 RPM,5 - 28.9 dB,Black,240 mm,240 mm,4.5
Lian Li Galahad II Trinity Performance,97.47,https://cdna.pcpartpicker.com/static/forever/images/product/b602dfaf4352ab5599ba6add5bba511a.256p.jpg,2300 - 3000 RPM,32.1 - 39.9 dB,White,360 mm,360 mm,4
NZXT Kraken 360 RGB,219.99,https://cdna.pcpartpicker.com/static/forever/images/product/da52d72313deb270a5397a87703991d0.256p.jpg,500 - 1800 RPM,17.9 - 30.6 dB,Black,360 mm,360 mm,4.5
Corsair H100x,,https://cdna.pcpartpicker.com/static/forever/images/product/2191a293d407f911a0f88a2e83171bf8.256p.jpg,1700 RPM,37 dB,Black,240 mm,240 mm,4.5
Montech HyperFlow Silent 240,49.99,800,2200,800 - 2200 RPM,24.8 dB,Black,240 mm,240 mm,0
MSI MAG CORELIQUID E360,79.99,,,Black,Black,360 mm,360 mm,4.5
Noctua NH-U14S TR4-SP3,89.95,https://cdna.pcpartpicker.com/static/forever/images/product/c1fedefbac0407a69d22cb532318dea5.256p.jpg,300 - 1500 RPM,19.2 - 24.6 dB,,,,4.5
GAMDIAS CHIONE P5,86.39,,400 - 2200 RPM,11 - 34.91 dB,Black,360 mm,360 mm,0
Corsair iCUE H100i ELITE CAPELLIX XT,161.63,https://cdna.pcpartpicker.com/static/forever/images/product/89bda0047f8b2ccffe4de3b909175e0b.256p.jpg,550 - 2100 RPM,5 - 34.1 dB,White,240 mm,240 mm,4.5
Thermalright Stream Vision,104,https://cdna.pcpartpicker.com/static/forever/images/product/f08d8fe646aed0b88d6e6e23c491f9c4.256p.jpg,2400 RPM,31.4 dB,Black,360 mm,360 mm,0
Asus ROG RYUO III 240 ARGB,125.47,https://cdna.pcpartpicker.com/static/forever/images/product/6a05bcd998466123f06f10896fb9183d.256p.jpg,2200 RPM,36.45 dB,Black,240 mm,240 mm,5
Antec A400i,17.94,https://cdna.pcpartpicker.com/static/forever/images/product/19fe542ce3692866f04e00e7b433d78c.256p.jpg,800 - 1800 RPM,20 - 36 dB,Black / Silver,,,0
ENDORFY Fera 5 Dual Fan,34,https://cdna.pcpartpicker.com/static/forever/images/product/1b394cf30c004439ab3814659dc809a3.256p.jpg,250 - 1800 RPM,Black / Silver,Black / Silver,,,4.5
Deepcool LE520,,https://cdna.pcpartpicker.com/static/forever/images/product/8cec6d2363455f95d71152f1875b2884.256p.jpg,500 - 2250 RPM,32.9 dB,Black,240 mm,240 mm,4
Fractal Design Lumen S36 RGB V2,110.03,https://cdna.pcpartpicker.com/static/forever/images/product/8a8ee242a049d31b5fdfb28ed97771f1.256p.jpg,500 - 2000 RPM,10 - 33.2 dB,Black,360 mm,360 mm,4
Ocypus Gamma A40 ARGB,,,600 - 2400 RPM,29.5 dB,Black,,,0
TRYX PANORAMA ARGB (2024),326.94,https://cdna.pcpartpicker.com/static/forever/images/product/ac141bb17c054a292b9b01a3db8a13ea.256p.jpg,500 - 1850 RPM,27.86 dB,White,360 mm,360 mm,5
MSI MAG CORELIQUID 240R V2,109.99,https://cdna.pcpartpicker.com/static/forever/images/product/e452db7a637e23fd3b05c4cec1d895f1.256p.jpg,500 - 2000 RPM,14.3 - 34.3 dB,Black,240 mm,240 mm,4
Thermalright Peerless Assassin,39.95,1550,1550 RPM,25.6 dB,Gray,,,4.5
Corsair iCUE H170i ELITE LCD XT,,https://cdna.pcpartpicker.com/static/forever/images/product/bc2d553706b1009178d061fac7e55c67.256p.jpg,500 - 1700 RPM,5 - 33.8 dB,Black,420 mm,420 mm,4.5
Geometric Future Eskimo Pro 42,117.78,https://cdna.pcpartpicker.com/static/forever/images/product/5d4d191b8b179ac7691ea045d6f726a8.256p.jpg,2400 RPM,34.2 dB,Black,420 mm,420 mm,5
Gigabyte AORUS WATERFORCE X II 360 ICE,202.94,https://cdna.pcpartpicker.com/static/forever/images/product/05a071fe7fd8933ca888717d8f1d4a05.256p.jpg,800 - 2400 RPM,12 - 37.5 dB,White,360 mm,360 mm,0
Thermalright Levita Vision 360 UB ARGB,129.95,https://cdna.pcpartpicker.com/static/forever/images/product/54a5f01536876f7089e56f0bc7037d59.256p.jpg,2150 RPM,27 dB,Black,360 mm,360 mm,0
Thermaltake CL-P0503,25.02,https://cdna.pcpartpicker.com/static/forever/images/product/8807a079a0bb00794b0ffb33a1864423.256p.jpg,2900 RPM,29.58 dB,,,,3.5
Jonsbo HP-400S Black,,https://cdna.pcpartpicker.com/static/forever/images/product/7ae4862c65effbbd2f4fa3dd6829eaf6.256p.jpg,900 - 2800 RPM,20.2 - 34 dB,Black,,,0
ID-COOLING FROZN A620 PRO SE ARGB,39.99,300,2000,300 - 2000 RPM,27.2 dB,Black,,,4.5
Deepcool AG400 PLUS,,https://cdna.pcpartpicker.com/static/forever/images/product/67505015d8803aa628f304bde43d94c8.256p.jpg,500 - 2000 RPM,Black / Silver,Black / Silver,,,5
ARCTIC Freezer 34 eSports DUO,84.42,https://cdna.pcpartpicker.com/static/forever/images/product/51025144d03095be4632b13edfec38c1.256p.jpg,200 - 2100 RPM,24.4 dB,Black / Gray,,,4.5
Deepcool ASSASSIN VC ELITE,79.99,https://cdna.pcpartpicker.com/static/forever/images/product/3d17289d6ffae7f9e212dd5f9de04a58.256p.jpg,500 - 1800 RPM,29.3 dB,Black,,,0
Noctua NH-L9x65 SE-AM4,59.95,https://cdna.pcpartpicker.com/static/forever/images/product/8908f54ec97a1262296a05ef496f0973.256p.jpg,600 - 2500 RPM,14.8 - 23.6 dB,,,,4
ARCTIC Liquid Freezer III 360 A-RGB,159.99,https://cdna.pcpartpicker.com/static/forever/images/product/78ddcad28cc97e597946e8827bfd741c.256p.jpg,200 - 2000 RPM,Black,White,360 mm,360 mm,4.5
Corsair iCUE H150i ELITE CAPELLIX XT,370.7,https://cdna.pcpartpicker.com/static/forever/images/product/b2b9eee9f88a4a8db5a4ddb6cef86927.256p.jpg,550 - 2100 RPM,White,White,360 mm,360 mm,4
be quiet! BK047,23.9,https://cdna.pcpartpicker.com/static/forever/images/product/fe753c36815b8c5690aad846b445c45e.256p.jpg,1700 RPM,12.4 - 24.8 dB,Black / Silver,,,0
NZXT T120,30.46,https://cdna.pcpartpicker.com/static/forever/images/product/6ffb79be2b5a5ce66c77d24fb384aa25.256p.jpg,500 - 1800 RPM,17.9 - 30.6 dB,White,,,5
NZXT Kraken 240 RGB,127.55,https://cdna.pcpartpicker.com/static/forever/images/product/ebd0dcafaf707dc2d772c44585ea8e10.256p.jpg,500 - 1800 RPM,17.9 - 30.6 dB,White,240 mm,240 mm,3.5
Deepcool AK500 ZERO DARK,,https://cdna.pcpartpicker.com/static/forever/images/product/63ca6be3a442b69d6033ca3a31231a21.256p.jpg,500 - 1850 RPM,25.9 - 31.5 dB,Black,,,4.5
Asus ROG RYUJIN II ARGB,199.99,https://cdna.pcpartpicker.com/static/forever/images/product/b5132345791aba8e349d990eb770c8e5.256p.jpg,,Black,Black,240 mm,240 mm,0
Corsair H100i RGB PLATINUM SE,,2200,2200 RPM,36 dB,White,240 mm,240 mm,4.5
Corsair iCUE H100x RGB ELITE,,https://cdna.pcpartpicker.com/static/forever/images/product/910431067172593d99eb5c6c6f6ca70e.256p.jpg,1500 RPM,7 - 28 dB,Black,240 mm,240 mm,4
Fractal Design Lumen S24 RGB V2,98.99,https://cdna.pcpartpicker.com/static/forever/images/product/2a211c269fa2abcc271967052a2801d5.256p.jpg,500 - 2000 RPM,10 - 33.2 dB,Black,240 mm,240 mm,4
ID-COOLING FX240 INF,49.49,https://cdna.pcpartpicker.com/static/forever/images/product/f1ceb70c5e47d3f5469a47d0c3c47e7b.256p.jpg,300 - 2000 RPM,27.2 dB,White,240 mm,240 mm,0
MSI MAG CORELIQUID E360 WHITE,79.9,https://cdna.pcpartpicker.com/static/forever/images/product/eaef12e213bf77e4060efce016b9f6ed.256p.jpg,,White,White,360 mm,360 mm,0
Thermaltake Gravity i3,31.18,https://cdna.pcpartpicker.com/static/forever/images/product/6e93a37b1f86b26e368bf5c79ba0a0cd.256p.jpg,1200 - 3500 RPM,36.5 dB,Silver / Black,,,5
Thermaltake UX400 RGB,20.39,https://cdna.pcpartpicker.com/static/forever/images/product/56255c423fa0421468d677a62f1fe47b.256p.jpg,700 - 1800 RPM,25 dB,Black / Silver,,,0
Xilence A250PWM,12,https://cdna.pcpartpicker.com/static/forever/images/product/f7801e59134d6ae8f2be73436ae9d081.256p.jpg,1000 - 2800 RPM,17.8 - 32 dB,Red / Black,,,3
Corsair iCUE LINK H150i LCD,329.99,https://cdna.pcpartpicker.com/static/forever/images/product/ab58f364345bbabcd7149bc7fcb72759.256p.jpg,480 - 2400 RPM,White,Black,360 mm,360 mm,5
NZXT Kraken 360,179.99,https://cdna.pcpartpicker.com/static/forever/images/product/e71bea262e634ec0decd5847c6e4d0a1.256p.jpg,500 - 1800 RPM,17.9 - 30.6 dB,Black,360 mm,360 mm,4.5
Cooler Master Masterliquid 240 Atmos,98.62,https://cdna.pcpartpicker.com/static/forever/images/product/9972f225e426ab66a0af050b1b291435.256p.jpg,690 - 2500 RPM,27.2 dB,White,240 mm,240 mm,4.5
Asus ProArt LC 240,179.99,https://cdna.pcpartpicker.com/static/forever/images/product/fb0b6d57caf31932f7868178e94d9f5d.256p.jpg,,49 - 39.5 dB,Black,240 mm,240 mm,0
Deepcool AK400 DIGITAL WH,26.03,https://cdna.pcpartpicker.com/static/forever/images/product/6f76e5f4ef961404d29738fa07ef6cfc.256p.jpg,500 - 1850 RPM,28 dB,White,,,4.5
Thermalright Peerless Assassin 120 White ARGB,49.66,https://cdna.pcpartpicker.com/static/forever/images/product/05b8b859f67ea5999cc545cc85baed27.256p.jpg,1550 RPM,25.6 dB,White,,,5
Deepcool AG400 ARGB,30.44,https://cdna.pcpartpicker.com/static/forever/images/product/fdb2ee625bc24a23362a9c4f622d52ed.256p.jpg,500 - 2000 RPM,31.6 dB,Black / Silver,,,0
Noctua NH-C14S,79.95,https://cdna.pcpartpicker.com/static/forever/images/product/224a71c7ddb83507e50721fd3424e7f7.256p.jpg,300 - 1500 RPM,19.2 - 24.6 dB,,,,4.5
MSI MAG CORELIQUID E240 WHITE,35.97,https://cdna.pcpartpicker.com/static/forever/images/product/007a21c13dde35c7c86e6a13a6bb64f1.256p.jpg,,White,White,240 mm,240 mm,5
GAMDIAS CHIONE E4,92.08,"https://cdna.pcpartpicker.com/static/forever/images/product/48970f5fe67c77d3b2a00e51e3057f3f.256p.jpg",800 - 1800 RPM,11 - 33.8 dB,Black,240 mm,240 mm,0
Thermaltake TOUGHLIQUID Ultra,354.85,https://cdna.pcpartpicker.com/static/forever/images/product/13d2170da6aa62a0c8a8647aab55a4c3.256p.jpg,500 - 2500 RPM,28.1 dB,Black,360 mm,360 mm,5
Deepcool MYSTIQUE 240,60.94,https://cdna.pcpartpicker.com/static/forever/images/product/b3b667d5bf68cf26600cd97baaa61303.256p.jpg,500 - 2150 RPM,36.49 dB,Black,240 mm,240 mm,5
Jonsbo TG-360,59.99,https://cdna.pcpartpicker.com/static/forever/images/product/7ed8d13e452f3f0de89a249de74b7e1b.256p.jpg,900 - 1800 RPM,22.9 - 35.4 dB,Black,360 mm,360 mm,0
Montech HyperFlow Digital 360,64.99,,800 - 2200 RPM,36.25 dB,Black,360 mm,360 mm,0
Thermalright Assassin Spirit 120 Vision ARGB,29.21,1500,1500 RPM,25.6 dB,White,,,0
Corsair iCUE H150i RGB ELITE,,https://cdna.pcpartpicker.com/static/forever/images/product/be7a21f8569b28b3a63c9cacf31e8ccd.256p.jpg,400 - 1850 RPM,5 - 28.9 dB,White,360 mm,360 mm,5
PC Cooler DS360,109.99,500,2200,500 - 2200 RPM,32 dB,Black,360 mm,360 mm,0
Cooler Master MasterLiquid ML360 Illusion,136.3,https://cdna.pcpartpicker.com/static/forever/images/product/973eb581b6a61a8947cce55e123949bd.256p.jpg,650 - 1800 RPM,6 - 30 dB,Black / Silver,360 mm,360 mm,4.5
ENDORFY Spartan 5 ARGB,18,https://cdna.pcpartpicker.com/static/forever/images/product/b0d3892844dd3a4779ae47e5fcb31ce9.256p.jpg,250 - 1500 RPM,Black / Silver,Black / Silver,,,0
Deepcool LS520S ZERO DARK,72.94,https://cdna.pcpartpicker.com/static/forever/images/product/01400e1422c3eccb7a7a6bde690ed4e8.256p.jpg,500 - 2250 RPM,28.2 - 32.9 dB,Black,240 mm,240 mm,5
Phanteks Glacier One D30 X2,129.94,https://cdna.pcpartpicker.com/static/forever/images/product/56fa23ce42c0ed6a97df7bea621dd6df.256p.jpg,250 - 2000 RPM,35.13 dB,Black,360 mm,360 mm,0
Jonsbo CR-1000 EVO ARGB Black,36.86,600,1500,600 - 1500 RPM,22 - 32 dB,Black,,,0
MSI MAG CORELIQUID 360R V2,139.99,https://cdna.pcpartpicker.com/static/forever/images/product/7a8eb35e54d9877fa9c18a8fb8ef37a7.256p.jpg,500 - 2000 RPM,14.3 - 34.3 dB,Black,360 mm,360 mm,3.5
Gigabyte GAMING 360,74.99,500,2200,500 - 2200 RPM,13.8 - 35.8 dB,Black,360 mm,360 mm,0
Asus Prime LC 240 ARGB,64.99,https://cdna.pcpartpicker.com/static/forever/images/product/5e5db6673cb3e7cd5e1f4a104444a1d7.256p.jpg,600 - 2200 RPM,Black,Black,240 mm,240 mm,0
Deepcool LS720S ZERO DARK,91,https://cdna.pcpartpicker.com/static/forever/images/product/7cca116c2c6a2bb9ae3c7e8fd83d5f9f.256p.jpg,500 - 2250 RPM,28.2 - 32.9 dB,Black,360 mm,360 mm,5
Cooler Master Hyper 212 Black X Duo,87.97,690,2500,690 - 2500 RPM,32.8 dB,Black,,,0
GAMDIAS AURA GL360 V2,46.94,800,1800,800 - 1800 RPM,33.8 dB,Black,360 mm,360 mm,0
ARCTIC Alpine 12 CO,,100,2700,100 - 2700 RPM,Black / Gray,Black / Gray,,,4
NZXT Kraken X62,,https://cdna.pcpartpicker.com/static/forever/images/product/88a46cbc0fb9422db89ab2d7c1b81e88.256p.jpg,500 - 1800 RPM,21 - 38 dB,280,280 mm,280 mm,4.5
Alpenföhn Panorama 2,,https://cdna.pcpartpicker.com/static/forever/images/product/80c63ece7b20620c3476e640b61997f5.256p.jpg,500 - 3000 RPM,37.6 dB,Black,,,0
Thermalright SI-100,26.9,https://cdna.pcpartpicker.com/static/forever/images/product/b681198865713babc872cc8c37e92c1e.256p.jpg,2000 RPM,27.7 dB,Gray / Silver,,,5
Cooler Master MasterLiquid Atmos II LCD,205.89,https://cdna.pcpartpicker.com/static/forever/images/product/c1258eb817dea1dc0befcc1520b03965.256p.jpg,690 - 2500 RPM,38.5 dB,Black,360 mm,360 mm,0
Corsair H100i PRO RGB,,https://cdna.pcpartpicker.com/static/forever/images/product/727b2d396d060c5982ad3fa62e0fdd42.256p.jpg,2400 RPM,37 dB,Black,240 mm,240 mm,4.5
Thermalright Aqua Elite ARGB V2,49.68,https://cdna.pcpartpicker.com/static/forever/images/product/971ec932a28b67778c1ffde09c348c51.256p.jpg,2000 RPM,28.2 dB,360,360 mm,360 mm,0
ENDORFY Spartan 5 MAX,20,https://cdna.pcpartpicker.com/static/forever/images/product/c1ff52afc71207c9a6b7bdc4609cc460.256p.jpg,250 - 1500 RPM,Black / Silver,Black / Silver,,,0
Antec Skeleton 240 ARGB,51.68,https://cdna.pcpartpicker.com/static/forever/images/product/c2a07d8253b2754a1d870daa7b255c17.256p.jpg,800 - 2000 RPM,32 dB,Black,240 mm,240 mm,0
Corsair A115,,https://cdna.pcpartpicker.com/static/forever/images/product/d7f3e5209ce6e1bc96523d526e07c426.256p.jpg,400 - 1600 RPM,5 - 33.9 dB,Black,,,0
ID-COOLING FROZN A620 SLK,37.99,,500 - 1850 RPM,33.9 dB,Black,,,0
EK EK-Nucleus AIO CR240 Lux D-RGB,111.94,https://cdna.pcpartpicker.com/static/forever/images/product/f9df6fe4505a023280fceaa31045a52d.256p.jpg,550 - 2300 RPM,36 dB,Black,240 mm,240 mm,4.5
Gelid Solutions BlackFrore,21,900,2000,900 - 2000 RPM,20 dB,Black,,,0
NZXT Kraken Elite 280 RGB,222.21,https://cdna.pcpartpicker.com/static/forever/images/product/56f4165bd17c7dce5d280700ac5f5f7d.256p.jpg,500 - 1500 RPM,34.48 dB,Black,280 mm,280 mm,5
Thermaltake TH360 V3 Ultra ARGB Sync,105.46,https://cdna.pcpartpicker.com/static/forever/images/product/79e264a7fe31a01d8a7eb14cdb014b55.256p.jpg,500 - 2500 RPM,37.8 dB,Black,360 mm,360 mm,0
Valkyrie Vind 125 SL,36.94,https://cdna.pcpartpicker.com/static/forever/images/product/2a711f413180b050af0d3720d234bd76.256p.jpg,800 - 2150 RPM,29 dB,Black,,,0
Deepcool GAMMAXX AG620 ARGB,,https://cdna.pcpartpicker.com/static/forever/images/product/ec2a661534171f89b5307f655fb0d201.256p.jpg,300 - 1850 RPM,29.4 dB,Black,,,4.5
Cooler Master MasterLiquid 240 Core II,57.99,600,1750,600 - 1750 RPM,30 dB,Black,240 mm,240 mm,5
upHere UE2K6,39.97,,600 - 1650 RPM,25 dB,Black,,,4
ENDORFY Navis F360 ARGB,86.85,https://cdna.pcpartpicker.com/static/forever/images/product/dfa48950ed25589c17a5c9a407b39556.256p.jpg,250 - 1800 RPM,Black,Black,360 mm,360 mm,0
ID-COOLING IS-77-XT BLACK,,,500 - 1850 RPM,33.9 dB,Black,,,0
Deepcool AK620 DIGITAL PRO,69.26,https://cdna.pcpartpicker.com/static/forever/images/product/4ee373608fb5dde8a50b79fc11ed7428.256p.jpg,500 - 1750 RPM,25 dB,Black,,,4
Corsair iCUE H170i ELITE CAPELLIX,,https://cdna.pcpartpicker.com/static/forever/images/product/2362b7257dd759eadb5d830d3234f97e.256p.jpg,2000 RPM,10 - 37 dB,Black,420 mm,420 mm,4.5
Cooler Master MasterLiquid 240,,https://cdna.pcpartpicker.com/static/forever/images/product/34c880de55c034f9cee334fe30c6fd2d.256p.jpg,650 - 2000 RPM,6 - 30 dB,240,240 mm,240 mm,4
Thermalright Royal Pretor 130 BLACK,56.09,1750,1750 RPM,28.3 dB,Black,,,4.5
Noctua NH-U9 TR4-SP3,79.95,https://cdna.pcpartpicker.com/static/forever/images/product/98ac8769ce2795903fdf6bc6fcd12c9b.256p.jpg,400 - 2000 RPM,16.3 - 22.8 dB,,,,5
ID-COOLING FROZN A410 DK,31.49,500,2000,500 - 2000 RPM,29.85 dB,Black,,,0
Deepcool AK620 G2,,https://cdna.pcpartpicker.com/static/forever/images/product/4cd4dd2c23b6084bcb2108696b52c99d.256p.jpg,2000 RPM,28.87 dB,Black / Brown,,,0
NZXT Kraken Elite 240,99.99,https://cdna.pcpartpicker.com/static/forever/images/product/0ee69c6ef6b011bd7b1931075f77120e.256p.jpg,500 - 1800 RPM,17.9 - 30.6 dB,Black,240 mm,240 mm,4.5
Intel BXTS15A,,https://cdna.pcpartpicker.com/static/forever/images/product/280d252d32bb3a756693954f47de8af2.256p.jpg,1000 - 3850 RPM,,,,,4
Cooler Master MasterLiquid 120L Core,59.99,https://cdna.pcpartpicker.com/static/forever/images/product/744d9305b004a1660a453d3ab23eaa1f.256p.jpg,650 - 1750 RPM,27.2 dB,Black,120 mm,120 mm,4
Enermax LIQMAX III 240 ARGB,48.9,https://cdna.pcpartpicker.com/static/forever/images/product/9e46236deb61baff33952558b93cee09.256p.jpg,500 - 1600 RPM,14 - 27 dB,White / Black,240 mm,240 mm,0
Antec VORTEX 360,,https://cdna.pcpartpicker.com/static/forever/images/product/ee53c6842b0870314574b2530aa2b266.256p.jpg,600 - 2000 RPM,31.24 dB,Black,360 mm,360 mm,0
Deepcool AG400 DIGITAL BK ARGB,,https://cdna.pcpartpicker.com/static/forever/images/product/bdc9f0d52963b05159168e2c48a5348e.256p.jpg,500 - 2100 RPM,31.6 dB,Black,,,5
Vetroo V360,49.99,https://cdna.pcpartpicker.com/static/forever/images/product/b09df0612cbd8cb35346a5d2ac6a5437.256p.jpg,800 - 1800 RPM,30.8 dB,Black,360 mm,360 mm,0
Cooler Master MasterAir MA824 Stealth,142.68,https://cdna.pcpartpicker.com/static/forever/images/product/1c2647683a225a3e833f401d6cc5800c.256p.jpg,0,24.6,0 - 24.6 dB,Black,,,0
NZXT Kraken 280,107.01,https://cdna.pcpartpicker.com/static/forever/images/product/84128080e04ff1cff81741225c168af0.256p.jpg,500 - 1500 RPM,19.4 - 32.1 dB,Black,280 mm,280 mm,4
Asus ROG STRIX LC III ARGB,129.94,https://cdna.pcpartpicker.com/static/forever/images/product/82fbcaa37878dde15499ca60759612e3.256p.jpg,800 - 2200 RPM,36 dB,Black,360 mm,360 mm,0
Thermaltake TH280 V2 ARGB Sync,96.35,https://cdna.pcpartpicker.com/static/forever/images/product/a2e5487a4240cd151429ab479f85c598.256p.jpg,500 - 1800 RPM,34.7 dB,Black,280 mm,280 mm,4
NZXT Kraken Z53,266.66,https://cdna.pcpartpicker.com/static/forever/images/product/e84673309feba343ba83c6a99439e1a6.256p.jpg,500 - 2000 RPM,21 - 36 dB,Black,240 mm,240 mm,4.5
Deepcool ASSASSIN IV VC VISION,98.94,https://cdna.pcpartpicker.com/static/forever/images/product/e0c59e3b18647c867332193eec883bed.256p.jpg,500 - 1800 RPM,29.3 dB,Black,,,0
ARCTIC Freezer 7 X CO,22.97,https://cdna.pcpartpicker.com/static/forever/images/product/35d957902577f816971b98902de228a9.256p.jpg,300 - 2000 RPM,Black / Silver,Black / Silver,,,4.5
Cooler Master MasterLiquid PL360 FLUX,107.53,https://cdna.pcpartpicker.com/static/forever/images/product/53484934833f624186a7ccf1c7ef28c2.256p.jpg,32,32 dB,Black,360 mm,360 mm,4.5
Thermaltake MAGFloe 420 Ultra ARGB Sync,185.47,500,2000,500 - 2000 RPM,34.5 dB,White,420 mm,420 mm,0
NZXT Kraken Z63 RGB,349,https://cdna.pcpartpicker.com/static/forever/images/product/df16448ab2d26d511e98ba79dd91826c.256p.jpg,500 - 1500 RPM,22 - 33 dB,White / Black,280 mm,280 mm,4
Scythe Big Shuriken 4,49.09,,200 - 1900 RPM,31.78 dB,Black / Silver,,,0
Jonsbo CR-1400 EVO Color White,27.38,https://cdna.pcpartpicker.com/static/forever/images/product/1bd24e4c48099d07ed7ba138edbbb7fe.256p.jpg,800 - 2200 RPM,22.3 - 33.8 dB,White,,,5
Deepcool LS720 SE WH,,https://cdna.pcpartpicker.com/static/forever/images/product/876374634dcac9c71c8f9f585d6e4767.256p.jpg,500 - 2250 RPM,28.2 - 32.9 dB,White,360 mm,360 mm,4.5
Thermalright Frost Commander 140 BLACK,56.9,1800,1800 RPM,30.2 dB,Black,,,4.5
Thermaltake UX100,,https://cdna.pcpartpicker.com/static/forever/images/product/80d55b70d8963a172fb456dc4e52540c.256p.jpg,1800 RPM,26.92 dB,Black,,,3.5
Deepcool AK620 DIGITAL WH,,https://cdna.pcpartpicker.com/static/forever/images/product/0e92d3459917bf3592be3db897aac305.256p.jpg,500 - 1850 RPM,28 dB,White,,,5
