web_scraper_order,web_scraper_start_url,pagination,name,capacity,interface,rating,price,price2,price_gb,cache,name3,type,form_factor,price3,price4,capacity2,price_gb2,type2,form_factor2,interface2,cache2,name2,name4
"1784217246-14","https://uk.pcpartpicker.com/products/internal-hard-drive/","","Seagate Barracuda Compute","Capacity2 TB","InterfaceSATA 6.0 Gb/s","(750)","£103.94Add","","Price / GB£0.052","Cache256 MB","(750)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://cdna.pcpartpicker.com/static/forever/images/product/c7b5b7dacbecdcdd0e073b761193eef6.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/c7b5b7dacbecdcdd0e073b761193eef6.256p.jpg"
"1784217246-24","https://uk.pcpartpicker.com/products/internal-hard-drive/","","Seagate BarraCuda","Capacity4 TB","InterfaceSATA 6.0 Gb/s","(82)","£159.90Add","","Price / GB£0.040","Cache256 MB","(82)","Type5400 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://cdna.pcpartpicker.com/static/forever/images/product/f2b81ef4f53b4566edfd5a5c7c60977d.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/f2b81ef4f53b4566edfd5a5c7c60977d.256p.jpg"
"1784217246-29","https://uk.pcpartpicker.com/products/internal-hard-drive/","","Seagate Exos M","Capacity30 TB","InterfaceSATA 6.0 Gb/s","(0)","£1209.90Add","","Price / GB£0.040","Cache","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://cdna.pcpartpicker.com/static/forever/images/product/440b6d462c8e9b8f8d3f2eba0892424a.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/440b6d462c8e9b8f8d3f2eba0892424a.256p.jpg"
"1784217246-30","https://uk.pcpartpicker.com/products/internal-hard-drive/","","Western Digital Caviar Blue","Capacity1 TB","InterfaceSATA 6.0 Gb/s","(2388)","£89.99Add","","Price / GB£0.090","Cache64 MB","(2388)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg"
"1784217246-38","https://uk.pcpartpicker.com/products/internal-hard-drive/","","Seagate BarraCuda","Capacity1 TB","InterfaceSATA 6.0 Gb/s","(1020)","Add","","Price / GB","Cache64 MB","(1020)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://m.media-amazon.com/images/I/51jzvyPoV6L.jpg","https://m.media-amazon.com/images/I/51jzvyPoV6L.jpg"
"1784217246-57","https://uk.pcpartpicker.com/products/internal-hard-drive/","","Western Digital Blue","Capacity2 TB","InterfaceSATA 6.0 Gb/s","(38)","£115.01Add","","Price / GB£0.058","Cache256 MB","(38)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://cdna.pcpartpicker.com/static/forever/images/product/0b9bfd76b0d511a6eff3730d12d5f95c.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/0b9bfd76b0d511a6eff3730d12d5f95c.256p.jpg"
"1784217246-67","https://uk.pcpartpicker.com/products/internal-hard-drive/","","Seagate Exos M","Capacity36 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217246-81","https://uk.pcpartpicker.com/products/internal-hard-drive/","","Western Digital AV-GP","Capacity160 GB","InterfaceSATA 3.0 Gb/s","(1)","Add","","Price / GB","Cache16 MB","(1)","Type5400 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://images-na.ssl-images-amazon.com/images/I/51yl2DEVzkL.jpg","https://images-na.ssl-images-amazon.com/images/I/51yl2DEVzkL.jpg"
"1784217246-87","https://uk.pcpartpicker.com/products/internal-hard-drive/","","Seagate BarraCuda","Capacity1 TB","InterfaceSATA 6.0 Gb/s","(258)","£99.99Add","","Price / GB£0.100","Cache64 MB","(258)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://cdna.pcpartpicker.com/static/forever/images/product/0f3ec8d968661b3bfc4a7250f78ec8a9.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/0f3ec8d968661b3bfc4a7250f78ec8a9.256p.jpg"
"1784217246-96","https://uk.pcpartpicker.com/products/internal-hard-drive/","","Seagate IronWolf NAS","Capacity8 TB","InterfaceSATA 6.0 Gb/s","(5)","£299.94Add","","Price / GB£0.037","Cache256 MB","(5)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://cdna.pcpartpicker.com/static/forever/images/product/46ed2866892f9106dd92eb39059f970a.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/46ed2866892f9106dd92eb39059f970a.256p.jpg"
"1784217259-174","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=66","Lenovo ThinkStation","Capacity6 TB","InterfaceSATA 6.0 Gb/s","(0)","£588.95Add","","Price / GB£0.098","Cache","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://cdna.pcpartpicker.com/static/forever/images/product/2f71e19edfe9a9c1029569df3f16cc18.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/2f71e19edfe9a9c1029569df3f16cc18.256p.jpg"
"1784217259-236","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=66","Seagate Exos X24 SED","Capacity12 TB","InterfaceSAS 12.0 Gb/s","(0)","Add","","Price / GB","Cache512 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://cdna.pcpartpicker.com/static/forever/images/product/7ee95fc340f9e17380ff9be63f8b5c80.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/7ee95fc340f9e17380ff9be63f8b5c80.256p.jpg"
"1784217259-237","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=66","Seagate Exos X24 SED-FIPS","Capacity12 TB","InterfaceSAS 12.0 Gb/s","(0)","Add","","Price / GB","Cache512 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217259-238","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=66","Seagate Exos X24 SED","Capacity16 TB","InterfaceSAS 12.0 Gb/s","(0)","Add","","Price / GB","Cache512 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://cdna.pcpartpicker.com/static/forever/images/product/b6aebdf090de31aaf5e388f3d1189c82.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/b6aebdf090de31aaf5e388f3d1189c82.256p.jpg"
"1784217259-239","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=66","Seagate Exos X24 SED-FIPS","Capacity16 TB","InterfaceSAS 12.0 Gb/s","(0)","Add","","Price / GB","Cache512 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217259-240","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=66","Seagate Exos X24 SED-FIPS","Capacity24 TB","InterfaceSAS 12.0 Gb/s","(0)","Add","","Price / GB","Cache512 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217272-333","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=64","Seagate Exos X22","Capacity20 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache512 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217272-349","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=64","Toshiba MG09 512e","Capacity20 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache512 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217272-350","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=64","Toshiba MG09 4Kn","Capacity20 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache512 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217272-351","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=64","Toshiba MG09 4Kn SIE","Capacity18 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache512 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-359","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba N300","Capacity16 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache512 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://cdna.pcpartpicker.com/static/forever/images/product/5fef72353d5501d515895ac4e37071b1.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/5fef72353d5501d515895ac4e37071b1.256p.jpg"
"1784217285-360","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba N300","Capacity6 TB","InterfaceSATA 6.0 Gb/s","(0)","£415.59Add","","Price / GB£0.069","Cache256 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://cdna.pcpartpicker.com/static/forever/images/product/8e164fb868d3d54ff73c30619cc2dcb3.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/8e164fb868d3d54ff73c30619cc2dcb3.256p.jpg"
"1784217285-361","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba MQ01ABD032V","Capacity320 GB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache","(0)","Type5400 RPM","Form Factor2.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-370","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba X300","Capacity4 TB","InterfaceSATA 6.0 Gb/s","(0)","Out of stock£159.11Add","Out of stock£159.11","Price / GB","Cache256 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","Out of stock","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://cdna.pcpartpicker.com/static/forever/images/product/ca85e2c0a72a1b88ee7d9722168c0aea.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/ca85e2c0a72a1b88ee7d9722168c0aea.256p.jpg"
"1784217285-371","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba X300","Capacity8 TB","InterfaceSATA 6.0 Gb/s","(0)","Out of stock£246.93Add","Out of stock£246.93","Price / GB","Cache256 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","Out of stock","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://cdna.pcpartpicker.com/static/forever/images/product/774ce595477569bff342796b86abf930.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/774ce595477569bff342796b86abf930.256p.jpg"
"1784217285-372","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba X300","Capacity12 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache256 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://cdna.pcpartpicker.com/static/forever/images/product/abc685eecef933b508b808a57e8da4a9.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/abc685eecef933b508b808a57e8da4a9.256p.jpg"
"1784217285-373","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba X300","Capacity16 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache512 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://m.media-amazon.com/images/I/313iwHV66IL.jpg","https://m.media-amazon.com/images/I/313iwHV66IL.jpg"
"1784217285-374","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba MG08","Capacity16 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache512 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-375","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba MG08","Capacity16 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache512 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-376","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba MG08","Capacity16 TB","InterfaceSATA 6.0 Gb/s","(1)","Add","","Price / GB","Cache512 MB","(1)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-377","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba MG08","Capacity14 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache512 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-378","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba MG08","Capacity14 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache512 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-379","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba MG08","Capacity14 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache512 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-380","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba MG07ACA12TA","Capacity12 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache256 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://m.media-amazon.com/images/I/31yxHhF2idL.jpg","https://m.media-amazon.com/images/I/31yxHhF2idL.jpg"
"1784217285-381","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba MG06ACA10TA","Capacity10 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache256 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://m.media-amazon.com/images/I/41sktm7s5kL.jpg","https://m.media-amazon.com/images/I/41sktm7s5kL.jpg"
"1784217285-382","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba MG06ACA800A","Capacity8 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache256 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-383","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba MG05ACA800A","Capacity8 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache128 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-384","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba MG06ACA600A","Capacity6 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache256 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-385","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba MG04ACA500A","Capacity5 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache128 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-386","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba MG04ACA400A","Capacity4 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache128 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-387","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba MG04ACA200A","Capacity2 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache128 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-388","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba MG06ACA600E","Capacity6 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache256 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://cdna.pcpartpicker.com/static/forever/images/product/21c3aa4a736c9a107ceecdccf76e520e.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/21c3aa4a736c9a107ceecdccf76e520e.256p.jpg"
"1784217285-389","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba MG04ACA500E","Capacity5 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache128 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://m.media-amazon.com/images/I/41xyT4wsWwL.jpg","https://m.media-amazon.com/images/I/41xyT4wsWwL.jpg"
"1784217285-390","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba MG04ACA300E","Capacity3 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache128 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-391","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba MG08ADA400A","Capacity4 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache256 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-392","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba MG08ADA400N","Capacity4 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache256 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-393","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba MG08ADA600A","Capacity6 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache256 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-394","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba MG08ADA800A","Capacity8 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache256 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-395","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba L200","Capacity500 GB","InterfaceSATA 3.0 Gb/s","(0)","Out of stock£87.02Add","Out of stock£87.02","Price / GB","Cache8 MB","(0)","Type5400 RPM","Form Factor2.5""","Add","Out of stock","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://cdna.pcpartpicker.com/static/forever/images/product/86d470408fec373a397ad8c6caf3a66c.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/86d470408fec373a397ad8c6caf3a66c.256p.jpg"
"1784217285-396","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Toshiba L200","Capacity2 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache128 MB","(0)","Type5400 RPM","Form Factor2.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://cdna.pcpartpicker.com/static/forever/images/product/7841369f834c016c72d4970edefc57cd.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/7841369f834c016c72d4970edefc57cd.256p.jpg"
"1784217285-397","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Hitachi Ultrastar He8","Capacity6 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache128 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-398","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Hitachi Ultrastar He8","Capacity6 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache128 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-399","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Hitachi Ultrastar He8","Capacity6 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache128 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-400","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Hitachi Ultrastar He8","Capacity6 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache128 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-401","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Hitachi Ultrastar He8","Capacity6 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache128 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-402","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Hitachi Ultrastar He8","Capacity6 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache128 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-403","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Hitachi Ultrastar He8","Capacity8 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache128 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784217285-404","https://uk.pcpartpicker.com/products/internal-hard-drive/","https://uk.pcpartpicker.com/products/internal-hard-drive/#page=63","Hitachi Ultrastar He8","Capacity8 TB","InterfaceSATA 6.0 Gb/s","(0)","Add","","Price / GB","Cache128 MB","(0)","Type7200 RPM","Form Factor3.5""","Add","","Capacity","Price / GB","Type","Form Factor","Interface","Cache","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
