name,price,image,capacity,interface,type,price_gb,color,rating
Apricorn Aegis Bio 3.0,,,512 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Apricorn Aegis Bio,,https://cdna.pcpartpicker.com/static/forever/images/product/78090b54f34e3ab62202a1d732c2e76a.256p.jpg,1000 GB,USB Type-A 3.2 Gen 1,Portable,,,0
ADATA SH14,,https://cdna.pcpartpicker.com/static/forever/images/product/a4a3089575c39e68f949178ca05969d3.256p.jpg,1000 GB,USB Type-A 3.2 Gen 1,Portable,,,0
ADATA AHV620-500GU3-CBK,,https://cdna.pcpartpicker.com/static/forever/images/product/2acba091c6ed87164a2367aebac9fb7a.256p.jpg,500 GB,USB Type-A 3.2 Gen 1,Portable,,,0
ADATA AHV620-2TU3-CBK,,https://cdna.pcpartpicker.com/static/forever/images/product/b79a782940e7c015517a725052259494.256p.jpg,2000 GB,USB Type-A 3.2 Gen 1,Portable,,,0
HP HPHDD2E30500AS1-RBU,,,500 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Hitachi HGST Touro Mobile Pro,,https://cdna.pcpartpicker.com/static/forever/images/product/11306d2827d3e2dd93b6edae1622311e.256p.jpg,1000 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Hitachi GST Touro Mobile Pro,,https://cdna.pcpartpicker.com/static/forever/images/product/021e30fdd4bcfacc5900cdbcd0e52c8f.256p.jpg,500 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Seagate GoFlex for Mac,,,1000 GB,Thunderbolt,Portable,,,0
Samsung MU-PS500B/AM,,,500 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Samsung MU-PS250B/AM,,,250 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Samsung P3 Portable,,,2000 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Samsung P3,,,1000 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Verbatim 97806,,https://cdna.pcpartpicker.com/static/forever/images/product/e9bdfe9c93c7357d21db2a3c7cef90ca.256p.jpg,1000 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Verbatim 97805,,https://cdna.pcpartpicker.com/static/forever/images/product/f2c172bb06beb5434c1613bcee92cdb3.256p.jpg,500 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Verbatim Freecom,,,1000 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Verbatim Titan XS,,,1000 GB,,Portable,,,0
Western Digital My Passport Slim,,,1000 GB,USB Type-A 3.2 Gen 1,Portable,,,4
LaCie Rikiki,,,500 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Buffalo Technology MiniStation Extreme,,,500 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Buffalo Technology MiniStation,,,500 GB,USB Type-A 3.2 Gen 1,Portable,,,0
ADATA DashDrive,,https://cdna.pcpartpicker.com/static/forever/images/product/71ee7d674eb4577308c84a94e36e9c54.256p.jpg,1000 GB,USB Type-A 3.2 Gen 1,Portable,,,0
