name,price,image,capacity,interface,type,price_gb,color,rating
Crucial X10 Pro,,,2000 GB,USB Type-C 3.2 Gen 2x2,Portable,,Black,0
Asus ROG Strix Arion S500,,https://cdna.pcpartpicker.com/static/forever/images/product/8d116ac01a6ced20b371f5c3291157b9.256p.jpg,500 GB,USB Type-C 3.2 Gen 2,Portable,,Black,0
Seagate Backup Plus,,https://cdna.pcpartpicker.com/static/forever/images/product/40206b14ba80836113d364bb877efcdf.256p.jpg,2000 GB,USB Type-A 3.2 Gen 1,Portable,,,4.5
Apricorn Aegis Padlock DT,622.75,,10000 GB,USB Type-A 3.2 Gen 1,Desktop,£0.062,Black,0
Sabrent Rocket Nano V2,370.59,https://cdna.pcpartpicker.com/static/forever/images/product/1924408f7cb5d1d88b1f7546f64bb9a1.256p.jpg,4000 GB,USB Type-C 3.2 Gen 2x2,Portable,£0.093,Black,0
Western Digital easystore,,https://cdna.pcpartpicker.com/static/forever/images/product/9cd244d9e226798cf82fb7a702e9b510.256p.jpg,20000 GB,USB Type-A,Desktop,,Black,0
Apricorn Padlock SSD,,https://cdna.pcpartpicker.com/static/forever/images/product/459bab2b45e4a9a9a113a8a76752588b.256p.jpg,4000 GB,USB Type-A 3.2 Gen 1,Portable,,Black,0
Toshiba Canvio Basics,213.79,https://cdna.pcpartpicker.com/static/forever/images/product/5dd5712e1524101ba7f45d326f55c6bd.256p.jpg,1000 GB,USB Type-A 3.2 Gen 1,Portable,£0.214,,4.5
ADATA DashDrive Durable HD650,113.01,https://cdna.pcpartpicker.com/static/forever/images/product/b43b9fa5a61ca902b7c8c00ed1ae4937.256p.jpg,1000 GB,USB Type-A 3.2 Gen 1,Portable,£0.113,,4.5
Seagate Backup Plus Hub,,https://cdna.pcpartpicker.com/static/forever/images/product/110922cc0212a27f0e6a70527634ad47.256p.jpg,10000 GB,USB Type-A 3.2 Gen 1,Desktop,,Black,0
Toshiba Canvio Basics 3.0,,https://cdna.pcpartpicker.com/static/forever/images/product/b4cf492f2598c616dca925fd262860d1.256p.jpg,2000 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Kingston XS1000,143,https://cdna.pcpartpicker.com/static/forever/images/product/9c85da5d4b5eba4e9d237d89994c2fa2.256p.jpg,1000 GB,USB Type-C 3.2 Gen 2,Portable,£0.143,Black,0
Seagate Barracuda Fast,,https://cdna.pcpartpicker.com/static/forever/images/product/108fa03fe79ae8b0d146db169fcb2aeb.256p.jpg,2000 GB,USB Type-C,Portable,,Black,0
Samsung T5,,https://cdna.pcpartpicker.com/static/forever/images/product/6cfd5346e71b782269c85f891a591163.256p.jpg,1000 GB,USB Type-C 3.2 Gen 1,Portable,,,4.5
Sabrent Rocket Nano,281.51,https://cdna.pcpartpicker.com/static/forever/images/product/6ebcabc4687c960973ec96ca54f0abe1.256p.jpg,2000 GB,USB Type-C 3.2 Gen 2,Portable,£0.141,Silver,0
LaCie Rugged Mini,100.99,https://cdna.pcpartpicker.com/static/forever/images/product/4c35be8041a39900a4aa0c744eb3881b.256p.jpg,1000 GB,USB Type-A 3.2 Gen 1,Portable,£0.101,,0
Kingston XS2000,392.1,https://cdna.pcpartpicker.com/static/forever/images/product/0a6b3159a7fb1601e8cde5385b9fda2d.256p.jpg,4000 GB,USB Type-C 3.2 Gen 2x2,Portable,£0.098,Silver,0
Toshiba Canvio Desk,,,4000 GB,USB Type-A 3.2 Gen 1,Desktop,,,0
Verbatim Vx460,,https://cdna.pcpartpicker.com/static/forever/images/product/7bfaceb4129fdae0ef83b5b81c3b8803.256p.jpg,128 GB,USB Type-A 3.2 Gen 1,Portable,,Black,0
Samsung T5 Portable,,https://cdna.pcpartpicker.com/static/forever/images/product/23f37998f60908dd772468b0d033a8b7.256p.jpg,500 GB,USB Type-C 3.2 Gen 2,Portable,,Red,0
SanDisk Extreme 900,,https://cdna.pcpartpicker.com/static/forever/images/product/49f596585e7a37e4c28a56026effae6a.256p.jpg,960 GB,USB Type-A 3.2 Gen 2,Portable,,,0
Seagate Backup Plus Portable,,https://cdna.pcpartpicker.com/static/forever/images/product/0c4965545798ec33baa72485e771ffac.256p.jpg,4000 GB,USB Type-A 3.2 Gen 1,Portable,,Black,4.5
Seagate Backup Plus Slim,,https://cdna.pcpartpicker.com/static/forever/images/product/948ff978be37e52e1ad00302589ef204.256p.jpg,1000 GB,USB Type-A 3.2 Gen 1,Portable,,Black,4.5
Crucial X6,255,https://cdna.pcpartpicker.com/static/forever/images/product/0ad02a4971629a3620c6c04c9a55c1d0.256p.jpg,2000 GB,USB Type-C 3.2 Gen 2,Portable,£0.128,Black,0
Integral SlimXpress,,,500 GB,USB Type-C 3.2 Gen 2,Portable,,Black,0
TEAMGROUP T-Create CinemaPr P31,,https://cdna.pcpartpicker.com/static/forever/images/product/6838abd911e29f483735af2983b6b8b1.256p.jpg,4000 GB,USB Type-C 3.2 Gen 2x2,Portable,,Black,0
Seagate Game Drive Xbox GamePass Edition,,https://cdna.pcpartpicker.com/static/forever/images/product/b595e32b18fc9661bc5c59f35f98d53d.256p.jpg,4000 GB,USB Type-A 3.2 Gen 1,Portable,,White,0
TEAMGROUP PD20M Mag,153.11,https://cdna.pcpartpicker.com/static/forever/images/product/1ac43c4f91e78148493260cb6b03c65a.256p.jpg,1000 GB,USB Type-C 3.2 Gen 2,Portable,£0.153,Black,0
TEAMGROUP PD1000,179.87,https://cdna.pcpartpicker.com/static/forever/images/product/cd848e72cadcabe963b21660a06ce411.256p.jpg,1000 GB,USB Type-C 3.2 Gen 2,Portable,£0.180,Teal,0
Corsair EX300U,164.8,https://cdna.pcpartpicker.com/static/forever/images/product/8c2e0af3adc332b7e3d19e3d77098f91.256p.jpg,1000 GB,USB Type-C 3.2 Gen 2,Portable,£0.165,Black,0
KIOXIA EXCERIA PLUS,,https://cdna.pcpartpicker.com/static/forever/images/product/6caf074ccb3de8a99af44c2f869cd07c.256p.jpg,1000 GB,USB Type-C 3.2 Gen 2,Portable,,Gray,0
Western Digital My Passport Ultra Portable,,,2000 GB,USB Type-A 3.2 Gen 1,Portable,,,4.5
Crucial X9 Pro,,,2000 GB,USB Type-C 3.2 Gen 2,Portable,,Silver,0
Sabrent Rocket XTRM-Q,,,16000 GB,USB Type-C 3.2 Gen 2,Desktop,,,0
LaCie 5big,,,25000 GB,Thunderbolt,Desktop,,,0
Buffalo Technology DriveStation Combo 4,,,2000 GB,"IEEE 1394A 6-Pin, IEEE 1394B 9-Pin, eSATA 3.0 Gb/s, USB Type-A 2.0",Desktop,,,0
Crucial X8,,https://cdna.pcpartpicker.com/static/forever/images/product/45a7a3bfd894864872981486e2373ae1.256p.jpg,1000 GB,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 2",Portable,,Black,0
Western Digital WD_BLACK P50,284.3,https://cdna.pcpartpicker.com/static/forever/images/product/5c42db8966e5db4c748ab44134cd11e2.256p.jpg,1000 GB,USB Type-C 3.2 Gen 1,Portable,£0.284,Black / Silver,0
ADATA SD700,,,256 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Transcend StoreJet,125.03,https://cdna.pcpartpicker.com/static/forever/images/product/6956bb469c3caa80f77be62fd8d4f067.256p.jpg,1000 GB,USB Type-A 3.2 Gen 1,Portable,£0.125,,5
Axiom Mobile-D,,https://cdna.pcpartpicker.com/static/forever/images/product/a39ebff641d8bda1e7a79db24cb4d7c5.256p.jpg,250 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Toshiba Canvio Connect,,,500 GB,USB Type-A 3.2 Gen 1,Portable,,,3
LaCie Rugged,,https://cdna.pcpartpicker.com/static/forever/images/product/2dfa3b8f373126b38f809ebc907e15b7.256p.jpg,500 GB,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",Portable,,,0
Toshiba Canvio Slim II,,,1000 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Seagate STEB6000403,,https://cdna.pcpartpicker.com/static/forever/images/product/17fe19c597f20beb9733644a7bc812d0.256p.jpg,6000 GB,USB Type-A 3.2 Gen 1,Desktop,,Black,0
Lexar ARMOR 700,159.99,https://cdna.pcpartpicker.com/static/forever/images/product/64aee134134ca2900e48c834c82830a2.256p.jpg,1000 GB,USB Type-C 3.2 Gen 2x2,Portable,£0.160,Black,0
Samsung D3 Station,,https://cdna.pcpartpicker.com/static/forever/images/product/0504197d33d831f0fa427e56a2f186e9.256p.jpg,4000 GB,USB Type-A 3.2 Gen 1,Desktop,,,0
Buffalo Technology DriveStation Axis Velocity,,https://cdna.pcpartpicker.com/static/forever/images/product/a6e1da31c151781e35662a034970a1be.256p.jpg,3000 GB,USB Type-A 3.2 Gen 1,Desktop,,,0
Lexar SL500,149.06,https://cdna.pcpartpicker.com/static/forever/images/product/f4e1f7bbf83e6d9ca19b6a4ef297237b.256p.jpg,512 GB,USB Type-C 3.2 Gen 2x2,Portable,£0.291,Black,0
VisionTek 901195,,,512 GB,USB Type-C,Portable,,Black,0
