name,price,image,type,form_factor,rating,mpn,sku,brand,model,ean,upc
NZXT HUE 2 RGB Lighting Kit,,https://cdna.pcpartpicker.com/static/forever/images/product/4c6ee7cb60a2e62ef45e14acd8e3ca18.256p.jpg,LED Controller,"2.5""",4,,,,,,
NZXT Hue+,,LED Controller,LED Controller,2.5,4,,,,,,
NZXT Aperture M,,Card Reader,Card Reader,5.25,3.5,,,,,,
Vantec UGT-CR935,,https://cdna.pcpartpicker.com/static/forever/images/product/8f29c79fbe68cdaaef7f6801b329566a.256p.jpg,Card Reader,"3.5""",4,,,,,,
NZXT Hue,,https://cdna.pcpartpicker.com/static/forever/images/product/a51c8fdadfec5bd6020e39c9c4cc44fa.256p.jpg,LED Controller,"5.25""",4.5,,,,,,
nMEDIAPC ZE-C668,,https://cdna.pcpartpicker.com/static/forever/images/product/0ebada8096db76cfa427a7b9bf0664e2.med.256p.jpg,Card Reader,"5.25""",0,,,,,,
nMEDIAPC ZE-C288,,https://cdna.pcpartpicker.com/static/forever/images/product/252cbec6193c018672925026a3820b55.med.256p.jpg,Card Reader,"5.25""",0,,,,,,
Unitech U3903,,https://cdna.pcpartpicker.com/static/forever/images/product/8e6afed5b6fbf073fe9a2ba2544da0dd.med.256p.jpg,Card Reader,"5.25""",0,,,,,,
