name,price,image,chipset,memory,core_clock,boost_clock,color,length,rating
MSI VENTUS 2X PLUS OC,358.19,https://cdna.pcpartpicker.com/static/forever/images/product/448885cffd9a078d3cd0a6c8aa2305e6.256p.jpg,GeForce RTX 5060 Ti,8 GB,2410 MHz,2617 MHz,Black / Gray,227 mm,5
Sapphire NITRO+,719.99,https://cdna.pcpartpicker.com/static/forever/images/product/1add1f9857eec8cf98c8963331dfe4b6.256p.jpg,Radeon RX 9070 XT,16 GB,2520 MHz,3060 MHz,Black,331 mm,4.5
Asus Dual GeForce RTX 3060 V2 OC Edition,319.99,https://cdna.pcpartpicker.com/static/forever/images/product/a6cfb4e58daecb7b49fb19b0f5268a56.256p.jpg,GeForce RTX 3060 12GB,12 GB,1320 MHz,1867 MHz,Black,200 mm,4.5
MSI GAMING TRIO OC,899,https://cdna.pcpartpicker.com/static/forever/images/product/370365e652c3b14625e18aedae953a7b.256p.jpg,GeForce RTX 5070 Ti,16 GB,2300 MHz,2580 MHz,Black,338 mm,5
Asus TUF GAMING OC,1249.98,https://cdna.pcpartpicker.com/static/forever/images/product/a5d521869c682b9b728f2a33f3c555ac.256p.jpg,GeForce RTX 5080,16 GB,2300 MHz,Black / Silver,Black / Silver,348 mm,4.5
PNY VCNRTXPRO6000BQ-PB,,https://cdna.pcpartpicker.com/static/forever/images/product/6fcf7191051e03d62a24cea4824b1003.256p.jpg,RTX PRO 6000 Blackwell Max-Q,96 GB,1035 MHz,,Black / Gold,267 mm,0
Intel Limited Edition,449.99,https://cdna.pcpartpicker.com/static/forever/images/product/4d6582f8f760f3da54b0dc4f85a816d4.256p.jpg,Arc B580,12 GB,2670 MHz,Black,Black,272 mm,4.5
MSI VENTUS 3X OC,860,https://cdna.pcpartpicker.com/static/forever/images/product/39f468764f322157ce781ad2c4fa803b.256p.jpg,GeForce RTX 5070 Ti,16 GB,2300 MHz,2497 MHz,Silver / Black,303 mm,4.5
MSI VENTUS 2X BLACK OC,Out of stock£269.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/c89cc9ea2051206aebd4189ddf05f76b.256p.jpg,GeForce RTX 4060,8 GB,1830 MHz,2505 MHz,Black,199 mm,4.5
XFX Speedster SWFT 210 Core,399,https://cdna.pcpartpicker.com/static/forever/images/product/9d6954ba0d9b53b06d996c25e576d470.256p.jpg,Radeon RX 7700 XT,12 GB,1425 MHz,2544 MHz,Black,280 mm,4.5
