name,price,image,chipset,memory,core_clock,boost_clock,color,length,rating
MSI GeForce RTX 3080 RTX 3080 SUPRIM X 10G,1145,https://cdna.pcpartpicker.com/static/forever/images/product/cbd2467d850794fdfbd30b440ad71ae8.256p.jpg,GeForce RTX 3080 10GB,10 GB,1440 MHz,1920 MHz,Black / Silver,336 mm,4.5
AMD 100-506115,118,https://cdna.pcpartpicker.com/static/forever/images/product/7871e1c7cb277aeee9d5613fea0c5202.256p.jpg,Radeon Pro WX 3200,4 GB,1250 MHz,1290 MHz,Blue / Black,168 mm,5
Gainward Phantom GS,4978.15,https://cdna.pcpartpicker.com/static/forever/images/product/58b634749b3bf757e25307263594c122.256p.jpg,GeForce RTX 5090,32 GB,2010 MHz,Black,Black,332 mm,0
AMD 100-300000071,,Radeon RX 7900 XT,Radeon RX 7900 XT,20 GB,2000 MHz,2400 MHz,Black,276 mm,5
XFX Mercury,667,https://cdna.pcpartpicker.com/static/forever/images/product/c8d02bb15c130b96b41a0defe48f1a29.256p.jpg,Radeon RX 9070 XT,16 GB,1660 MHz,2970 MHz,Black,360 mm,5
PNY XLR8,549,https://cdna.pcpartpicker.com/static/forever/images/product/ef7af27c39972ef7493faaa0fcea548b.256p.jpg,GeForce GTX 1080 Ti,11 GB,1506 MHz,1620 MHz,Black,267 mm,5
PNY VCNRTXPRO4500B-PB,3669.07,https://cdna.pcpartpicker.com/static/forever/images/product/636c199af14c7349eb96b4c26edb19e9.256p.jpg,RTX PRO 4500 Blackwell,32 GB,1590 MHz,,Black / Gold,267 mm,0
Gigabyte GV-N1030D4-2GL,99.99,https://cdna.pcpartpicker.com/static/forever/images/product/741aa5c32ba589aec861f84908c62b02.256p.jpg,GeForce GT 1030 DDR4,2 GB,1151 MHz,1417 MHz,Black,150 mm,3
XFX FATBOY OC+,,https://cdna.pcpartpicker.com/static/forever/images/product/8f49c4d4ffe2d7cbba2b7c12e61177cf.256p.jpg,Radeon RX 590,8 GB,1580 MHz,1600 MHz,Black / Red,270 mm,4
EVGA FTW GAMING ACX 3.0,598,https://cdna.pcpartpicker.com/static/forever/images/product/67d4cdfe2e29c79407953dccad95d337.256p.jpg,GeForce GTX 1080,8 GB,1721 MHz,1860 MHz,Black / Silver,267 mm,4.5
Gainward Pegasus,194.99,https://cdna.pcpartpicker.com/static/forever/images/product/afa194be3fc83a62968755d7fbb2e1bf.256p.jpg,GeForce RTX 3050 6GB,6 GB,1040 MHz,1470 MHz,Black,162 mm,0
MSI VENTUS GP OC,348.25,GeForce RTX 2060 SUPER,GeForce RTX 2060 SUPER,8 GB,1470 MHz,1665 MHz,Silver / Black,232 mm,4
Asus KO Gaming OC,735,https://cdna.pcpartpicker.com/static/forever/images/product/e8b0b5776365885aa2710c796a50b67e.256p.jpg,GeForce RTX 3070,8 GB,1500 MHz,1845 MHz,Black / Silver,275 mm,4.5
AMD Midnight Black,,Radeon RX 6800 XT,Radeon RX 6800 XT,16 GB,1825 MHz,2250 MHz,Black,267 mm,5
ASRock Low Profile,154.94,https://cdna.pcpartpicker.com/static/forever/images/product/1e51781ff97c94f5cff4e4528cb6d9d8.256p.jpg,Arc A310,4 GB,2000 MHz,Black,Black,169 mm,0
Palit GameRock,3819.98,https://cdna.pcpartpicker.com/static/forever/images/product/b7d675c4c248837ac847b10c91142a0e.256p.jpg,GeForce RTX 5090,32 GB,2010 MHz,Black,Black,332 mm,5
PowerColor RX 7900 XT 20G,998.59,https://cdna.pcpartpicker.com/static/forever/images/product/be6de12e6481420bee8b47d739c755c8.256p.jpg,Radeon RX 7900 XT,20 GB,2000 MHz,2400 MHz,Black,276 mm,4.5
Asus ROG Astral,1799.69,https://cdna.pcpartpicker.com/static/forever/images/product/c98b4b9021ea1c386dcda1c01315902d.256p.jpg,GeForce RTX 5080,16 GB,2300 MHz,Black / Silver,Black / Silver,358 mm,5
MSI GeForce RTX 3060 Ventus 2X 12G,Out of stock£308.73Add,GeForce RTX 3060 12GB,GeForce RTX 3060 12GB,12 GB,1320 MHz,1807 MHz,Black,235 mm,4.5
AMD RADEON PRO WX 4100,145.13,https://cdna.pcpartpicker.com/static/forever/images/product/d56b4190450eca60a818f7561c734095.256p.jpg,Radeon Pro WX 4100,4 GB,925 MHz,975 MHz,Blue,168 mm,4.5
Zotac GAMING Trinity,1049.99,https://cdna.pcpartpicker.com/static/forever/images/product/52b10beb07c41f73ec4ae5239dac1c17.256p.jpg,GeForce RTX 4070 Ti SUPER,16 GB,2340 MHz,2610 MHz,Black,307 mm,4.5
Inno3D N506T2-16D7X-191073W,571.99,https://cdna.pcpartpicker.com/static/forever/images/product/e6d36e244d3525c813cd0dadad44cc38.256p.jpg,GeForce RTX 5060 Ti,16 GB,2407 MHz,2602 MHz,White / Silver,250 mm,0
Asus TUF Gaming EVO OC,420,https://cdna.pcpartpicker.com/static/forever/images/product/f04d090f920f91c0e81c5bb4ca7fa11f.256p.jpg,GeForce GTX 1660 Ti,6 GB,1500 MHz,1845 MHz,Black / Gray,206 mm,4
Inno3D Twin X2,558.94,https://cdna.pcpartpicker.com/static/forever/images/product/7f6bf69b9554279d552e4956613b1d4d.256p.jpg,GeForce RTX 5070,12 GB,2325 MHz,2512 MHz,Black / Silver,250 mm,5
Asus TUF-RX6800XT-O16G-GAMING,405.34,Radeon RX 6800 XT,Radeon RX 6800 XT,16 GB,1825 MHz,2340 MHz,Black,320 mm,5
Asus ROG STRIX OC EVA-02,,https://cdna.pcpartpicker.com/static/forever/images/product/bd7de150d50651c4f1dc277872a89e00.256p.jpg,GeForce RTX 4090,24 GB,2235 MHz,2640 MHz,Red / Black,358 mm,5
EVGA SC ULTRA GAMING,289.14,GeForce GTX 1660 SUPER,GeForce GTX 1660 SUPER,6 GB,1530 MHz,1830 MHz,Black,202 mm,4.5
MSI MECH 2X,831.04,https://cdna.pcpartpicker.com/static/forever/images/product/e19465e0f369b5cec4beadcd62302eac.256p.jpg,Radeon RX 6700 XT,12 GB,2321 MHz,Black / Silver,Black / Silver,247 mm,4.5
Asus Phoenix Fan OC,,https://cdna.pcpartpicker.com/static/forever/images/product/9c293935706d5805af647e8a80ca343d.256p.jpg,GeForce GT 1030,2 GB,1278 MHz,1531 MHz,Black / Blue,184 mm,4.5
MSI GeForce RTX 3090 TI GAMING X TRIO 24G,1989,https://cdna.pcpartpicker.com/static/forever/images/product/bba9d8be3e2c922dd5dc2c9f4f3bb405.256p.jpg,GeForce RTX 3090 Ti,24 GB,1560 MHz,1920 MHz,Black,325 mm,5
MSI LP E OC,179.99,https://cdna.pcpartpicker.com/static/forever/images/product/b121ebe2e3a971c8d48874d287753718.256p.jpg,GeForce RTX 3050 6GB,6 GB,1040 MHz,1492 MHz,Black,174 mm,0
PNY VCQP4000-PB,240,https://cdna.pcpartpicker.com/static/forever/images/product/5bbd7c000f84124a2faec10b893e4145.256p.jpg,Quadro P4000,8 GB,1227 MHz,1480 MHz,Black / Green,242 mm,5
EVGA XC3 ULTRA GAMING iCX3,619,GeForce RTX 3080 Ti,GeForce RTX 3080 Ti,12 GB,1365 MHz,1725 MHz,Black,300 mm,4
Zotac ZT-71310-10L,70.75,https://cdna.pcpartpicker.com/static/forever/images/product/7001ed5112f8b2a682faebd487a8b397.256p.jpg,GeForce GT 710,2 GB,954 MHz,Black / Orange,Black / Orange,157 mm,0
PNY VCNRTXPRO4000LP-PB,2039.97,https://cdna.pcpartpicker.com/static/forever/images/product/8d4b9382b6726c7a5cead53b0d579ec4.256p.jpg,RTX PRO 4000 Blackwell SFF,24 GB,405 MHz,,Black,167 mm,0
EVGA K|NGP|N HYBRID GAMING,1840,https://cdna.pcpartpicker.com/static/forever/images/product/1ac44ead78eeec1cd34f54fc64127b80.256p.jpg,GeForce RTX 3090,24 GB,1395 MHz,1920 MHz,Black,289 mm,4
PNY EPIC-X RGB Triple Fan Plus OC,1272.91,https://cdna.pcpartpicker.com/static/forever/images/product/ab79378fb8851945cc26e2887d5c8047.256p.jpg,GeForce RTX 5070 Ti,16 GB,2295 MHz,2640 MHz,Black,328 mm,0
MSI MECH 2X OC,927.31,https://cdna.pcpartpicker.com/static/forever/images/product/e8016f882d63f9ec9ee0bcb8a84c44a7.256p.jpg,Radeon RX 6700 XT,12 GB,2321 MHz,Black / Silver,Black / Silver,247 mm,4.5
EVGA Superclocked,199,https://cdna.pcpartpicker.com/static/forever/images/product/5e3f2e963d8b98a77a0744b18737a018.256p.jpg,GeForce GTX 980 Ti,6 GB,1102 MHz,1190 MHz,Black / Silver,267 mm,5
MAXSUN iCraft OC,,https://cdna.pcpartpicker.com/static/forever/images/product/569c9cac2e3d1ca95da4ad88864c1600.256p.jpg,GeForce RTX 5070 Ti,16 GB,2295 MHz,2482 MHz,Black,320 mm,0
EVGA FTW3 ULTRA GAMING LHR,799.99,GeForce RTX 3080 10GB LHR,GeForce RTX 3080 10GB LHR,10 GB,1440 MHz,1800 MHz,Black,300 mm,4.5
AMD 100-506001,127.36,https://cdna.pcpartpicker.com/static/forever/images/product/1e388f08bca6da16446f35c7cbd25d8e.256p.jpg,Radeon Pro WX 2100,2 GB,925 MHz,1219 MHz,Blue,145 mm,0
PowerColor AXRX 580 8GBD5-3DHDV2/OC,,https://cdna.pcpartpicker.com/static/forever/images/product/59a8276d03a94d95da6df3b10ebc829e.256p.jpg,Radeon RX 580,8 GB,1257 MHz,1350 MHz,Black,255 mm,4
Asus ROG Astral LC,,https://cdna.pcpartpicker.com/static/forever/images/product/adc50b2db9f548ed8e1fefbdbdc80709.256p.jpg,GeForce RTX 5090,32 GB,2010 MHz,Black / Silver,Black / Silver,288 mm,0
PNY Dual Fan,385.47,https://cdna.pcpartpicker.com/static/forever/images/product/3d086ea2ea25e57886cd68c49337b0fb.256p.jpg,GeForce RTX 5060 Ti,8 GB,2407 MHz,2572 MHz,Black,245 mm,0
XFX Quicksilver OC,595.47,https://cdna.pcpartpicker.com/static/forever/images/product/1b758ad8441cf863b93f663ec358768f.256p.jpg,Radeon RX 9070,16 GB,1440 MHz,2700 MHz,Black,355 mm,5
MAXSUN iCraft,,https://cdna.pcpartpicker.com/static/forever/images/product/362d455741f6635f564f8a18544da5bd.256p.jpg,Arc B580,12 GB,2670 MHz,2850 MHz,White,315 mm,3
NVIDIA 900-5G147-2570-000,1970.99,https://cdna.pcpartpicker.com/static/forever/images/product/981885d556156f80e62ff31b57c07183.256p.jpg,RTX PRO 4000 Blackwell,24 GB,1230 MHz,,Black,241 mm,0
EVGA XC ULTRA GAMING,735,https://cdna.pcpartpicker.com/static/forever/images/product/457c504de3255a9d0a91522568c8d16c.256p.jpg,GeForce RTX 2070 SUPER,8 GB,1605 MHz,1800 MHz,Transparent,270 mm,4.5
MSI VENTUS 3X OC PLUS,1760.91,https://cdna.pcpartpicker.com/static/forever/images/product/afeb9821bbd98862e734a81fbee20865.256p.jpg,GeForce RTX 5080,16 GB,2300 MHz,Silver / Black,Silver / Black,303 mm,4.5
PNY XLR8 Gaming REVEL EPIC-X RGB,503.49,https://cdna.pcpartpicker.com/static/forever/images/product/79b987b0f4b58955c49d8c66256560de.256p.jpg,GeForce RTX 3060 12GB,12 GB,1320 MHz,Black / Silver,Black,170 mm,4
PNY VCQK2200-PB,274.43,https://cdna.pcpartpicker.com/static/forever/images/product/d1b0911c3060c6d7c3e60447ac4b98fd.256p.jpg,Quadro K2200,4 GB,1046 MHz,Black / Green,Black / Green,202 mm,0
MSI GAMING TRIO,4273.71,https://cdna.pcpartpicker.com/static/forever/images/product/399eae1daeaacdce9aae94f569032ce8.256p.jpg,GeForce RTX 4090,24 GB,2235 MHz,Black,Black,337 mm,5
MSI INSPIRE 2X OC,383.22,https://cdna.pcpartpicker.com/static/forever/images/product/6469b78309edd42c67d369ec9ce138ad.256p.jpg,GeForce RTX 5060,8 GB,2280 MHz,2550 MHz,Gold / Black,204 mm,0
Sparkle SBP60W-24G,799.99,https://cdna.pcpartpicker.com/static/forever/images/product/598d52060d620152e5c08fb27632ed9a.256p.jpg,Arc Pro B60,24 GB,2000 MHz,2400 MHz,Black,289 mm,0
Gigabyte AORUS,649,https://cdna.pcpartpicker.com/static/forever/images/product/d1392d2b48248c5d3b882751cf16fd55.256p.jpg,Radeon RX 5700 XT,8 GB,1770 MHz,2010 MHz,Black,290 mm,4.5
EVGA Gaming iCX,,https://cdna.pcpartpicker.com/static/forever/images/product/9f0a144768655270f103f3f371ab38f6.256p.jpg,GeForce GTX 1080 Ti,11 GB,1569 MHz,1683 MHz,Silver,300 mm,4.5
Gainward Ghost OC,359.99,https://cdna.pcpartpicker.com/static/forever/images/product/2fa8e32cdfa292eeda697bb0a1c14a59.256p.jpg,GeForce RTX 5060 Ti,8 GB,2410 MHz,2632 MHz,Black,262 mm,0
MSI RTX 3090 SUPRIM X 24G,1658,GeForce RTX 3090,GeForce RTX 3090,24 GB,1395 MHz,1875 MHz,Silver,336 mm,5
PNY VCG5070T16TFXPB1,864.98,https://cdna.pcpartpicker.com/static/forever/images/product/f21a05ddfa7f5a189c1e150cd7881535.256p.jpg,GeForce RTX 5070 Ti,16 GB,2295 MHz,2452 MHz,Black,300 mm,0
MSI Radeon RX 5700 XT GAMING,,https://cdna.pcpartpicker.com/static/forever/images/product/e5f971e991d1e1b045ea8b026f5672c0.256p.jpg,Radeon RX 5700 XT,8 GB,1630 MHz,1905 MHz,Silver / Black,297 mm,0
MSI GeForce RTX 2060 VENTUS GP 12G OC,,https://cdna.pcpartpicker.com/static/forever/images/product/f725034d795a2dc4c0717fa72675c110.256p.jpg,GeForce RTX 2060 12GB,12 GB,1470 MHz,1695 MHz,Gray / Black,231 mm,5
PNY VCNRTX2000ADAS-LLP,779.27,https://cdna.pcpartpicker.com/static/forever/images/product/f83151f5be3eccbe6d04b9699506a5f1.256p.jpg,RTX 2000E Ada Generation,16 GB,,Black,Black,168 mm,0
Asus GT1030-2G-BRK,74.99,https://cdna.pcpartpicker.com/static/forever/images/product/191b726dc4937b30cc56a4a63adef075.256p.jpg,GeForce GT 1030,2 GB,1266 MHz,1506 MHz,Black / Blue,169 mm,0
Asus DUAL V2,769.66,https://cdna.pcpartpicker.com/static/forever/images/product/1786f01df4546242a3a4022b0005ab6c.256p.jpg,Radeon RX 6600,8 GB,1626 MHz,2491 MHz,Black,243 mm,3.5
Asus ROG STRIX-GTX1060-6G-GAMING,,GeForce GTX 1060 6GB,GeForce GTX 1060 6GB,6 GB,1506 MHz,1708 MHz,Black,298 mm,4.5
Inno3D Twin X2 OC,599.99,https://cdna.pcpartpicker.com/static/forever/images/product/9e0cef2ba7a5b39f9493b4bfb5b39f1e.256p.jpg,GeForce RTX 5070,12 GB,2315 MHz,2542 MHz,White / Silver,250 mm,0
Asus Phoenix,299.99,https://cdna.pcpartpicker.com/static/forever/images/product/7b4b7437d57e580d290c9da764e8decf.256p.jpg,GeForce GTX 1050 Ti,4 GB,1290 MHz,1392 MHz,Black / White,192 mm,4
Asus STRIX,284.89,https://cdna.pcpartpicker.com/static/forever/images/product/bf5c1916509a8393378ae30fe5033f70.256p.jpg,GeForce GTX 970,4 GB,1114 MHz,1253 MHz,Black / Red,280 mm,4.5
Gigabyte GAMING OC PRO Rev 3.0,598.76,GeForce RTX 3060 Ti LHR,GeForce RTX 3060 Ti LHR,8 GB,1410 MHz,1770 MHz,Black,281 mm,5
Palit StormX,385.4,https://cdna.pcpartpicker.com/static/forever/images/product/019ccac74fa516f88298ca66fcb113b5.256p.jpg,GeForce RTX 3050 6GB,6 GB,1040 MHz,1470 MHz,Black,162 mm,0
MSI VANGUARD SOC,1023.52,https://cdna.pcpartpicker.com/static/forever/images/product/deeb59ff082254d93e75dff255844122.256p.jpg,GeForce RTX 5070,12 GB,2160 MHz,Black / Silver,Black,337 mm,4
MSI GTX 980Ti 6GD5,,https://cdna.pcpartpicker.com/static/forever/images/product/3ce2dbab2c6571aa8fbf7b57a84ae257.256p.jpg,GeForce GTX 980 Ti,6 GB,1000 MHz,1076 MHz,Black / Silver,282 mm,5
MSI SHADOW 2X,,https://cdna.pcpartpicker.com/static/forever/images/product/3440a993a41f7ee1b78ac1044924efb9.256p.jpg,GeForce RTX 5070,12 GB,2527 MHz,Black,Black,231 mm,0
Asus ROG STRIX GAMING,3600,https://cdna.pcpartpicker.com/static/forever/images/product/d382207dc105784b526978551f23a062.256p.jpg,GeForce RTX 5070 Ti,16 GB,2300 MHz,2482 MHz,Black / Silver,332 mm,0
MSI GeForce GTX 1060 3G OCV1,,https://cdna.pcpartpicker.com/static/forever/images/product/2ca06f70b3007735b17d006168f87be8.256p.jpg,GeForce GTX 1060 3GB,3 GB,1544 MHz,1759 MHz,Black / White,188 mm,5
Asus ROG Astral Dhahab CORE OC,3984.07,GeForce RTX 5080,GeForce RTX 5080,16 GB,2300 MHz,2790 MHz,Gold / Blue,358 mm,5
MSI Radeon RX 5700 8G,,https://cdna.pcpartpicker.com/static/forever/images/product/b9d882c0c2606f92be3839454409f9b6.256p.jpg,Radeon RX 5700,8 GB,1465 MHz,1725 MHz,Silver,270 mm,4.5
Zotac MINI,414.75,https://cdna.pcpartpicker.com/static/forever/images/product/0a04e397331897b8997aca6c04d8b968.256p.jpg,GeForce GTX 1070,8 GB,1518 MHz,1708 MHz,Black / Silver,210 mm,4.5
AMD FirePro W9100,549.96,https://cdna.pcpartpicker.com/static/forever/images/product/da995c1ef74a5cf13eb42c7ea27f2965.256p.jpg,FirePro W9100,16 GB,930 MHz,Black / Red,Black / Red,275 mm,0
EVGA 02G-P4-2963-KR,,GeForce GTX 960,GeForce GTX 960,2 GB,1127 MHz,1178 MHz,Black,257 mm,4.5
Asus ROG Matrix Platinum,,https://cdna.pcpartpicker.com/static/forever/images/product/3bb3797143155f95307420a9ca1cf6de.256p.jpg,GeForce RTX 4090,24 GB,2670 MHz,2700 MHz,Black / Silver,286 mm,4.5
MSI EXPERT,1989,GeForce RTX 4080 SUPER,GeForce RTX 4080 SUPER,16 GB,2210 MHz,2625 MHz,Copper / Black,312 mm,5
Asus ROG STRIX WHITE OC,2501.96,https://cdna.pcpartpicker.com/static/forever/images/product/bb0159271ccac8d7db9357c0a6c34f76.256p.jpg,GeForce RTX 3090,24 GB,1395 MHz,1890 MHz,White / Black,318 mm,4.5
PNY VCG16606SSFPPB,259,GeForce GTX 1660 SUPER,GeForce GTX 1660 SUPER,6 GB,1530 MHz,1785 MHz,Black,168 mm,4.5
PNY VCQP1000-PB,180,https://cdna.pcpartpicker.com/static/forever/images/product/d1fa5d2f54a52c839310898b193d16a5.256p.jpg,Quadro P1000,4 GB,1354 MHz,1455 MHz,Black,145 mm,0
Zotac ZT-71115-20L,70.47,https://cdna.pcpartpicker.com/static/forever/images/product/c98e3679beb14f7f113a1a5bbbb59db4.256p.jpg,GeForce GT 730,4 GB,902 MHz,Black / Gold,Black / Gold,,4
AMD 100-438378,,Radeon RX 6800,Radeon RX 6800,16 GB,1700 MHz,2105 MHz,Black / Silver,267 mm,4.5
NVIDIA 900-5G195-2250-000,925.99,https://cdna.pcpartpicker.com/static/forever/images/product/626b58d18365231cde5129ed09c876d7.256p.jpg,RTX PRO 2000 Blackwell,16 GB,982 MHz,,Black,167 mm,0
MSI RTX 5060 Ti 16G INSPIRE 2X OC,662.94,https://cdna.pcpartpicker.com/static/forever/images/product/e2e2a2dd9ef3bbf94340146f89ec3bd8.256p.jpg,GeForce RTX 5060 Ti,16 GB,2410 MHz,2632 MHz,Gold / Black,204 mm,0
MSI VENTUS,735,GeForce RTX 2080,GeForce RTX 2080,8 GB,1515 MHz,1710 MHz,Silver / Black,268 mm,5
PowerColor Red Devil Limited Edition OC,1050,https://cdna.pcpartpicker.com/static/forever/images/product/0c8be8b47d048120323bec5b2410c0c0.256p.jpg,Radeon RX 9070 XT,16 GB,2460 MHz,3060 MHz,Black,340 mm,0
Gigabyte AORUS INFINITY,4803.94,https://cdna.pcpartpicker.com/static/forever/images/product/164d544f64fddc649d0aca6e7c85000f.256p.jpg,GeForce RTX 5090,32 GB,2010 MHz,2730 MHz,Black,330 mm,0
NVIDIA 900-5G172-2580-000,399.95,https://cdna.pcpartpicker.com/static/forever/images/product/04aea34a8d9428b579b6ea9c7a02bb0b.256p.jpg,RTX A1000,8 GB,727 MHz,1462 MHz,Black,163 mm,0
Asus R5230-SL-1GD3-L,,https://cdna.pcpartpicker.com/static/forever/images/product/c0fa295b363f00f5e676875ea0bc698b.256p.jpg,Radeon R5 230,1 GB,625 MHz,Black / Red,Black / Red,168 mm,5
PNY VCNRTX4000ADALP-PB,1756.73,https://cdna.pcpartpicker.com/static/forever/images/product/dee76cceea9bf10b117b73d56f4cd696.256p.jpg,RTX 4000 SFF Ada Generation,20 GB,1290 MHz,1565 MHz,Black,168 mm,0
Gigabyte OC Rev 2.0,309,https://cdna.pcpartpicker.com/static/forever/images/product/166fb936c78df4fe090aa4f560c5e424.256p.jpg,GeForce RTX 2060,6 GB,1365 MHz,1755 MHz,Black / Gray,226 mm,0
Asus GT730-4H-SL-2GD5,79.99,https://cdna.pcpartpicker.com/static/forever/images/product/a605b2d1f44613c11f13cf28a1b0bc03.256p.jpg,GeForce GT 730,2 GB,902 MHz,927 MHz,Blue,148 mm,0
ASRock Challenger Pro OC,998.18,https://cdna.pcpartpicker.com/static/forever/images/product/75b0307e0fec7cbbcbe0d3aeabe4db49.256p.jpg,Radeon RX 6750 XT,12 GB,2150 MHz,2618 MHz,Black,303 mm,4.5
Gigabyte GV-R455HM-512I,,Radeon HD 4550,Radeon HD 4550,0.125 GB,600 MHz,Black / Blue,Black / Blue,,3
Asus ROG STRIX WHITE OC V2,,https://cdna.pcpartpicker.com/static/forever/images/product/571db55a22fe134a43422fa8835ff75a.256p.jpg,GeForce RTX 3080 10GB LHR,10 GB,1440 MHz,1935 MHz,White,318 mm,4.5
MSI VENTUS 3X PLUS OC,788.18,https://cdna.pcpartpicker.com/static/forever/images/product/b4c1da032bd8b99e3c828a9f2726b264.256p.jpg,GeForce RTX 3080 10GB LHR,10 GB,1440 MHz,1740 MHz,Black,305 mm,5
MSI D6 VENTUS XS OC,348.88,GeForce GTX 1650 G6,GeForce GTX 1650 G6,4 GB,1410 MHz,1620 MHz,Black / Silver,178 mm,5
AMD 100-506095,253.9,https://cdna.pcpartpicker.com/static/forever/images/product/306fe6c8b901e1962655d875da19e381.256p.jpg,Radeon Pro W5500,8 GB,1354 MHz,1900 MHz,Blue / White,241 mm,4
PNY VCNRTXPRO5000B72-PB,,https://cdna.pcpartpicker.com/static/forever/images/product/904fd3c8de4d833f81783eacded6008a.256p.jpg,RTX PRO 5000 Blackwell,72 GB,1740 MHz,,Black / Gold,267 mm,0
PNY VCNRTX4500ADA-PB,2514.76,https://cdna.pcpartpicker.com/static/forever/images/product/24a98f6af62ac9967741a2c629e2f34e.256p.jpg,RTX 4500 Ada Generation,24 GB,2070 MHz,2580 MHz,Black / Gold,245 mm,0
Asus STRIX GAMING Advanced,944.61,https://cdna.pcpartpicker.com/static/forever/images/product/536b1e61c8cbe8916dfcf4621ca809f9.256p.jpg,GeForce RTX 2070 SUPER,8 GB,1635 MHz,1830 MHz,Black,300 mm,4.5
MSI EXPERT OC,1349.21,https://cdna.pcpartpicker.com/static/forever/images/product/f4f9edd36a43acdbca322e7f221e72c8.256p.jpg,GeForce RTX 5070 Ti,16 GB,2300 MHz,2588 MHz,Black / Silver,319 mm,0
MSI GAMING Z,916.69,https://cdna.pcpartpicker.com/static/forever/images/product/ac7ffb3588edfd32890386010563b7b2.256p.jpg,GeForce RTX 2060,6 GB,1365 MHz,1830 MHz,Black / Gray,247 mm,4.5
MSI GeForce RTX 3070 SUPRIM X 8G,,https://cdna.pcpartpicker.com/static/forever/images/product/e6536838f02817f32e516335926c7497.256p.jpg,GeForce RTX 3070,8 GB,1500 MHz,1920 MHz,Black / Silver,335 mm,4.5
EVGA ACX 2.0,359,https://cdna.pcpartpicker.com/static/forever/images/product/b3d455cd2b85653ee4a05f2179234a7f.256p.jpg,GeForce GTX 970,4 GB,1050 MHz,1178 MHz,Black / Blue,241 mm,4.5
Gigabyte GAMING OC 3X,795,GeForce RTX 2070 SUPER,GeForce RTX 2070 SUPER,8 GB,1605 MHz,1815 MHz,Black,286 mm,4.5
PNY VCQP400-PB,89,https://cdna.pcpartpicker.com/static/forever/images/product/db68c7b5c0e81d6ad0dace7ba174d109.256p.jpg,Quadro P400,2 GB,1070 MHz,1170 MHz,Black,145 mm,4
PNY VCGGTX580XPB,,GeForce GTX 580,GeForce GTX 580,1.5 GB,772 MHz,Black / Gold,Black / Gold,266 mm,0
PowerColor Fighter OC,110.49,https://cdna.pcpartpicker.com/static/forever/images/product/9230d7f912edcfa255a3f53bf26824d1.256p.jpg,Radeon RX 7900 GRE,16 GB,1270 MHz,2293 MHz,Black,303 mm,5
PNY VCQM4000-PB,224.99,https://cdna.pcpartpicker.com/static/forever/images/product/555e2fe39479910d9f9c3b188b679853.256p.jpg,Quadro M4000,8 GB,,Black / Green,Black / Green,241 mm,5
Gigabyte TURBO,1550,https://cdna.pcpartpicker.com/static/forever/images/product/d9913adb0d8c22e83c5954bc8631ec75.256p.jpg,GeForce RTX 3090,24 GB,1395 MHz,1695 MHz,Black,267 mm,4
MSI Radeon RX 5500 XT GAMING X 8G,,https://cdna.pcpartpicker.com/static/forever/images/product/e53018b22abb9ac3394c4dc0cff7b07a.256p.jpg,Radeon RX 5500 XT,8 GB,1685 MHz,1845 MHz,Black / Red,247 mm,4
Zotac AMP Extreme Holo,1999.99,https://cdna.pcpartpicker.com/static/forever/images/product/293f0a08d502d6c851a9bf8dab23b8ef.256p.jpg,GeForce RTX 3070 Ti,8 GB,1575 MHz,1890 MHz,Gray / Black,356 mm,0
PNY VCG50608DFXPB1,299.99,https://cdna.pcpartpicker.com/static/forever/images/product/c7753c309f2fb35c1f6a0d2bde6f8a8e.256p.jpg,GeForce RTX 5060,8 GB,2280 MHz,2497 MHz,Black,200 mm,0
Asus GTXTITANX-12GD5,1359.98,https://cdna.pcpartpicker.com/static/forever/images/product/b5ef3ab3d379556a5ba7359f15083259.256p.jpg,GeForce GTX Titan X,12 GB,1075 MHz,1000 MHz,Black / Silver,267 mm,5
Sapphire NITRO+ SE,1199,https://cdna.pcpartpicker.com/static/forever/images/product/94e52722891f5dfb9697b8c5a4d3d3c0.256p.jpg,Radeon RX 590,8 GB,1469 MHz,1560 MHz,Blue / White,260 mm,4.5
Sapphire 21323-01-20G,,Radeon RX 7900 XT,Radeon RX 7900 XT,20 GB,2000 MHz,2400 MHz,Black,276 mm,5
AMD ‎100-438373,1099.99,Radeon RX 6900 XT,Radeon RX 6900 XT,16 GB,1825 MHz,2250 MHz,Black / Silver,267 mm,4.5
NVIDIA 9001G4012500000,389,GeForce GTX 980,GeForce GTX 980,4 GB,1126 MHz,1216 MHz,Black / Silver,267 mm,4.5
PNY XLR8 Gaming VERTO EPIC-X RGB,1305.68,GeForce RTX 4070,GeForce RTX 4070,12 GB,1920 MHz,2475 MHz,Black,305 mm,4.5
Asus DUAL MINI OC,,https://cdna.pcpartpicker.com/static/forever/images/product/f06225483029df538a9c4e956b0723a9.256p.jpg,GeForce RTX 3060 Ti,8 GB,1410 MHz,1710 MHz,Black,200 mm,5
Zotac GAMING Twin Edge OC White Edition,659,https://cdna.pcpartpicker.com/static/forever/images/product/0abc7c75589767934cf471a391bf3b35.256p.jpg,GeForce RTX 3070 LHR,8 GB,1500 MHz,1755 MHz,White,232 mm,4.5
PNY VCNRTX4000ADA-PB,1290.73,https://cdna.pcpartpicker.com/static/forever/images/product/e99ebfb000558d16f110fed18ae6bf3b.256p.jpg,RTX 4000 Ada Generation,20 GB,1500 MHz,2175 MHz,Black,241 mm,0
