name,price,image,type,wattage,efficiency,modular,color,rating
SeaSonic PRIME TX-1600 Noctua Edition,654,ATX,ATX,1600 W,80+ Titanium,Full,Brown / Black,5
Corsair CX (2023),48.9,https://cdna.pcpartpicker.com/static/forever/images/product/c058ff0ffb542302d5b1c75cf8658ecd.256p.jpg,ATX,650 W,80+ Bronze,No,Black,4.5
Asus ROG STRIX 1000P GAMING,169.99,https://cdna.pcpartpicker.com/static/forever/images/product/00740342f05d6f0c6cb281dae99939b7.256p.jpg,ATX,1000 W,80+ Platinum,Full,White,5
MSI MPG A850G PCIE5,89.99,https://cdna.pcpartpicker.com/static/forever/images/product/5bff625e69da1c7069c73f477b42ca41.256p.jpg,ATX,850 W,80+ Gold,Full,Black,4.5
be quiet! Power Zone 2,141.71,https://cdna.pcpartpicker.com/static/forever/images/product/838e53fd8b582b17bbac83fab611f118.256p.jpg,ATX,1000 W,80+ Platinum,Full,Black,5
SAMA GT,Add,https://cdna.pcpartpicker.com/static/forever/images/product/e81737b03f15f9d68443d480d0e4e2ff.256p.jpg,ATX,650 W,80+ Gold,Full,Black,4
Apevia CAPTAIN,Add,ATX,ATX,550 W,false,No,Black,0
ASRock PRO-750G,Add,https://cdna.pcpartpicker.com/static/forever/images/product/92cde86bd2c8f3dda107e2543b58e9d0.256p.jpg,ATX,750 W,80+ Gold,No,Black,5
Corsair RM850x (2021),Out of stock£184.15Add,https://cdna.pcpartpicker.com/static/forever/images/product/4f19c6453ce4ebe67091e6d9735f3a19.256p.jpg,ATX,850 W,80+ Gold,Full,Black,4.5
be quiet! SFX L Power,£99.93Add,https://cdna.pcpartpicker.com/static/forever/images/product/933b1005478f139d7caf504efce06dad.256p.jpg,SFX,600 W,80+ Gold,Full,Black,5
Asus TUF Gaming 1000G,119.99,https://cdna.pcpartpicker.com/static/forever/images/product/06eac4dd425e5a1d1e70735068c47072.256p.jpg,ATX,1000 W,80+ Gold,Full,Black,5
Thermaltake Toughpower GT,98.17,https://cdna.pcpartpicker.com/static/forever/images/product/35f7ab309f09ad2adf51a3971ec77948.256p.jpg,ATX,850 W,80+ Gold,Full,Black,5
Corsair HX1200i (2025),223.39,ATX,ATX,1200 W,80+ Platinum,Full,Black,4
Asus TUF Gaming 850G,109.94,https://cdna.pcpartpicker.com/static/forever/images/product/4f699d87a43e3c59ea964a1bf230301c.256p.jpg,ATX,850 W,80+ Gold,Full,Black,4.5
MSI MEG Ai1600T PCIE5,549.95,https://cdna.pcpartpicker.com/static/forever/images/product/a11eb27dffbe9026f93a731822e5356b.256p.jpg,ATX,1600 W,80+ Titanium,Full,Black / Gold,4.5
Rosewill VNW550,Add,https://cdna.pcpartpicker.com/static/forever/images/product/b5f3b2abc354b90be282279d9f17fb0b.256p.jpg,ATX,550 W,80+,No,Black,0
be quiet! Dark Power 13,273.1,https://cdna.pcpartpicker.com/static/forever/images/product/7fa3368565fa6e4e0196112cf171e1b5.256p.jpg,ATX,1000 W,80+ Titanium,Full,Black,4.5
Lian Li SX1200P,144.46,https://cdna.pcpartpicker.com/static/forever/images/product/9980aeba3b2688cef27bdbdf8d7dfc8a.256p.jpg,ATX,1200 W,80+ Platinum,Full,White,0
Corsair RM750e (2023),Out of stock£109.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/336c7955df0312d04655dd3a13973c95.256p.jpg,ATX,750 W,80+ Gold,Full,Black,4.5
Asus ROG LOKI,129.38,https://cdna.pcpartpicker.com/static/forever/images/product/0e997c3c3c311e827733420a531bf5c9.256p.jpg,SFX,750 W,80+ Platinum,Full,Black / Silver,4.5
Corsair RM750x (2024),92.15,https://cdna.pcpartpicker.com/static/forever/images/product/e78e01bbb56c5608fe37fc45d2fcb2b5.256p.jpg,ATX,750 W,Full,Full,Black,4.5
Rosewill VSB,Add,https://cdna.pcpartpicker.com/static/forever/images/product/e12bec22ce3376a2356f504366ad1d8b.256p.jpg,ATX,650 W,80+ Bronze,Semi,Black,3.5
ASRock Steel Legend SL-850G,112.96,https://cdna.pcpartpicker.com/static/forever/images/product/32248606cf6d469a056d08373860c535.256p.jpg,ATX,850 W,80+ Gold,Full,Black,5
ASRock Steel Legend SL-650G,Add,https://cdna.pcpartpicker.com/static/forever/images/product/0b039fd42540b5c79cd7ffa16c6cc62d.256p.jpg,ATX,650 W,80+ Gold,Full,Black,5
ASRock PRO-850G,Add,https://cdna.pcpartpicker.com/static/forever/images/product/0e51258356f39bb394a673566948bcac.256p.jpg,ATX,850 W,80+ Gold,No,Black,0
