name,overclockers_co_uk_price,box_co_uk_price,ebuyer_com_price,amazon_co_uk_price,cclonline_com_price,novatech_co_uk_price,awd_it_co_uk_price,aria_co_uk_price,lambda_tek_com_price,morecomputers_com_price,watercoolinguk_co_uk_price,price_sources,average_price,image
Intel Core Ultra 7 265K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_ultra_7_265k.jpg
AMD Ryzen 7 5700X3D,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_5700x3d.jpg
Intel Core i5-14400F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_14400f.jpg
AMD Ryzen 7 5800XT,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_5800xt.jpg
Intel Core Ultra 9 285K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_ultra_9_285k.jpg
Intel Core i7-12700K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_12700k.jpg
AMD Ryzen 5 5600G,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_5600g.png
Intel Core i5-13400F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_13400f.jpg
Intel Core i7-12700KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_12700kf.jpg
AMD Ryzen 9 5900X,139.99,,,,,,,,,,,1,139.99,thumbnails/master-prices_amd_ryzen_9_5900x.jpg
AMD Ryzen 7 3700X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_3700x.jpg
Intel Core i5-12600KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_12600kf.jpg
AMD Threadripper 3990X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_threadripper_3990x.jpg
Intel Core i5-12600K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_12600k.jpg
AMD Ryzen 7 5700G,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_5700g.jpg
AMD Ryzen 9 5950X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_9_5950x.jpg
AMD Ryzen 7 5800X3D,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_5800x3d.jpg
Intel Core i3-12100F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i3_12100f.jpg
Intel Core i5-14600KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_14600kf.jpg
AMD Ryzen 5 4500,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_4500.jpg
AMD Ryzen 7 5700,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_5700.jpg
Intel Core i7-14700KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_14700kf.jpg
Intel Core i9-12900K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i9_12900k.jpg
Intel Core Ultra 7 265KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_ultra_7_265kf.jpg
Intel Core i9-14900KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i9_14900kf.jpg
Intel Core i7-13700K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_13700k.jpg
Intel Core i5-10400F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_10400f.jpg
AMD Ryzen 5 2600,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_2600.jpg
Intel Core i9-14900KS,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i9_14900ks.jpg
AMD Ryzen 5 5600GT,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_5600gt.jpg
Intel Core i5-13600KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_13600kf.webp
AMD Ryzen 9 5900XT,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_9_5900xt.jpg
Intel Core i7-14700F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_14700f.jpg
Intel Core i7-9700K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_9700k.jpg
Intel Core i7-8700K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_8700k.jpg
AMD Ryzen 3 3200G,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_3_3200g.jpg
AMD Ryzen 5 3400G,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_3400g.jpg
Intel Core i9-13900K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i9_13900k.jpg
Intel Core i5-12400,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_12400.jpg
AMD Ryzen 5 3600X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_3600x.jpg
Intel Core i9-9900K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i9_9900k.jpg
AMD Ryzen 7 2700X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_2700x.jpg
Intel Core i3-14100F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i3_14100f.jpg
Intel Core i9-12900KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i9_12900kf.jpg
AMD Ryzen 5 5600XT,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_5600xt.jpg
Intel Core i5-13600K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_13600k.jpg
Intel Core i7-7700K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_7700k.jpg
AMD Ryzen 3 4100,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_3_4100.jpg
Intel Core Ultra 5 245K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_ultra_5_245k.jpg
AMD Ryzen 3 3100,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_3_3100.jpg
Intel Core i5-9400F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_9400f.jpg
Intel Core i7-13700KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_13700kf.jpg
Intel Core i7-10700K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_10700k.jpg
Intel Core i5-14400,139.99,,,,,,,,,,,1,139.99,thumbnails/master-prices_intel_core_i5_14400.jpg
AMD Ryzen 9 3900X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_9_3900x.jpg
Intel Core i7-6700K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_6700k.jpg
Intel Core i5-11400F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_11400f.jpg
AMD Threadripper 3970X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_threadripper_3970x.jpg
AMD Ryzen 7 3800X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_3800x.jpg
AMD Ryzen 5 2600X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_2600x.jpg
Intel Core i7-12700F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_12700f.jpg
Intel Core i5-9600K,139.99,,,,,,,,,,,1,139.99,thumbnails/master-prices_intel_core_i5_9600k.jpg
Intel Core Ultra 5 225F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_ultra_5_225f.jpg
Intel Core i7-11700K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_11700k.jpg
Intel Core i3-12100,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i3_12100.jpg
Intel Core i5-10400,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_10400.jpg
Intel Core i7-8700,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_8700.jpg
Intel Core i3-14100,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i3_14100.jpg
Intel Core i3-13100F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i3_13100f.jpg
Intel Pentium E5700,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_pentium_e5700.jpg
Intel Core i9-10900K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i9_10900k.jpg
Intel Core i5-13400,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_13400.jpg
Intel Core i7-7700,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_7700.jpg
Intel Core i7-13700F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_13700f.jpg
Intel Core i5-6500,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_6500.jpg
AMD Ryzen 5 5500GT,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_5500gt.jpg
Intel Core i9-13900KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i9_13900kf.jpg
AMD Ryzen 5 4600G,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_4600g.jpg
Intel Core Ultra 5 235,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_ultra_5_235.webp
Intel Core i7-4790K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_4790k.jpg
Intel Core i5-8400,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_8400.jpg
Intel Core i7-6700,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_6700.jpg
