name,price,image,speed,ram_type,modules,capacity,first_word_latency,cas_latency,price_gb,color,rating
Thermaltake H-ONE 8 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/72a677c0b1904236446d7f2fadc7fe64.256p.jpg,DDR4-2666,DDR4,1 x 8GB,8GB,14.254 ns,19,,Black / Silver,0
OLOy OWL 16 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/69790ebe47c0084e419e706132f5b4e5.256p.jpg,DDR4-3000,DDR4,2 x 8GB,16GB,10.667 ns,16,,Orange,0
Thermaltake TOUGHRAM RGB 32 GB,259.99,https://cdna.pcpartpicker.com/static/forever/images/product/feeb56ceec3f730f207dad8e71aec04e.256p.jpg,DDR4-3600,DDR4,2 x 16GB,32GB,10 ns,18,£8.125,Black / Silver,3
Silicon Power SP016GXLZU320BDAAD 16 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/61e2ce2e2c002df6dbb5b5a89f8b7266.256p.jpg,DDR4-3200,DDR4,2 x 8GB,16GB,10 ns,16,,Black / Silver,4
Silicon Power SP004GBLFU266X02 4 GB,43.12,,DDR4-2666,DDR4,1 x 4GB,4GB,14.254 ns,19,£10.780,,0
Timetec PINNACLE Konduit 64 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/4286b9627862684b4b2d30d8c2b2b8dc.256p.jpg,DDR4-3600,DDR4,2 x 32GB,64GB,10 ns,18,,White,0
Crucial CT16G48C40D8U5 16 GB,,,DDR5-4800,DDR5,1 x 16GB,16GB,16.667 ns,40,,Black,0
Crucial CT2K4G4DFS6266 8 GB,,,DDR4-2666,DDR4,2 x 4GB,8GB,14.254 ns,19,,Green,0
GeIL ORION V RGB 16 GB,,,DDR5-5200,DDR5,1 x 16GB,16GB,13.077 ns,34,,Black,0
OLOy Blade 32 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/5f8e0161bf46df08cb369476cf618937.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,10.667 ns,32,,Black,0
Mushkin Redline ST 32 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/fb649a7689224b933bda487efdc42afa.256p.jpg,DDR5-6400,DDR5,2 x 16GB,32GB,9.375 ns,30,,Black,0
Patriot Viper Elite 5 RGB TUF GAMING ALLIANCE 48 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/7b8c4af9efaefd074267f472fa62611d.256p.jpg,DDR5-6600,DDR5,2 x 24GB,48GB,10.303 ns,34,,White,0
V-Color TE548G60D830SKK 96 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/33b8280a31dafa9875de694f4db37adc.256p.jpg,DDR5-6000,DDR5,2 x 48GB,96GB,10 ns,30,,White,0
PNY MN32GSD43200-TB 32 GB,205.95,https://cdna.pcpartpicker.com/static/forever/images/product/ee36b7a1e365e432d911e19fef23e254.256p.jpg,DDR4-3200,DDR4,1 x 32GB,32GB,13.75 ns,22,£6.436,Black,0
