name,price,image,configuration,total_wattage,frequency_response,color,rating
Razer Nommo V2 Pro,379,https://cdna.pcpartpicker.com/static/forever/images/product/c0035e093e4e3c4bf3c41dc2c308ff1c.256p.jpg,2.1,,40 Hz - 20 kHz,Black,0
Yamaha HS8,248,https://cdna.pcpartpicker.com/static/forever/images/product/9a6241e2a10a2ad5a02986cee6df17a7.256p.jpg,2.0,120 W,38 Hz - 30 kHz,,5
Yamaha NS-SP1800,,https://cdna.pcpartpicker.com/static/forever/images/product/c49d3e4bdca7a4d9a04eebc7667cde89.256p.jpg,5.1,550 W,28 Hz - 50 kHz,,0
Edifier R1280DB-Brown,109.99,https://cdna.pcpartpicker.com/static/forever/images/product/3ef66b395e4756a53b894bb0cf1c3842.256p.jpg,2.0,42 W,55 Hz - 20 kHz,Brown / Black,4
Logitech S-150,,https://cdna.pcpartpicker.com/static/forever/images/product/9cf7ec696463bc053fc549705338c0cb.256p.jpg,2.0,1.2 W,90 Hz - 20 kHz,,3
Creative Labs Pebble X Plus,116.9,,2.1,15 W,45 Hz - 20 kHz,Black / Copper,0
Logitech Z533,,https://cdna.pcpartpicker.com/static/forever/images/product/962564ca11472d2ab2eec6a59a1c3257.256p.jpg,2.1,60 W,55 Hz - 20 kHz,,4.5
Creative Labs Stage Air V2,44.97,https://cdna.pcpartpicker.com/static/forever/images/product/7501b0c11b3286207e79e6bbdd22cc56.256p.jpg,2.0,10 W,80 Hz - 20 kHz,Black,5
Cyber Acoustics CA-3090,,https://cdna.pcpartpicker.com/static/forever/images/product/e2b77d5b4cfd102fa680830c3d32dd49.256p.jpg,2.1,10 W,160 Hz - 20 kHz,,4.5
Edifier S351DB,228.95,https://cdna.pcpartpicker.com/static/forever/images/product/291b405c855c90fe3ce433d91eeffbbe.256p.jpg,2.1,150 W,40 Hz - 20 kHz,Black,0
Audioengine A2+B,,https://cdna.pcpartpicker.com/static/forever/images/product/be35b220c294bdb21808f30bd6cdd55a.256p.jpg,2.0,60 W,65 Hz - 22 kHz,,5
Razer Nommo V2 X,109.99,https://cdna.pcpartpicker.com/static/forever/images/product/b8f35adc5a2ea8af454273be360d3471.256p.jpg,2.0,,75 Hz - 20 kHz,Black,0
Logitech Z323,,https://cdna.pcpartpicker.com/static/forever/images/product/9e63aa7d5a08f1144a161dbda92482dd.256p.jpg,2.1,30 W,55 Hz - 20 kHz,,4.5
Yamaha HS5,,,1.0,70 W,54 Hz - 30 kHz,,0
Bose Companion 2 Series III,,https://cdna.pcpartpicker.com/static/forever/images/product/70df7ebc95e71812189987cff42ab4e6.256p.jpg,2.0,,,,4.5
Edifier MR3,,https://cdna.pcpartpicker.com/static/forever/images/product/ace416e0803920c94fd0d519d0163759.256p.jpg,2.0,36 W,52 Hz - 40 kHz,White,0
Onkyo GX-30ARC,,https://cdna.pcpartpicker.com/static/forever/images/product/030d679d7f33a8def6b967be08130f40.256p.jpg,2.0,50 W,20 Hz - 20 kHz,Black,0
Logitech Z207 (White),,,2.0,0.01 W,,White,5
Edifier R980T,49.99,https://cdna.pcpartpicker.com/static/forever/images/product/e78aa7b2daf00a2257f164fcf916d598.256p.jpg,2.0,24 W,70 Hz - 20 kHz,Black,4.5
Audioengine A5+ White,,https://cdna.pcpartpicker.com/static/forever/images/product/cd6dffc1ab782add61c19545addfe06d.256p.jpg,2.0,150 W,50 Hz - 22 kHz,White,0
Creative Labs Pebble Nova,199.99,https://cdna.pcpartpicker.com/static/forever/images/product/a0a8646d1932a22c2785065fe72c20ea.256p.jpg,2.0,50 W,55 Hz - 20 kHz,White,0
AmazonBasics V216US,,,2.0,4.6 W,68 Hz - 20 kHz,Black,0
Logitech Z506,279.98,https://cdna.pcpartpicker.com/static/forever/images/product/ab83440cd62546724e32334252eb263c.256p.jpg,5.1,155 W,45 Hz - 20 kHz,,4.5
Razer NOMMO CHROMA,,,2.0,,20 Hz - 20 kHz,Black,4.5
Audioengine A5+ Bamboo,418,,2.0,150 W,50 Hz - 22 kHz,Brown / Black,5
IK Multimedia IP-ILOUD-MM-IN,,https://cdna.pcpartpicker.com/static/forever/images/product/94765d82545142f55b26557fd1aba759.256p.jpg,2.0,70 W,45 Hz - 22 kHz,Black,0
Edifier R1280DB-Black,,https://cdna.pcpartpicker.com/static/forever/images/product/a8078d4ee57562c7f1e36dcb133a3fc4.256p.jpg,2.0,42 W,55 Hz - 20 kHz,Black,5
Yamaha HS8 W,489.87,,1.0,120 W,38 Hz - 30 kHz,,5
SteelSeries Arena 3 US,,https://cdna.pcpartpicker.com/static/forever/images/product/7d272bd9d622c43c6b8f886e4597d373.256p.jpg,2.0,,50 Hz - 20 kHz,Black,5
Klipsch ProMedia Lumina,,https://cdna.pcpartpicker.com/static/forever/images/product/144656ba879cb13d2ef7ea9315db0731.256p.jpg,2.1,,40 Hz - 20 kHz,Black,0
Creative Labs Sound Blaster Katana V2X,250.64,,2.1,90 W,50 Hz - 20 kHz,Black,0
Edifier R33BT,53.99,https://cdna.pcpartpicker.com/static/forever/images/product/d84c58d929b1de81b7f02b57b7291a9b.256p.jpg,2.0,10 W,70 Hz - 20 kHz,Black,5
Razer NOMMO PRO,,,2.1,,35 Hz - 20 kHz,Black,4
Logitech Z200,,https://cdna.pcpartpicker.com/static/forever/images/product/044e21f178b0ad10f69fbc76b6ac013e.256p.jpg,2.0,10 W,20 Hz - 20 kHz,,4.5
KEF LSXBL,,,2.0,200 W,49 Hz - 47 kHz,Black,0
ADAM Audio D3V,,,2.0,240 W,45 Hz - 23.2 kHz,Black,5
Insignia NS-PCS219,,,2.0,,100 Hz - 20 kHz,Black,0
Cyber Acoustics CA-2014rb,,https://cdna.pcpartpicker.com/static/forever/images/product/7419f0c9e66eeb4a00d915f52f65663f.256p.jpg,2.0,4 W,85 Hz - 18 kHz,,2.5
Kanto YU2MB,219,https://cdna.pcpartpicker.com/static/forever/images/product/dd046a1003ee58c8550c367e2242e035.256p.jpg,2.0,50 W,80 Hz - 20 kHz,Black,5
JBL C2PS,314.37,https://cdna.pcpartpicker.com/static/forever/images/product/21532f3ca1370178395adec58bc62907.256p.jpg,2.0,70 W,80 Hz - 20 kHz,Black,0
NZXT Relay,,,2.0,80 W,70 Hz - 20 kHz,Black,5
Logitech Z-2300,,,2.1,200 W,,,5
Razer Nommo V2,238.94,https://cdna.pcpartpicker.com/static/forever/images/product/259c5871258d66f076590529c4e9f5c7.256p.jpg,2.1,,40 Hz - 20 kHz,Black,0
Creative Labs Pebble X,,,2.0,15 W,60 Hz - 20 kHz,Black / Copper,0
Kanto YU2MW,234.87,https://cdna.pcpartpicker.com/static/forever/images/product/b58ebd8158546f70ee1ac2076088c44a.256p.jpg,2.0,50 W,80 Hz - 20 kHz,White / Black,5
Edifier S880DB MKII,335.59,,2.0,88 W,50 Hz - 40 kHz,White,0
Logitech Z130,,,2.0,5 W,140 Hz - 18 kHz,,4
Razer Leviathan,,https://cdna.pcpartpicker.com/static/forever/images/product/1d97e880ddb8ce5e99226c9be6905c80.256p.jpg,5.1,60 W,180 Hz - 20 kHz,,4.5
PreSonus Eris 3.5 2nd Gen,,https://cdna.pcpartpicker.com/static/forever/images/product/273aecd7d61bad6de352ddf132283e18.256p.jpg,2.0,50 W,80 Hz - 20 kHz,Black / Blue,5
Harman Kardon SoundSticks III,,,2.1,40 W,44 Hz - 20 kHz,,4.5
Logitech Z333,,https://cdna.pcpartpicker.com/static/forever/images/product/6373496d8f1c9b35ad91666c061f7ecc.256p.jpg,2.1,40 W,55 Hz - 20 kHz,,4.5
Creative Labs GigaWorks T40 Series II,221.05,https://cdna.pcpartpicker.com/static/forever/images/product/a6536f7d524e9bdffdc31fe6226d7f6e.256p.jpg,2.0,32 W,50 Hz - 20 kHz,,4
Kanto ORA,278,,2.0,100 W,70 Hz - 22 kHz,White / Black,5
Kali Audio LP-UNF,423.62,,2.0,80 W,39 Hz - 25 kHz,Black,0
Audioengine HD3-BLK,320,https://cdna.pcpartpicker.com/static/forever/images/product/432a21cba7d6857a369cbf6384019784.256p.jpg,2.0,60 W,65 Hz - 22 kHz,Black,5
Creative Labs T100,,https://cdna.pcpartpicker.com/static/forever/images/product/6f8072ee19bd66d257dae399b086e7c7.256p.jpg,2.0,40 W,50 Hz - 20 kHz,Black,4
Trust Gemi,24.47,,2.0,12 W,20 Hz - 20 kHz,Black,0
Yamaha HS5 W,189,https://cdna.pcpartpicker.com/static/forever/images/product/bb30b09a829490cc46ee55a5df662c45.256p.jpg,1.0,70 W,54 Hz - 30 kHz,,0
Creative Labs Sound Blaster Katana SE,,,2.0,90 W,55 Hz - 20 kHz,Black,0
AmazonBasics V620,19.79,,2.0,2.4 W,80 Hz - 20 kHz,Silver,0
Micca PB42X,171.77,,2.0,30 W,60 Hz - 20 kHz,Black,0
Logitech Z213,,https://cdna.pcpartpicker.com/static/forever/images/product/b927d1d23c185d9064071f909452a075.256p.jpg,2.1,7 W,65 Hz - 20 kHz,,4
KEF LSXWH,,,2.0,200 W,49 Hz - 47 kHz,White / Black,0
Cyber Acoustics CA-3810,,,2.1,40 W,45 Hz - 20 kHz,Black,0
Cyber Acoustics CA-2016WB,,,2.0,3 W,260 Hz - 20 kHz,,3.5
Corsair Gaming Audio Series SP2500,,,2.1,232 W,35 Hz - 20 kHz,,4.5
ADAM Audio T8V,,,1.0,180 W,33 Hz - 25 kHz,Black,0
Trust Asto Soundbar,25.99,https://cdna.pcpartpicker.com/static/forever/images/product/090d56989353d5e28be62b587b98c8cc.256p.jpg,2.0,24 W,20 Hz - 20 kHz,,5
Audioengine A2 (Black),,https://cdna.pcpartpicker.com/static/forever/images/product/86764ffc1fac88a562744da98d5a22f0.med.256p.jpg,2.0,60 W,65 Hz - 22 kHz,,5
JBL LSR305,,,2.0,82 W,43 Hz - 24 kHz,,4.5
Creative Labs Sound BlasterX Katana,,https://cdna.pcpartpicker.com/static/forever/images/product/df873d7044f4807a1eaa411b1111c02d.256p.jpg,2.1,,,,4
Edifier S760D,,https://cdna.pcpartpicker.com/static/forever/images/product/8296b76d92c1460988273320d9e492bd.256p.jpg,5.1,540 W,42 Hz - 20 kHz,Black / Silver,0
