web_scraper_order,web_scraper_start_url,pagination,name,protocol,interface,rating,price,color,name3,price2,interface2,color2,protocol2,name2,name4
"1784222835-42","https://uk.pcpartpicker.com/products/wireless-network-card/","","Intel AX210 w/vPro","ProtocolWi-Fi 6E","InterfaceM.2 PCIe","(0)","£90.34Add","ColorGreen","(0)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/48b9cdc6e56d482ecf65f0e21a14c756.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/48b9cdc6e56d482ecf65f0e21a14c756.256p.jpg"
"1784222835-43","https://uk.pcpartpicker.com/products/wireless-network-card/","","Gigabyte GC-WB1733D-I","ProtocolWi-Fi 5","InterfacePCIe x1","(6)","£23.39Add","ColorBlack","(6)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/49b962a53313e319c00791743ee095c3.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/49b962a53313e319c00791743ee095c3.256p.jpg"
"1784222835-44","https://uk.pcpartpicker.com/products/wireless-network-card/","","Intel AX200","ProtocolWi-Fi 6","InterfaceM.2","(18)","Add","Color","(18)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/ada72c6f4e2035d6561cf57a8da864da.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/ada72c6f4e2035d6561cf57a8da864da.256p.jpg"
"1784222835-45","https://uk.pcpartpicker.com/products/wireless-network-card/","","Netgear Nighthawk AXE3000","ProtocolWi-Fi 6E","InterfaceUSB Type-A 3.2 Gen 1","(1)","£106.58Add","ColorBlack","(1)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/6ffbb3c8e497058607b1edcbb5ca3696.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/6ffbb3c8e497058607b1edcbb5ca3696.256p.jpg"
"1784222835-46","https://uk.pcpartpicker.com/products/wireless-network-card/","","MSI AX1800","ProtocolWi-Fi 6","InterfaceUSB Type-A 3.2 Gen 1","(0)","Add","ColorBlack","(0)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/3804e470886c82919f41110db6b844d9.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/3804e470886c82919f41110db6b844d9.256p.jpg"
"1784222835-47","https://uk.pcpartpicker.com/products/wireless-network-card/","","Asus USB-AC53 NANO","ProtocolWi-Fi 5","InterfaceUSB Type-A 2.0","(2)","£19.99Add","Color","(2)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/95690b6a70097b317bed18363488f729.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/95690b6a70097b317bed18363488f729.256p.jpg"
"1784222835-48","https://uk.pcpartpicker.com/products/wireless-network-card/","","TP-Link Archer T6E AC1300","ProtocolWi-Fi 5","InterfacePCIe x1","(51)","Add","Color","(51)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/a1175f03aa1364f265d58329836e436d.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/a1175f03aa1364f265d58329836e436d.256p.jpg"
"1784222835-49","https://uk.pcpartpicker.com/products/wireless-network-card/","","TP-Link Archer T5E","ProtocolWi-Fi 5","InterfacePCIe x1","(21)","Add","ColorBlack","(21)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/f3a2cc530e89e2756e22eef346e6c581.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/f3a2cc530e89e2756e22eef346e6c581.256p.jpg"
"1784222835-50","https://uk.pcpartpicker.com/products/wireless-network-card/","","MSI ‎AXE5400","ProtocolWi-Fi 6E","InterfaceUSB Type-A 3.2 Gen 1","(0)","£59.89Add","ColorBlack","(0)","Add","Interface","Color","Protocol","https://m.media-amazon.com/images/I/31hx76yta9L.jpg","https://m.media-amazon.com/images/I/31hx76yta9L.jpg"
"1784222835-51","https://uk.pcpartpicker.com/products/wireless-network-card/","","TP-Link Archer T9E","ProtocolWi-Fi 5","InterfacePCIe x1","(26)","Add","Color","(26)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/117af3f7c8e4a82ed679aa80b976e868.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/117af3f7c8e4a82ed679aa80b976e868.256p.jpg"
"1784222835-52","https://uk.pcpartpicker.com/products/wireless-network-card/","","D-Link DWA-552","ProtocolWi-Fi 4","InterfacePCI","(1)","£135.47Add","Color","(1)","Add","Interface","Color","Protocol","https://m.media-amazon.com/images/I/31ACIzG5jJL.jpg","https://m.media-amazon.com/images/I/31ACIzG5jJL.jpg"
