name,price,image,type,frequency_response,microphone,wireless,enclosure_type,color,rating
Etymotic Research ER4 Extended Response,241.2,In Ear,In Ear,20 Hz - 16 kHz,No,No,Closed,,0
Audio-Technica SonicFuel CLR100iS,22.56,https://cdna.pcpartpicker.com/static/forever/images/product/a86520c05a4810ace1fb26a9699e2030.256p.jpg,In Ear,20 Hz - 25 kHz,Yes,No,Closed,Black,0
HP HyperX Cloud Flight S,,Circumaural,Circumaural,10 Hz - 22 kHz,Yes,Yes,Closed,Black / Silver,4
HiFiMAN Edition X,,Circumaural,Circumaural,8 Hz - 50 kHz,No,No,Open,Black / Silver,5
Microsoft Xbox WH,,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Green,4
Anker Soundcore Life Q20+,,Circumaural,Circumaural,16 Hz - 40 kHz,Yes,Yes,Closed,Black,0
SteelSeries Arctis 9,,https://cdna.pcpartpicker.com/static/forever/images/product/f462499136794fb899bb04af549311d0.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,4
AOC GH300,,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Red / Black,0
HP HyperX Cloud Stinger Core - Wireless Xbox,113.99,https://cdna.pcpartpicker.com/static/forever/images/product/d2648b48c1cdd0f9d37afc409bb44e9b.256p.jpg,Circumaural,10 Hz - 21 kHz,Yes,Yes,Closed,Gray / Green,0
Corsair HS80 RGB Purple Rune,,https://cdna.pcpartpicker.com/static/forever/images/product/d6ba207250e993d14904a4ff11b8dd74.256p.jpg,Circumaural,20 Hz - 40 kHz,Yes,Yes,Closed,White / Purple,0
Samsung Buds2 Pro,152.86,https://cdna.pcpartpicker.com/static/forever/images/product/1fd0462c3d2ebefe120828af21233b6f.256p.jpg,In Ear,true,Yes,Yes,Closed,Purple,0
Apple AirPods Pro 2nd Gen MagSafe,229.49,https://cdna.pcpartpicker.com/static/forever/images/product/3b8446ac198293be2c3a49813d0fa91e.256p.jpg,In Ear,true,Yes,Yes,Closed,White,0
Razer Kraken Tournament Edition,,Circumaural,Circumaural,12 Hz - 28 kHz,Yes,No,Closed,Black,3
Neumann NDH 20,489,https://cdna.pcpartpicker.com/static/forever/images/product/fd861f885fa612566726faf2eead5062.256p.jpg,Circumaural,5 Hz - 30 kHz,No,No,Open,Silver / Black,0
Neumann NDH 30,569,Circumaural,Circumaural,12 Hz - 34 kHz,No,No,Open,Silver / Black,0
Asus ROG Cetra RGB,,In Ear,In Ear,20 Hz - 40 kHz,Yes,No,Closed,Black,0
Creative Labs Zen Hybrid,44.99,https://cdna.pcpartpicker.com/static/forever/images/product/edefa9c5aa136331759b9c66c5b3603a.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,0
Logitech ASTRO A50 + Base Station,249.99,https://cdna.pcpartpicker.com/static/forever/images/product/b9c9c5a037c9415e02a6fe024b292456.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Gray,0
Mad Catz F.R.E.Q. 4,43.28,https://cdna.pcpartpicker.com/static/forever/images/product/94a654de9605f68a36431ba3225bfec4.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Red,0
AKG K92,79,https://cdna.pcpartpicker.com/static/forever/images/product/5447217a2205514817a9af793dda9783.256p.jpg,Circumaural,16 Hz - 22 kHz,No,No,Closed,Black / Gold,0
ADATA XPG Precog Studio,51.28,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Red,0
Cyber Acoustics AC-104,14.99,https://cdna.pcpartpicker.com/static/forever/images/product/298a7dfe74d663bf6dc9d92a82b55a3a.256p.jpg,Supra-aural,true,Yes,No,Closed,Black,0
JVC HARX700,46.79,Circumaural,Circumaural,8 Hz - 25 kHz,No,No,Closed,Black,4
Razer Kraken Forged,229.6,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,5
Koss QZ9922,53.99,https://cdna.pcpartpicker.com/static/forever/images/product/9d9deb61671e3ebea55620041b5c1e4d.med.256p.jpg,Circumaural,40 Hz - 20 kHz,No,No,Closed,Black / Silver,0
Logitech 981-000574,41.99,https://cdna.pcpartpicker.com/static/forever/images/product/46da272e0a27a71c0db776fee2926292.256p.jpg,Supra-aural,true,Yes,No,Closed,Black,0
GameMax G200,16.8,https://cdna.pcpartpicker.com/static/forever/images/product/d2b6f748f155a3159cefc407080ebe63.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,0
Audio-Technica ATH-AD700X,169.99,https://cdna.pcpartpicker.com/static/forever/images/product/0761642acc630f76d49f60acd0a0ef6c.256p.jpg,Circumaural,5 Hz - 30 kHz,No,No,Open,Black,4.5
Audio-Technica ATH-M50,,Circumaural,Circumaural,15 Hz - 28 kHz,No,No,Closed,Black,4.5
Yamaha RH1C,40.52,https://cdna.pcpartpicker.com/static/forever/images/product/024f4b91ab8c7b69c41927416d8d5c79.256p.jpg,Supra-aural,20 Hz - 20 kHz,No,No,Open,Black,0
Audio-Technica ATH-M70x,249,https://cdna.pcpartpicker.com/static/forever/images/product/b2cc2446cbbb746f52d7c9e983c1a846.256p.jpg,Circumaural,5 Hz - 40 kHz,No,No,Closed,Black / Silver,0
Audio-Technica ATH-MSR7BK,249.95,https://cdna.pcpartpicker.com/static/forever/images/product/6c22aa90d41915eeb55cd13c96c233cf.256p.jpg,Circumaural,5 Hz - 40 kHz,Yes,No,Closed,Black / Silver,4.5
Monoprice Monolith M1060,259.24,https://cdna.pcpartpicker.com/static/forever/images/product/6118a7ecfcf85d143dcf7d51db6d8435.256p.jpg,Circumaural,10 Hz - 50 kHz,No,No,Open,Black / Brown,0
MSI IMMERSE GH,76.54,https://cdna.pcpartpicker.com/static/forever/images/product/f265bcb688c10ccd945a87d1ce007345.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Red,4
Sennheiser M3AEBTXL,392,Circumaural,Circumaural,6 Hz - 22 kHz,No,Yes,Closed,Black / Silver,0
Sony MDR-ZX310L,24.98,https://cdna.pcpartpicker.com/static/forever/images/product/9146e6bcb96b0ff32c55922067bdbd1f.256p.jpg,Supra-aural,10 Hz - 24 kHz,No,No,Closed,Blue,0
Astro A10 COD:CW,99.99,https://cdna.pcpartpicker.com/static/forever/images/product/58fd5cbda7dbf556114da3a0fdce6116.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Red,0
Logitech FITS,229,https://cdna.pcpartpicker.com/static/forever/images/product/42f7e8b8a8cd49a1dd7b20bfdeb79817.256p.jpg,In Ear,20 Hz - 20 Hz,Yes,Yes,Closed,Black,0
Corsair VOID v2 MAX WIRELESS (Xbox),105.88,https://cdna.pcpartpicker.com/static/forever/images/product/3b88e393ae5dee85461f47e312fc2a9e.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,0
Denon AH-D600,,Circumaural,Circumaural,5 Hz - 45 kHz,No,No,Closed,Black / Silver,0
Sennheiser HD 201,,https://cdna.pcpartpicker.com/static/forever/images/product/e66a7839c2905fad92424e034d9c8449.256p.jpg,Circumaural,21 Hz - 18 kHz,No,No,Closed,Black / Silver,4
Sony MDREX37B/RED,,Earbud,Earbud,6 Hz - 23 kHz,No,No,Closed,Black / Blue,0
Sony MDRZX100/WHI,,https://cdna.pcpartpicker.com/static/forever/images/product/321b8d7d0753783377f5b30a92659c14.256p.jpg,Supra-aural,12 Hz - 22 kHz,No,No,Closed,White,0
Logitech G230,,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Red,4
Sennheiser PC 350 SE,,Circumaural,Circumaural,true,Yes,No,Closed,Black,5
Logitech BH320,,Earbud,Earbud,false,No,No,Closed,Black / Silver,0
Sony MDR-EX10LP/BLK,,In Ear,In Ear,8 Hz - 22 kHz,No,No,Closed,Black,0
Cyber Acoustics AC-202B,16.98,Supra-aural,Supra-aural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,4
Cyber Acoustics AC-840,16.98,https://cdna.pcpartpicker.com/static/forever/images/product/f91d78d014cae045f36600ccc05bd6f4.256p.jpg,Supra-aural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,0
Pioneer SE-MJ751I,24.95,Supra-aural,Supra-aural,8 Hz - 28 kHz,No,No,Closed,Black,0
Philips SHQ1200/28,17.98,Earbud,Earbud,30 Hz - 20 kHz,Yes,No,Closed,Orange,0
Syba CL-AUD63035,14.69,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Blue / White,0
Beyerdynamic DT440,,Circumaural,Circumaural,10 Hz - 35 kHz,No,No,Open,Black / Silver,0
Beyerdynamic T1,,Circumaural,Circumaural,5 Hz - 50 kHz,No,No,Semi-open,Black / Silver,0
Shure SE425,,https://cdna.pcpartpicker.com/static/forever/images/product/822bc569ecce2502578b57d1793f9d9b.med.256p.jpg,In Ear,17 Hz - 18 kHz,No,No,Closed,Clear,0
Sony CZ-DRBTN200W,,https://cdna.pcpartpicker.com/static/forever/images/product/26737fff4f3797d96c9de17cb9d5c9ee.med.256p.jpg,Supra-aural,false,No,Yes,Closed,White,0
Razer Adaro,,Circumaural,Circumaural,20 Hz - 20 kHz,No,No,Closed,Black / Green,0
Razer Kraken Pro Neon,,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Orange,5
Sennheiser MX 686G,104.99,https://cdna.pcpartpicker.com/static/forever/images/product/5f7a35fe5ed3f5b172d5afb8d13e48f3.256p.jpg,Earbud,18 Hz - 22 kHz,No,No,Closed,Green,0
SteelSeries Siberia v3,,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,5
Syba CL-AUD63089,20.99,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,White / Black,0
Astro A50,,Circumaural,Circumaural,20 Hz - 21 kHz,Yes,Yes,Closed,Black / Blue,4.5
MSI DS502,59.94,https://cdna.pcpartpicker.com/static/forever/images/product/41a48b6304291d916e4a7058ff10eb8c.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Red,4
Sennheiser RS 185,,Circumaural,Circumaural,17 Hz - 22 kHz,No,Yes,Closed,Black / Silver,5
Thermaltake ISURUS PRO,34.98,In Ear,In Ear,20 Hz - 20 kHz,Yes,No,Closed,Black / Red,0
Superlux HD-681EVO,40.99,https://cdna.pcpartpicker.com/static/forever/images/product/b2b87585656bb2457a2818a03198336e.256p.jpg,Circumaural,10 Hz - 30 kHz,No,No,Semi-open,Black,5
Razer Kraken Pro 2015,188.06,https://cdna.pcpartpicker.com/static/forever/images/product/56a533bb29a1ea409b5f64a72e8b0ec7.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,White,4
Sennheiser HD 559,,Circumaural,Circumaural,14 Hz - 26 kHz,No,No,Open,Black,4.5
Corsair VOID PRO RGB (White/Black),,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,White / Black,4.5
Corsair HS50,,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Green,5
Logitech G933 Artemis Spectrum Snow,,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,White / Blue,3
LyxPro HAS-30,56.6,Circumaural,Circumaural,15 Hz - 26 kHz,No,No,Closed,Black,0
Sennheiser GSP 500,,Circumaural,Circumaural,10 Hz - 30 kHz,Yes,No,Semi-open,Black / Red,4.5
Logitech G433 (Black),,https://cdna.pcpartpicker.com/static/forever/images/product/55987fa1cc3a42a4cb80c81d54180b1e.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Open,Black,4.5
Asus ROG STRIX FUSION 700,,https://cdna.pcpartpicker.com/static/forever/images/product/94d99967278fd9f639a0fde957cc355e.256p.jpg,Circumaural,20 Hz - 40 kHz,Yes,Yes,Closed,Black,0
Corsair HS60 PRO SURROUND,,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,4
Corsair HS50 PRO STEREO,,https://cdna.pcpartpicker.com/static/forever/images/product/99283d087055a2684282f6b7993bb30c.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Blue,0
SteelSeries Arctis 3 Bluetooth (2019 Edition),,https://cdna.pcpartpicker.com/static/forever/images/product/9c7d8e48520b99da3ce51207ca2d6fd3.256p.jpg,Circumaural,20 Hz - 22 kHz,Yes,No,Closed,Black,4.5
Plantronics EncorePro 520D Duo,12.86,https://cdna.pcpartpicker.com/static/forever/images/product/f5384c124e2790bec7879c2c7ae6c82d.256p.jpg,Supra-aural,true,Yes,No,Closed,Black,0
Audio-Technica ATH-G1WL,249,https://cdna.pcpartpicker.com/static/forever/images/product/ae057538a825e052a0d44d4ad169cff7.256p.jpg,Circumaural,5 Hz - 40 kHz,Yes,Yes,Closed,Black,5
Beyerdynamic Amiron Home Tesla,492.99,https://cdna.pcpartpicker.com/static/forever/images/product/c6310d4807398a31ac90804bccd315c4.256p.jpg,Circumaural,5 Hz - 40 kHz,No,No,Open,Black / Silver,0
JBL Quantum 800,,https://cdna.pcpartpicker.com/static/forever/images/product/8cfc2870158d7dfc198ccd551b6fdc55.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,4
Final E2000C,64.37,Earbud,Earbud,false,No,No,Closed,Silver / Black,0
Final E2000,47.21,Earbud,Earbud,false,No,No,Closed,Silver / Black,0
Final E5000,279,Earbud,Earbud,false,No,No,Closed,Silver / Black,0
Corsair HS35,,https://cdna.pcpartpicker.com/static/forever/images/product/d5676b6f5ea468e475340c22bd2c2768.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Red,0
Lenovo Legion H500 Pro,63.02,https://cdna.pcpartpicker.com/static/forever/images/product/c91a864ee695301c5cf4a1b03c981192.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Blue,0
Razer BlackShark V2 Pro - Six Siege Special Edition,,https://cdna.pcpartpicker.com/static/forever/images/product/bc8b4da5c16a44586ac3783a3ae016cf.256p.jpg,Circumaural,12 Hz - 28 kHz,Yes,Yes,Closed,White / Black,5
Gigabyte Aorus H1,,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / White,0
HP HyperX Cloud Stinger Core - PS5/PS4,65.51,https://cdna.pcpartpicker.com/static/forever/images/product/6755b3c4e3fb0f04dd8218383e7b7c49.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Blue,5
Razer Thresher Ultimate For PS4,412.96,Circumaural,Circumaural,12 Hz - 28 kHz,Yes,Yes,Closed,Blue / Black,0
ROCCAT Elo Air,118.99,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,White,0
Shure SRH840A,169,https://cdna.pcpartpicker.com/static/forever/images/product/02b37e63e937afd0a8aa369485c42654.256p.jpg,Circumaural,5 Hz - 25 kHz,No,No,Closed,Black / Gold,0
Focal Clear,,Circumaural,Circumaural,5 Hz - 28 kHz,No,No,Open,Gray,0
Apple AirPods Pro 2nd Gen MagSafe USB-C,239,https://cdna.pcpartpicker.com/static/forever/images/product/46632dbf7d4840e538ed4bebef93a348.256p.jpg,In Ear,true,Yes,Yes,Closed,White,0
Asus ROG Strix Go,205.81,https://cdna.pcpartpicker.com/static/forever/images/product/7525e43eb61a91a44f1794b907c9aec5.256p.jpg,Circumaural,20 Hz - 40 kHz,Yes,Yes,Closed,Black,0
Thermaltake Argent H5,61.93,https://cdna.pcpartpicker.com/static/forever/images/product/3e8e0d1e3364aaf696f925e498739592.256p.jpg,Circumaural,20 Hz - 40 kHz,Yes,No,Closed,Black,0
JVC HA-A6T,26.99,https://cdna.pcpartpicker.com/static/forever/images/product/2e4c7190ab78d19ebb83baa871370abe.256p.jpg,Earbud,20 Hz - 20 kHz,Yes,Yes,Closed,Black,0
MSI IMMERSE GH40 ENC,,https://cdna.pcpartpicker.com/static/forever/images/product/dc433ff838ee8ac60ef4faec89f248fa.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,0
DROP DROP + EPOS H3X,,,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,0
Apple AirPods 4,,https://cdna.pcpartpicker.com/static/forever/images/product/208bd5cbbcc3bb2858f143a8e610e774.256p.jpg,Earbud,,Yes,Yes,Closed,White,0
FiiO FT1 Pro,,,Circumaural,10 Hz - 40 kHz,No,No,Open,Black / Silver,0
HYTE eclipse HG10,99,https://cdna.pcpartpicker.com/static/forever/images/product/c2838ab2cb11d1dedede65477f02d538.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Gray / Silver,0
Thermaltake Level 10 M,54.98,https://cdna.pcpartpicker.com/static/forever/images/product/a76f630929f51c5255aae1e09fcd6da5.256p.jpg,Circumaural,10 Hz - 22 kHz,Yes,No,Closed,Black / Red,4
Sony MDRE9LP/GRAY,,Earbud,Earbud,18 Hz - 22 kHz,No,No,Closed,Translucent Black,0
Koss 184515,14.95,https://cdna.pcpartpicker.com/static/forever/images/product/307a562d3fdff055ead7a11b5d0ef03d.256p.jpg,Supra-aural,false,No,No,Closed,Black,0
Sennheiser PC 5 CHAT,16.48,Supra-aural,Supra-aural,42 Hz - 17 kHz,Yes,No,Closed,Black,0
Yenkee YHP 3035 SHADOW,,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,0
Acer Nitro,22.23,https://cdna.pcpartpicker.com/static/forever/images/product/658bb236705d78d8fce88fb3acb5d3ac.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Red,0
Razer Opus X,122.82,https://cdna.pcpartpicker.com/static/forever/images/product/6b875f5902289d0dafbf36fe0f5e043a.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,White / Black,0
MCHOSE S9,,Circumaural,Circumaural,true,Yes,Yes,Closed,Black / Red,0
Behringer HPX4000,15.9,https://cdna.pcpartpicker.com/static/forever/images/product/41930a4eddf3506fc2c47a7784cca95d.256p.jpg,Circumaural,false,No,No,Closed,Black,0
Logitech H540,34.99,https://cdna.pcpartpicker.com/static/forever/images/product/6a44cc848a2ed560354c09ab7f651396.256p.jpg,Supra-aural,true,Yes,No,Closed,Black / Blue,3
Koss CS100 USB,30.77,https://cdna.pcpartpicker.com/static/forever/images/product/d41961a48f64f43e0b1fbb11ce9faefb.256p.jpg,Supra-aural,30 Hz - 16 kHz,Yes,No,Closed,Black / Silver,0
Koss PortaPro,39,https://cdna.pcpartpicker.com/static/forever/images/product/056198eb39cb106bed97cb3416aeba2a.256p.jpg,Supra-aural,15 Hz - 25 kHz,No,No,Open,Black / Blue,0
Panasonic RP-HJE120-S,9.99,https://cdna.pcpartpicker.com/static/forever/images/product/92a74bfdb0e407375a59cd1956d0476c.256p.jpg,Earbud,20 Hz - 20 kHz,No,No,Closed,Silver / White,0
Creative Labs MA200,19.3,In Ear,In Ear,8 Hz - 22 kHz,No,No,Closed,Red / White,0
SteelSeries 5Hv3,119,Circumaural,Circumaural,16 Hz - 28 kHz,Yes,No,Closed,Black / Red,0
Cooler Master MH751,97.98,https://cdna.pcpartpicker.com/static/forever/images/product/492c7a205f5943b5e278f67b28f4264d.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,4.5
JBL Quantum 200,59.95,https://cdna.pcpartpicker.com/static/forever/images/product/afe1c0855776d26e6b1d26b8cdd923d6.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,3
AKG K371,201,https://cdna.pcpartpicker.com/static/forever/images/product/8d114f341e38d0b92e26b09d84672ec0.256p.jpg,Circumaural,5 Hz - 40 kHz,Yes,Yes,Closed,Black,3
HP HyperX CloudX Stinger Core - Xbox,52.56,https://cdna.pcpartpicker.com/static/forever/images/product/feef54e6291d844ef9f4c22dee89ce8c.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Green,0
Razer Kaira Pro for Xbox,59.99,https://cdna.pcpartpicker.com/static/forever/images/product/1a8a1c7e6b081647b8e66279f2c9e524.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,White / Black,0
Audio-Technica ATH-AD700,,Circumaural,Circumaural,5 Hz - 30 kHz,No,No,Open,Purple,5
Sennheiser 502029,,Circumaural,Circumaural,16 Hz - 22 kHz,No,Yes,Open,Black,0
Sennheiser HD 25-1 II,,https://cdna.pcpartpicker.com/static/forever/images/product/f665ad2c50d9b4370b845a87c39fa8c4.med.256p.jpg,Supra-aural,16 Hz - 22 kHz,No,No,Closed,Black,5
Sennheiser CC550,49,Supra-aural,Supra-aural,300 Hz - 3.4 kHz,Yes,No,Closed,Black,0
Sennheiser CX 300-II,24.12,In Ear,In Ear,19 Hz - 21 kHz,No,No,Closed,Black,4
Sennheiser HD 380 Pro,199.95,Circumaural,Circumaural,8 Hz - 27 kHz,No,No,Closed,Black,5
Sennheiser HD700,,Circumaural,Circumaural,8 Hz - 44 kHz,No,No,Open,Black / Silver,5
Sennheiser PXC 450,,Circumaural,Circumaural,8 Hz - 28 kHz,No,No,Closed,Black / Silver,0
Skullcandy S2IKDY-010,,In Ear,In Ear,5 Hz - 22 kHz,Yes,No,Closed,Black / Red,0
Skullcandy S2INCZ-058,,In Ear,In Ear,20 Hz - 20 kHz,No,No,Closed,Pink / Black,0
Sony MDR-X05/WS,,Supra-aural,Supra-aural,4 Hz - 24 kHz,No,No,Closed,White,0
Sony MDR1R,,Circumaural,Circumaural,4 Hz - 80 kHz,No,No,Closed,Black,0
Sony MDRAS200W,,Earbud,Earbud,17 Hz - 22 kHz,No,No,Closed,White,0
Sony MDR-XB500,,Supra-aural,Supra-aural,4 Hz - 24 kHz,No,No,Closed,Black / Silver,4
Sony MDRX10BLK,,Supra-aural,Supra-aural,3 Hz - 29 kHz,No,No,Closed,Black / Silver,0
Sony MDRXB400IP,,Supra-aural,Supra-aural,5 Hz - 22 kHz,No,No,Closed,Black / Blue,0
Turtle Beach TBS- 5200-01,,Circumaural,Circumaural,20 Hz - 20 kHz,No,No,Closed,Black,0
Fostex T50RP,,Circumaural,Circumaural,15 Hz - 35 kHz,No,No,Semi-open,Black,0
Astro A40 + MixAmp Pro - Black,,Circumaural,Circumaural,15 Hz - 28 kHz,Yes,No,Closed,Black / White,4.5
Astro A50 - Black,,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,4
Logitech B530,,Supra-aural,Supra-aural,20 Hz - 20 kHz,Yes,No,Closed,Black,0
Logitech H800,,Supra-aural,Supra-aural,30 Hz - 15 kHz,Yes,No,Closed,Black,3.5
Razer Banshee StarCraft II Heart of the Swarm,,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,4
Razer Tiamat 7.1,,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Green,3
Sennheiser CC 510,,Supra-aural,Supra-aural,300 Hz - 3.4 kHz,Yes,No,Closed,Black,0
Sennheiser PC 363D,,Circumaural,Circumaural,15 Hz - 28 kHz,Yes,No,Open,Black,5
Koss KEB6K,11.44,In Ear,In Ear,false,No,No,Closed,Black / Silver,0
Harman Kardon TMG21W,,In Ear,In Ear,13 Hz - 22.5 kHz,No,No,Closed,Brown,0
Sony DR-EX12iP/RED,,In Ear,In Ear,8 Hz - 22 kHz,No,No,Closed,Red / White,0
Sony MDRNC100D,,In Ear,In Ear,8 Hz - 23 kHz,No,No,Closed,Black,0
Shure SRH840,177.6,https://cdna.pcpartpicker.com/static/forever/images/product/a062e392dc902af7fe59d0cc1f0069ad.256p.jpg,Circumaural,5 Hz - 25 kHz,No,No,Closed,Black,5
Yamaha RH5MA,65.54,Supra-aural,Supra-aural,20 Hz - 20 kHz,No,No,Closed,Black,0
Yamaha HPH-200BL,,Supra-aural,Supra-aural,20 Hz - 20 kHz,No,No,Closed,White,0
Monoprice 8323,,Circumaural,Circumaural,20 Hz - 20 kHz,No,No,Closed,Black,4
Panasonic RP-HJE190-K,,In Ear,In Ear,6 Hz - 24 kHz,Yes,No,Closed,Black,0
Panasonic RP-HJE190-S,,In Ear,In Ear,6 Hz - 24 kHz,No,No,Closed,Black / Silver,0
Shure SE535-CL,494,https://cdna.pcpartpicker.com/static/forever/images/product/1e41d1e73917ad51e021af23d89c7454.256p.jpg,In Ear,18 Hz - 19 kHz,No,No,Closed,Brown,0
Shure SRH440,109.95,https://cdna.pcpartpicker.com/static/forever/images/product/dfd65b90d2cc33096ac4ef0c090e6926.med.256p.jpg,Circumaural,10 Hz - 22 kHz,No,No,Closed,Black,0
Pioneer SE-MJ721I-T,134.91,Supra-aural,Supra-aural,6 Hz - 28 kHz,No,No,Closed,Brown,0
Skullcandy SLYR,,Circumaural,Circumaural,true,Yes,No,Closed,Black / White,0
Koss PLUG,21.99,https://cdna.pcpartpicker.com/static/forever/images/product/9d4d6cbbda576caa4bd3bf036271992d.256p.jpg,In Ear,false,No,No,Closed,Black / Silver,0
Koss SB40,57.54,https://cdna.pcpartpicker.com/static/forever/images/product/7a0882769058d3689f03667d21ce0c2c.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,0
Koss SB45,37.4,https://cdna.pcpartpicker.com/static/forever/images/product/9bc8b8ac3ee68101e05b16eb2f78754c.256p.jpg,Circumaural,18 Hz - 20 kHz,Yes,No,Closed,Black / White,3
Samsung 395859009169,,https://cdna.pcpartpicker.com/static/forever/images/product/65bad816a5ccd25c7b2fca643f0b26d7.med.256p.jpg,In Ear,false,No,No,Closed,Black,0
Syba CM-5008-U,38.7,https://cdna.pcpartpicker.com/static/forever/images/product/11573525c86869f97c3ce37b92686276.med.256p.jpg,Supra-aural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,0
RCA HP5041,11.82,Supra-aural,Supra-aural,20 Hz - 20 kHz,No,No,Semi-open,Red / White,0
Gigabyte GP-H11,,In Ear,In Ear,150 Hz - 20 kHz,No,No,Closed,White,0
Hercules DJ-Adv G501,,Supra-aural,Supra-aural,10 Hz - 25 kHz,No,No,Closed,Black / Green,0
Corsair Vengeance 1500 v2,,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Blue,4.5
Beyerdynamic DT 1350,,Supra-aural,Supra-aural,5 Hz - 30 kHz,No,No,Closed,Black / Silver,0
Razer Battlefield 4 BlackShark,,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Multicolor,4.5
SteelSeries Siberia v2 CS:GO,,Circumaural,Circumaural,18 Hz - 28 kHz,Yes,No,Closed,Camo,0
Panasonic RP-HJE280-R,,In Ear,In Ear,6 Hz - 24 kHz,No,No,Closed,Black / Red,0
Sennheiser Momentum Brown,,Circumaural,Supra-aural,16 Hz - 22 kHz,No,No,Closed,Black / Silver,0
Shure SRH1440,,https://cdna.pcpartpicker.com/static/forever/images/product/3d93ec97b0cca20df823334e653f476a.med.256p.jpg,Circumaural,15 Hz - 27 kHz,No,No,Open,Black / Silver,0
Shure SRH1840,,https://cdna.pcpartpicker.com/static/forever/images/product/c5406cabee5225e92fd3676490e3cb7d.med.256p.jpg,Circumaural,10 Hz - 30 kHz,No,No,Open,Black / Silver,0
Audio-Technica ATH-P1,,Supra-aural,Supra-aural,30 Hz - 20 kHz,No,No,Semi-open,Black,0
Corsair Vengeance 2100,,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Blue,4
Creative Labs EVO Wireless,,Circumaural,Circumaural,true,Yes,Yes,Closed,Black / Red,0
Philips SHE7005A/28,,In Ear,In Ear,false,No,No,Closed,Black,0
