name,price,image,type,frequency_response,microphone,wireless,enclosure_type,color,rating
HP HyperX Cloud III S,148.99,https://cdna.pcpartpicker.com/static/forever/images/product/f8a0e9b5e5ef2f3b0f33c0b8de86af93.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Red,0
Audio-Technica ATH-M50x,127,https://cdna.pcpartpicker.com/static/forever/images/product/e9b556548ad05b9909370c276326973e.med.256p.jpg,Circumaural,15 Hz - 28 kHz,No,No,Closed,Black / Silver,4.5
Corsair VIRTUOSO MAX,198.44,https://cdna.pcpartpicker.com/static/forever/images/product/31933cbf2768de52ba6e06b90df10741.256p.jpg,Circumaural,20 Hz - 40 kHz,Yes,Yes,Closed,Black,5
Audeze Maxwell 2 (Xbox),,,Circumaural,10 Hz - 50 kHz,Yes,Yes,Closed,Black,0
Beyerdynamic DT 990 Pro 250,,Circumaural,Circumaural,5 Hz - 35 kHz,No,No,Open,Black / Gray,4.5
Logitech ASTRO A50 (GEN 5),179.54,https://cdna.pcpartpicker.com/static/forever/images/product/16e41f259c2ceadd5db8ef6dc48adda7.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Red,5
Koss KPH7W,31.9,Supra-aural,Supra-aural,false,No,No,Closed,White / Black,0
Logitech G435,49.88,https://cdna.pcpartpicker.com/static/forever/images/product/a0f67686009b268eb9b537dfbbc3a4e0.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Yellow,4
Logitech G432,48.2,https://cdna.pcpartpicker.com/static/forever/images/product/9d0f1a5952e8d74d6590bdd46e0e4f07.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Blue,4
SteelSeries Arctis Nova Pro Omni,349,https://cdna.pcpartpicker.com/static/forever/images/product/6fa0c76ab861605851975f23c281ecb6.256p.jpg,Circumaural,10 Hz - 40 kHz,Yes,Yes,Closed,White,0
Beyerdynamic DT 900 Pro X,205,https://cdna.pcpartpicker.com/static/forever/images/product/7126cf8620353f97e6ae65b97aa44023.256p.jpg,Circumaural,5 Hz - 40 kHz,No,No,Open,Black / Gray,4.5
