name,price,image,cas_latency,color,first_word_latency,modules,price_gb,speed
G.Skill Trident Z5 RGB 64 GB,861.95,https://cdna.pcpartpicker.com/static/forever/images/product/e5d0d71b07fa16cc1ac7eb3c676a7831.256p.jpg,32,Black / Silver,10 ns,2 x 32GB,Price / GB£13.468,DDR5-6400
G.Skill Flare X5 128 GB,3881.84,https://m.media-amazon.com/images/I/41V6hQCb7XL.jpg,32,Black,10.667 ns,2 x 64GB,Price / GB£30.327,DDR5-6000
Silicon Power SP016GBLVU480F02 16 GB,97.99,https://cdna.pcpartpicker.com/static/forever/images/product/bfa4f60b653cd6494c2cf2a0778f7efe.256p.jpg,40,,16.667 ns,1 x 16GB,Price / GB,DDR5-4800
G.Skill Ripjaws S5 32 GB,482.2,https://cdna.pcpartpicker.com/static/forever/images/product/24d251679c92dd15d250e400ea873727.256p.jpg,36,Black,12 ns,2 x 16GB,Price / GB£15.069,DDR5-6000
Kingston FURY Beast 64 GB,829.99,https://cdna.pcpartpicker.com/static/forever/images/product/ba87b0c925c292d22dca488e2296d258.256p.jpg,30,Black,10 ns,2 x 32GB,Price / GB£12.969,DDR5-6000
Silicon Power XPOWER Zenith Gaming 64 GB,731.97,https://m.media-amazon.com/images/I/41OxIR2UurL.jpg,30,Black,10 ns,2 x 32GB,Price / GB£11.437,DDR5-6000
Crucial CT16G56C46U5 16 GB,211.37,https://cdna.pcpartpicker.com/static/forever/images/product/4dd4838a52e81eaa083a4603f673499a.256p.jpg,46,Black,16.429 ns,1 x 16GB,Price / GB£13.211,DDR5-5600
TEAMGROUP T-Force DELTAα RGB 16 GB,226.72,https://cdna.pcpartpicker.com/static/forever/images/product/2105c77ba6eee3f580108b61c4382458.256p.jpg,38,Black,12.667 ns,2 x 8GB,Price / GB£14.170,DDR5-6000
Patriot Viper Venom RGB 32 GB,388.86,https://cdna.pcpartpicker.com/static/forever/images/product/019861a658c73749dbf8130515d30ae1.256p.jpg,36,Black / White,12.857 ns,2 x 16GB,Price / GB£12.152,DDR5-5600
G.Skill Trident Z5 Royal Neo RGB 64 GB,1356.18,https://cdna.pcpartpicker.com/static/forever/images/product/5b9e0d994655f13f9392b5c156af24f2.256p.jpg,30,Silver,10 ns,2 x 32GB,Price / GB£21.190,DDR5-6000
Lexar THOR OC 32 GB,,https://m.media-amazon.com/images/I/31695QatJHL.jpg,32,Black / Gold,10.667 ns,2 x 16GB,Price / GB,DDR5-6000
Silicon Power XPOWER Zenith RGB Gaming 32 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/f11aa5f8b5a513ac2390b034a7bcde3a.256p.jpg,36,Black,12 ns,2 x 16GB,Price / GB,DDR5-6000
