name,price,socket,form_factor,max_memory,memory_slots,color,wifi,usb_c,image
MSI MPG B850I EDGE TI WIFI,263.99,AM5,Mini ITX,128 GB,2,Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/9215de4401fbfce1a54ecc659fc6f3b5.256p.jpg
Gigabyte X870 AORUS STEALTH,372.99,AM5,ATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/965c13a83c76991c0b3ccb4921e559a8.256p.jpg
MSI B760M GAMING PLUS WIFI,240.23,LGA1700,Micro ATX,192 GB,4,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/96638c2881bd646987778b312655d859.256p.jpg
Gigabyte B550 AORUS ELITE AX V2,156.99,AM4,ATX,128 GB,4,Black / Silver,,,https://m.media-amazon.com/images/I/51Hz3u7PR0L.jpg
Asus PRIME B550M-K ARGB,,AM4,Micro ATX,64 GB,2,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/78308ecae147c55634084fc2030f9fb8.256p.jpg
Gigabyte A620M S2H,103.98,AM5,Micro ATX,96 GB,2,Gray / Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/03c26875e0aea2b2da3cc1f1804cf65f.256p.jpg
Asus ROG STRIX B550-A GAMING,262.53,AM4,ATX,128 GB,4,Black / White,,,https://cdna.pcpartpicker.com/static/forever/images/product/5ac88d84f61dd91c0621ac30c4dc5480.256p.jpg
MSI MAG Z790 TOMAHAWK WIFI,199.99,LGA1700,ATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/4776555bd90ed817bdfa00fc78ae3043.256p.jpg
Gigabyte B650M AORUS ELITE AX,170.99,AM5,Micro ATX,192 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/959c60578b19c2067f96036a19691ac0.256p.jpg
Asus PRIME B550-PLUS AC-HES,117.99,AM4,ATX,128 GB,4,Silver / Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/d1cc901f52eef99cab0cc4d4255401ea.256p.jpg
MSI MEG X870E GODLIKE,12750.53,AM5,EATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/ad4f70457b02886f1e6f9c9ae20a72f1.256p.jpg
MSI PRO B650M-P,165.00,AM5,Micro ATX,192 GB,4,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/f03f1d667284f39b3eaf208a50cdbb68.256p.jpg
Asus X870 MAX GAMING WIFI7,226.23,AM5,ATX,256 GB,4,Black,,,https://m.media-amazon.com/images/I/41nUPVYO5OL.jpg
ASRock A520M-HDV,89.98,AM4,Micro ATX,64 GB,2,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/44867ec7814048eb5afc863cc9bc1de3.256p.jpg
MSI Z790 GAMING PLUS WIFI,184.99,LGA1700,ATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/8ebf82190e0ae9871ce4a1a4c824e204.256p.jpg
MSI PRO A620AM-B EVO,110.99,AM5,Micro ATX,128 GB,2,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/7e04f58a580ef3ffa97f96754132c14d.256p.jpg
Asus TUF GAMING X870E-PLUS WIFI7,310.00,AM5,ATX,256 GB,4,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/a50762ffa9e13f8e51e5e914137c47a1.256p.jpg
ASRock H610M-HDV/M.2+ D5,69.98,LGA1700,Micro ATX,96 GB,2,White / Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/c13414ccd20045deb0d2ff0e53e51c48.256p.jpg
MSI MAG B760 TOMAHAWK WIFI,139.99,LGA1700,ATX,192 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/a4708cb253c33dacabd68b704a383137.256p.jpg
MSI PRO Z790-P WIFI,210.99,LGA1700,ATX,256 GB,4,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/157047663b648bb72039e6208a029ef3.256p.jpg
Asus ROG STRIX B450-F GAMING II,,AM4,ATX,128 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/0f27bb84f57d51a9cb2b0c91d25efb0f.256p.jpg
Asus PRIME B850-PLUS WIFI,209.99,AM5,ATX,256 GB,4,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/5c6d1daac79543ebc852c86ef267d527.256p.jpg
ASRock B650M-HDV/M.2 White,109.99,AM5,Micro ATX,128 GB,2,White,,,https://cdna.pcpartpicker.com/static/forever/images/product/d28123654f51c07102f4b17dc4a08e54.256p.jpg
Gigabyte Z890 AORUS XTREME AI TOP,25572.68,LGA1851,EATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/ddb6ec4f2000dc88c1cfacee76009b57.256p.jpg
Asus PRIME X870-P WIFI,192.38,AM5,ATX,192 GB,4,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/b8d7644383eb0f52cf18ebde7e83176b.256p.jpg
ASRock B860I WiFi,184.99,LGA1851,Mini ITX,128 GB,2,Black,,,https://m.media-amazon.com/images/I/5182aV4zQIL.jpg
MSI B840 GAMING PLUS WIFI,176.99,AM5,ATX,256 GB,4,Silver / Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/6a5219cf327ef9665462e69429306ec4.256p.jpg
Gigabyte B850M EAGLE WIFI6E,167.49,AM5,Micro ATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/a6491e56a9da34963366a7c07b77542f.256p.jpg
Gigabyte X870 AORUS STEALTH ICE,325.99,AM5,ATX,256 GB,4,White,,,https://cdna.pcpartpicker.com/static/forever/images/product/4c263d43ab302ef40ad11a46fa4de96e.256p.jpg
MSI B850M GAMING PLUS WIFI6E,289.70,AM5,Micro ATX,256 GB,4,Silver / White,,,https://cdna.pcpartpicker.com/static/forever/images/product/37827bd7e65261b435700a312e780343.256p.jpg
Asus TUF GAMING B760M-PLUS WIFI II,287.61,LGA1700,Micro ATX,192 GB,4,Black / Orange,,,https://cdna.pcpartpicker.com/static/forever/images/product/e88401bf243576dc4626866d019cd58e.256p.jpg
Gigabyte Z890 EAGLE WIFI7,222.99,LGA1851,ATX,256 GB,4,Silver / Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/34de227b943c27e3486ab6e4aff51341.256p.jpg
Gigabyte B850I AORUS PRO,286.99,AM5,Mini ITX,128 GB,2,,,,https://cdna.pcpartpicker.com/static/forever/images/product/eaf7d7e4417a44ec7b73e8da2a29142b.256p.jpg
MSI MPG X870E EDGE TI WIFI,320.99,AM5,ATX,256 GB,4,Silver / White,,,https://cdna.pcpartpicker.com/static/forever/images/product/c4c8f2a6a1e68f45227b8d0901995a43.256p.jpg
MSI PRO B850M-A WIFI,195.99,AM5,Micro ATX,256 GB,4,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/9f36e7016dcb0e90f99d71e992ed2ca6.256p.jpg
Gigabyte A520M DS3H V2,,AM4,Micro ATX,128 GB,4,Gray / Brown,,,https://cdna.pcpartpicker.com/static/forever/images/product/0090b895d648338f39bc35ccaa60ca67.256p.jpg
Gigabyte A520M S2H,89.95,AM4,Micro ATX,64 GB,2,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/63b64f6b10bbfb2c406fdbf40bde777d.256p.jpg
Asus PRIME H610M-E D4-CSM,106.11,LGA1700,Micro ATX,64 GB,2,Silver / Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/d239f039aeb86a1e0895a904a29ae9c5.256p.jpg
ASRock X870 Pro RS WiFi,212.99,AM5,ATX,256 GB,4,White,,,https://cdna.pcpartpicker.com/static/forever/images/product/3c18873a597e1d70ab53fca8e67c2897.256p.jpg
Gigabyte X870E AORUS PRO,330.95,AM5,ATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/b67c09d12ff76df65b86485c3faeb5dc.256p.jpg
Gigabyte X870E AORUS XTREME X3D AI TOP,18470.99,AM5,EATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/6fdce9019bc0bfeae832f72fcc7701e9.256p.jpg
MSI PRO B860M-A WIFI,200.98,LGA1851,Micro ATX,256 GB,4,Silver / Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/6c74beb5c52c860a45a3c0a014e85e70.256p.jpg
MSI MAG B860 TOMAHAWK WIFI,149.99,LGA1851,ATX,256 GB,4,Black / Yellow,,,https://cdna.pcpartpicker.com/static/forever/images/product/713074681356fa5f3825c29a20501a5c.256p.jpg
Asus ProArt Z890-CREATOR WIFI,531.73,LGA1851,ATX,256 GB,4,Black / Gold,,,https://m.media-amazon.com/images/I/51akQq727kL.jpg
Gigabyte B550 UD AC,120.99,AM4,ATX,128 GB,4,Brown / Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/9c84b688f61e7464302774dcde515727.256p.jpg
Gigabyte B850M AORUS ELITE WIFI6E,295.41,AM5,Micro ATX,256 GB,4,Black,,,https://m.media-amazon.com/images/I/51nBAwELWhL.jpg
Gigabyte B450M DS3H,,AM4,Micro ATX,128 GB,4,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/176028811e50cad67b57ed0e604229c9.256p.jpg
MSI B550 GAMING WIFI,225.63,AM4,ATX,128 GB,4,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/f3e4ed820c87b4b1aa95a00a28c0119d.256p.jpg
Asus ROG STRIX B550-F GAMING,,AM4,ATX,128 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/2fab0cd72166896f8652fe39a7be1984.256p.jpg
Asus TUF GAMING B860-PLUS WIFI,176.00,LGA1851,ATX,256 GB,4,Black / Gray,,,https://cdna.pcpartpicker.com/static/forever/images/product/f97de77a54de310cb46697e9a8f8e179.256p.jpg
MSI PRO B850-P WIFI,198.99,AM5,ATX,256 GB,4,Silver / Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/5b18758444f0beaee3b10e125a16688e.256p.jpg
ASRock B850M Riptide WiFi,149.99,AM5,Micro ATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/b17a445556fd7abaaebb5f907bf7942d.256p.jpg
MSI MAG X870E TOMAHAWK MAX WIFI PZ,289.99,AM5,ATX,256 GB,4,White / Gray,,,https://cdna.pcpartpicker.com/static/forever/images/product/02e89b67343c08f2d1ff0b41388ecce3.256p.jpg
Asus ROG STRIX B450-F GAMING,152.99,AM4,ATX,128 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/66e5b5e4d0a52b6a2f99bb53bf52eee7.256p.jpg
Asus ROG MAXIMUS Z890 HERO,474.20,LGA1851,ATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/a35b5eeaee6cdb44ec2f0b888b582a29.256p.jpg
ASUS Pro WS TRX50-SAGE WIFI,899.99,sTR5,EATX,512 GB,4,Black / Silver,yes,,
ASRock TRX50 WS,749.99,sTR5,EATX,512 GB,4,Black / Silver,yes,,
Gigabyte TRX50 AORUS MASTER,899.99,sTR5,EATX,512 GB,4,Black / Silver,yes,,
ASUS Pro WS WRX90-SAGE SE,1299.99,WRX90,EATX,1024 GB,8,Black / Silver,yes,,
ASRock WRX90 WS,999.99,WRX90,EATX,1024 GB,8,Black / Silver,yes,,
